1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111
SamaedamBusDepot,Rama2Soi94,KhlongRaHan,ForemostSoiPost,SoiPhraRamThi2Soi86,BangKadi(Rama2),AmonChai4,MubanPhraRam2,SakaeNgam,BigCKahaRam2,PhraRam2Hospita,NationalHousingBang,YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,CentralRama2,OppositeThaKham,SanChaomaeNgu,WatKok,Bangmod,SamakhomHinNaenHaengPrathetThai,ThanakhanAkhanSongkhro,WatSisuk,ChanPhring,ToyotaCenterWatPuttabucha,Bangpakokhospita,Pothong,JomthongDistrict,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,OppositeWatSarod,PrachaUthitJunction,OppositeWatSon,SuksawatKm.9(ToExpressway),PortAuthorityOfThailand,BusZone4,PatStadium,TalatPinang,ElectricityAuthorityKhlongToei,ThailandLife(Kai),UChuLiangBuilding,KingChulalongkornMemorialHospitalRobinSrilom,TheThaiRedCrossSociety,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
TheThaiRedCrossSociety,ChulalongkornBusTerminal,PatumwanDemonstrationSchool,Chulalongkorn(Vet/Dent),ChaloemPhaoJunction,SiamSquare,OppositeMbkCenter,TriamUdomSuksaSchool,Chulalongkorn(TheEquestrianStatue),Chulalongkorn(FacultyOfScience),Chulalongkorn(FacultyOfCommerceAndAccountancy),ChamchuriSquare,SathanSaowapha,LumphiniPark,BrunKai,KhlongToeiMarket(ThanonSunthonKhosa),OppositeSamosonKanTharuea,CustomsDepartment,SuksawatKm.9(ExitExpressway),OppositeWatSon,SuksawatKm.9,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,WatPhoThong,SoiNguhaoKiaSoewit,SamnaknganKhetChomthong,TalatOE,PhraRam2Soi21,Watputtabucha,OppositeChanPhring,KanPrapaWatYaiRom,ShishaVillage,MubanWichitNakhon,SathaniTamruatBangMot,OppositeWatKok,WatLao,OppositeTheSnakeGoddess,HomeproRama2,BigcRama2,BangKhunThianDistrictOffice,HuaKrabue,KhehaKanFaifa,ThonburiHousing(TescoLotusRamaIi),OppositeSakaeNgam,OppositeMubanPhraRam2,Amonchai,BangKradi,FamKaichonPhamaPhraRam2,SoiFoMot,KhlongRaHan1,RongKaThung,SamaedamBusDepot
