1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167
อู่พุทธมณฑลสาย 2,พุทธมณฑลสาย 2 ซอย 12,ตรงข้ามแยกวัดบุณยประดิษฐ์,ตลาดสาย 2,หมู่บ้านพุทธรักษา,ตรงข้ามหมู่บ้านเพชรเกษม 2,โรงพยาบาลเกษมราษฏร์บางแค,ศูนย์บริการสาธารณสุข 40,ซอยเพชรเกษม 88,เดอะมอลล์บางแค,หมู่บ้านศุภวรรณ3,โรงเรียนบางแคเหนือ,โรงเรียนภาษานุสรณ์บางแค,เทสโก้โลตัสบางแค,ซอยเพชรเกษม 62/1ตรงข้ามตลาดบางแค,ซอยเพชรเกษม 62 ตรงข้ามบ้านพักคนชราบางแค,ซอยเพชรเกษม 58/1,ซอยเพชรเกษม 58,ซอยเพชรเกษม 56 ตรงข้ามซีคอนบางแค,ซอยเพชรเกษม 54,ซอยเพชรเกษม 50/4 ตรงข้ามวัดรางบัว,ซอยเพชรเกษม 50 ตรงข้ามศูนย์กีฬากันอริ,วัดจันทร์ประดิษฐาราม,ศาลขุนด่านเจ้าพ่อเสือ,ซอยเพชรเกษม 42,ซอยเพชรเกษม 38,มหาวิทยาลัยสยาม,ซอยเพชรเกษม 36 วัดประดู่บางจาก,ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),สภาทนายความ,สำนักงานปฎิรูปที่ดินเพื่อเกษตรกรรม,ตรงข้ามกระทรวงคมนาคม,"โรงเรียนแผนที่ทหาร,แยกจ.ป.ร.",องค์การสหประชาชาติ,กระทรวงศึกษาธิการ,สำนักงานก.พ,โรงเรียนราชวินิตร,สนามม้านางเลิ้ง,ตรงข้ามโรงพยาบาลมิชชั่น,"ถนนสวรรคโลกป้าย 1,แยกยมราช",กระทรวงการต่างประเทศ,คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล,โรงพยาบาลรามาธิบดี,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),"ซอยพหลโยธิน 1,ซอยลือชา",โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),"ซอยพหลโยธิน 5,ซอยราชครู",ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,"ซอยพหลโยธิน 11,ซอยเสนาร่วม",ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ตรงข้ามเจเจมอลล์,องค์การตลาดเพื่อเกษตรกร(อ.ต.ก.),ตรงข้ามสวนสมเด็จพระนางเจ้าสิริกิติ์,อู่หมอชิต 2,,,
อู่หมอชิต 2,สวนสมเด็จพระนางเจ้าสิริกิติ์,เจเจมอลล์,ตลาดนัดจตุจักร(ประตู1),ธนาคารทหารไทย (สำนักงานใหญ่),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,"ซอยพหลโยธิน 8,ซอยสายลม",ป้ายรถประจำทาง BTS อารีย์(ทางออก4),"ซอยราชครู,ตรงข้ามซอยพหลโยธิน 5","ซอยพหลโยธิน 2,ซอยกาญจนาคม",ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,"ซอยลือชา,ตรงข้ามซอยพหลโยธิน 1",อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,องค์การเภสัชกรรม,กรมทางหลวง(ถนนศรีอยุธยา),แยกเสาวณี,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,วิทยาเขตพณิชยการพระนคร,ทำเนียบรัฐบาล,ตรงข้ามกระทรวงศึกษาธิการ,ตรงข้ามองค์การสหประชาชาติ,สนามมวยราชดำเนิน,กระทรวงคมนาคม,สถานีตำรวจนางเลิ้ง,"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง","โรงพยาบาลศรีวิชัย,วัดรวก",ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,"เสริมมิตร,ซอยเพชรเกษม 25/1",ป้ายรถประจำทาง BTSบางหว้า(ทางออก4),ตรงข้ามมหาวิทยาลัยสยาม,ซอยเพชรเกษม 27/1,ตรงข้ามเพชรเกษม 42,ตรงข้ามศาลขุนด่านเจ้าพ่อเสือ,ตรงข้ามวัดจันทร์ประดิษฐาราม,ศูนย์กีฬากันอริ,วัดรางบัว,สถานีกาชาด11วิเศษนิยม,ซีคอนบางแค,ซอยเพชรเกษม 39,บ้านพักคนชราบางแค,ตลาดบางแค,ตรงข้ามเทสโก้โลตัสบางแค,บริษัทนันยางอุตสาหกรรม,บริษัทคาสเซ่อร์พีค,ซอยเพชรเกษม 45/1,ตรงข้ามเดอะมอลล์บางแค,ซอยเพชรเกษม 51,ปากทางพุทธมณฑลสาย2(เริ่มต้น),หมู่บ้านเพชรเกษม 2 ซอย 1,หมู่บ้านเพชรเกษม3,หมู่บ้านภัสรี,แยกวัดบุณยประดิษฐ์,พุทธมณฑลสาย 2 ซอย 12 (ขาเข้า),อู่พุทธมณฑลสาย 2
