1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125
KrisdaCity14VillagesAcrossSouthernBusStation(Chan)....,SaphanWanChat,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,PhraPinklaoBridge(Outbound),OppositePataPinklao,HappyInHotel,CharanSanitwongSoi34/2,CharunBusinessCollege,BangKhunNonJunction,OppositeMakroCharansanitwong,OodlandSupermarketPhleng.,HospitalSrivijayaWadrwk,AcrossFromNakhonLuangShoppositeing,WatAmpawa,MetropolitanElectricityAuthorityThonBuriDistrict,WatPoreang,NangLoiMarket,SiamTechnologyCollege(SiamTech),WatThaPhra,CharanSanitWongSoi4,OppositeThePoliceStationYai,OppositeThonBuriPhalasa,RachapruekBrtStation,TheMallThapra,SocialSecurity,WatSutthawat,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,WatPhoThong,SoiNguhaoKiaSoewit,SamnaknganKhetChomthong,TalatOE,PhraRam2Soi21,Watputtabucha,OppositeChanPhring,KanPrapaWatYaiRom,ShishaVillage,MubanWichitNakhon,SathaniTamruatBangMot,OppositeWatKok,WatLao,OppositeTheSnakeGoddess,HomeproRama2,BigcRama2,BangKhunThianDistrictOffice,HuaKrabue,KhehaKanFaifa,ThonburiHousing(TescoLotusRamaIi),OppositeSakaeNgam,OppositeMubanPhraRam2,Amonchai,BangKradi,FamKaichonPhamaPhraRam2,SoiFoMot,KhlongRaHan1,RongKaThung,SamaedamBusDepot
SamaedamBusDepot,Rama2Soi94,KhlongRaHan,ForemostSoiPost,SoiPhraRamThi2Soi86,BangKadi(Rama2),AmonChai4,MubanPhraRam2,SakaeNgam,PhraRamThi2Soi66,BigCKahaRam2,PhraRam2Hospita,NationalHousingBang,YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,CentralRama2,OppositeThaKham,SanChaomaeNgu,WatKok,Bangmod,SamakhomHinNaenHaengPrathetThai,ThanakhanAkhanSongkhro,WatSisuk,ChanPhring,ToyotaCenterWatPuttabucha,Bangpakokhospita,Pothong,JomthongDistrict,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,MahaiSawan,RatchadaphisekSoi5,ThanachartBank,OppositeTheMallThapra,Ratchada-ThaPhraHospital,ThaPhraIntersection,CharanSanitWongSoi1,SesawechVidhayaSchool,ThonburiCommercialCollege,WatBangSaoThong,OppositeMetropolitanElectricityAuthorityThonBuriDistrict,SoiBupphaSawan,NakornLuangShoppositeing,OppositeTheHospitalSrivijayaWadrwk.,BangKhunSi,BangKhunNon,CharansanitwongTechnologicalCollege,CharanSanitWongSoi43,WatNaiRong,PataPinklao,PhraPinklaoBridge(Inbound),KongSalak,DemocracyMonument(Suksapan),SatriwittayaSchool,BangLumphoo,blankjaa,blankjaa,blankjaa,blankjaa
