1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115
NationalTheatre,PhraAthit,OppositeBanPhraAthit,WatChanasongkram,KongSalak,KhokWuaIntersection,DemocracyMonument(Suksapan),WatRatchaNatdaRam,NangLerngPoliceOffice,OppositeMinistryOfTransport,RoyalThaiSurveyDepartmentJ.P.RIntersection,UnitedNations,MinistryOfEducation,Opposite1StArmyArea,AnantaSamakhomThroneHall,PhiphitthaphanSathanHaengChatChangTon,WachirawutWittayalai,PantawattanaSchool,SoiRuamjitt3,OppositeSoiRaksaDindaen,NattasilSumpunSchool,MilitaryCircle11,OppositeKromRatWangBawonSathanMongkhon,YaekThanonRanong2-PhraRam5,YaekThanonRanong1-PhraRam5,DepartmentOfCommunication,MubanSuppwutNiwetKromthahanSapWut,OppositeRongrianChangAkatBamrungKromSanPhaWut,SamosonThahanAkatBangSue,WatThammaphitaramOppositeWatSaphanSoong,OppositeTaopoonMansion,SoiPrachaChuen2,SoiPrachaChuen5,SoiPrachaChuen12,SoiPrachaChuen15,SoiPrachaChuen19,SoiPrachaChuen25,SoiPrachaChuen29,SuanSukkhaphapPrachaNuKun,PamnamManPototho,HongsamutOppositeMubanChonNiwet,ThianLao,SoiPrachaChuen38,RongrianSonTatSueaPhatRaPha,SoiPrachaChuen46,HomeProSakhaPhongPhet,SuanAhanFriday,SoiPrachaChuen-Nonthaburi2,SoiPrachaChuen-Nonthaburi4,SoiPrachaChuen-Nonthaburi5,OppositeDhurakijPunditUniversity,SamakkeeSoi62,PrachaOoppositeathumSchool,MubanPrachaniwet2SoiSamakkee65,SamakkeeSoi44,ThanonSamakki(SoiThaSaiNiwet),MubanSaYan,PrachaNiwet3
PrachaNiwet3,SayunVillage,OppositeSoiSamakkhi36,OppositeThanonSamakki(SoiThaSaiNiwet),SamakkeeSoi61,MubanPrachaniwet2,MathanaSchoolOfHotelAndTourism,OppositeSamakkeeSoi62,MubanThaSai,DhurakijPunditUniversity,PrachachuenSoi7,PrachachuenNonthaburiSoi5,OppositeSoiPrachaChuen-Nonthaburi4,MubanPatsorn,NaTalat,SoiNgamWongwan24,SoiThetsabanRangSanNuea14,ThianLao,OppositeRongrianSonTatSueaPhatRaPha,OppositeThanonPrachaChuen37,SoiChonNiWes,OppositePamnamManPototho,OppositepsiteKasemradHospital,KrumonteeSoi,OppositeKhaMuPrachaChuen,OppositeSoiPrachaChuen19,SoiPrachaChuen17,OppositeSoiPrachaChuen10,SoiPrachaChuen10,YaekThanonPrachaChuen2Yaek1,TheaterTaoppositeoonMansion,SaphanDang,MubanSuppawutNiwet,YaekRanong1-Praram5PaiWatPracharabuetham,YaekRanong1-Praram5,ThaparakShrine,SoiChakthip,OppositeRongrianNatSinSamphan,SoiSuntisuk,SoiSukothai,WachirawutWittayalai,OppositePhiphitthaphanSathanHaengChatChangTon,AnantaSamakhomThroneHall,1StArmyArea,OppositeMinistryOfEducation,OppositeUnitedNations,SanamMuaiRatchadamnoen,MinistryOfTransport,NangloengPoliceOffice,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,OppositeKongSalak,NationalTheatre,blankjaa,blankjaa,blankjaa,blankjaa
