1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97
อู่รถเมล์สาย 9 (กัลปพฤกษ์),แยกบางบอน(ถนนกัลปพฤกษ์ขาเข้า),ตรงข้ามบิ๊กซีกัลปพฤกษ์,แยกวัดสิงห์(ถนนกัลปพฤกษ์ขาเข้า),เทสโก้โลตัสกัลปพฤกษ์,เมโทรพาร์คสาทร,ซอย5เจดีย์วุฒากาศ 18,ตรงข้ามสถานีตำรวจตลาดพลู,แยกมะลิทอง,โรงพยาบาลเยาวรักษ์,"ซอยเทอดไท 37,ตรงข้ามวัดขุนจันทร์","วัดนาคปรก,ซอยเทอดไท 45","ตรงข้ามซอยเทอดไท 43,ตรงข้ามวัดนางชี","ซอยเทอดไท 30,วัดขุนจันทร์","ซอยเทอดไท 22,ตรงข้ามโรงพยาบาลเยาวรักษ์",ตลาดวัดกลาง,ใต้สะพานตลาดพลู,"วัดกลาง,วัดราชคฤห์วรวิหาร","วัดกลาง,วัดจันทาราม",วัดอินทาราม,"สำนักงานเขตธนบุรี,วัดเวฬุราชิน",บางยี่เรือ(ขาเข้า),วงเวียนใหญ่(ธนบุรีศึกษา),แยกบ้านแขก(ขาเข้า),โรงเรียนศึกษานารี,ปากคลองตลาด,โรงเรียนวัดราชบพิธ(ท่าปลายทางปากคลองตลาด),พระบรมมหาราชวัง,สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่2,โรงละครแห่งชาติ,พระอาทิตย์,ป้อมพระสุเมรุ,แยกบางลำพู 1,สำนักงานเขตพระนคร,วัดสามพระยา,ธนาคารแห่งประเทศไทย,มทร.พระนครศูนย์เทเวศร์,หอสมุดแห่งชาติ,วัดราชาธิวาสราชวรวิหาร,โรงเรียนเซนต์คาเบรียล,โรงพยาบาลวชิรพยาบาล,"วิทยาลัยอาชีวศึกษาอาชีวศิลป์,ตรงข้ามตลาดศรีย่าน","กรมชลประทาน,ศรีย่าน",ครัวคุณย่า,เทพประทับ,โรงเรียนนาฎศิลป์สัมพันธ์,ทบ.11,สถานีรถไฟสามเสน
สถานีรถไฟสามเสน,นครไชยศรี,ซอยวัดสวัสดิ์,ศรีย่าน,ตรงข้ามวชิรพยาบาล,ตรงข้ามโรงเรียนเซนต์คาเบรียล,ตรงข้ามหอสมุดแห่งชาติ,ตรงข้าม มทร.พระนครศูนย์เทเวศร์,แยกเทเวศร์,แยกบางขุนพรหม,วัดใหม่อมตรส,ตรงข้ามสำนักงานเขตพระนคร,กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),สนามหลวง(ศาลหลักเมือง),กระทรวงกลาโหม,สวนเจ้าเชตุ,พาหุรัด(เพาะช่าง-สวนกุหลาบ),ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),บางยี่เรือ(ขาออก),"วัดโพธิ์นิมิตร,วัดเวฬุราชิน(ไปรษณีย์ตลาดพลู)",สถานีรถไฟตลาดพลู,"แยกวุฒากาศ,ตรงข้ามโรงเรียนพรประสาทวิทยา","ซอยเทอดไท 37,ตรงข้ามวัดขุนจันทร์","วัดนาคปรก,ซอยเทอดไท 45","ตรงข้ามซอยเทอดไท 43,ตรงข้ามวัดนางชี","ซอยเทอดไท 30,วัดขุนจันทร์",แยกมะลิทอง(โรงเรียนวัฒนะศึกษา),ตลาดร่วมใจ(วุฒากาศ1),ตรงข้ามเมโทรพาร์คสาทร,แยกวัดสิงห์(ถนนกัลปพฤกษ์ขาออก),แยกบางบอน(ถนนกัลปพฤกษ์ขาออก),อู่รถเมล์สาย 9 (กัลปพฤกษ์),,,,,,,,,,
