1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99
อู่สวนสยาม,ตรงข้ามโรงเรียนอนุบาลสวนสยาม,ตรงข้ามสวนสยาม,สรรพากรบึงกุ่ม ตรงข้ามสวนสยาม,ซอยสวนสยาม 16,ซอยสวนสยาม 12(ซอยเก้าเเสน),ซอยสวนสยาม 6,ภัตตาคารชายทะเลจันทร์เพ็ญสาขารามอินทรา,ครัวแมกไม้,พระยาสุเรนทร์,รามอินทรา 117,หมู่บ้านสินธานี 2,ร้านอาหารแพน้ำ,รร.เศรษฐบุตรบำเพ็ญ,แยกมีนบุรี ซอยตะเกียง,วิทยาลัยเทคนิคมีนบุรี,จตุจักร 2 มีนบุรี,ตลาดมีนบุรี(อาคารปลาตะเพียนทอง),ตลาดมีนบุรี(ตลาดสด),สำนักงานเขตมีนบุรี,สำนักงานที่ดินมีนบุรี ศาลจังหวัดมีนบุรี,สถานีตำรวจมีนบุรี,เรือนจำพิเศษมีนบุรี,ตรงข้ามเรือนจำพิเศษมีนบุรี,ตรงข้ามโรงเรียนพรสุดา อู่สุวินทวงศ์เก่า,หมู่บ้านพฤกษาบุรี แยกถนนนิมิตรใหม่,โรงเรียนสุเหร่าแสนแสบ,ซอยประชาร่วมใจ 11,สหกรณ์บึงทรายกองดิน,ซอยประชาร่วมใจ 55 มัสยิดอัสสละฟียะฮ์,ซอยมิตรไมตรี 28,ซอยมิตรไมตรี 22(แยกลำหิน),ซอยมิตรไมตรี 20 กิตติชัยวิลล่า 7,ซอยมิตรไมตรี 18/3 บริษัทแคนคุนจำกัด,การเคหะแห่งชาติหนองจอก,ซอยหมู่บ้านเต็มสิริ,ซอยมิตรไมตรี 12,ตรงข้ามสำนักงานคณะกรรมการกลางอิสลามแห่งประเทศไทย,มิตรไมตรี10/1 โรงเรียนตะลีมุดดีนีบะห์หมู่บ้านเค.ซี.,มิตรไมตรี8/3 หมู่บ้านกิตติชัยวิลลา2 ซีนะอุปถัมภ์,ซอยมิตรไมตรี 8,ซอยมิตรไมตรี 6,โรงเรียนหนองจอกพิทยานุสสรณ์มัธยม,ตรงข้ามเลียบคลองบึงเตย,ตรงข้ามซอยประชาสำราญ 2,ตรงข้ามซอยแสนเกษม,ตรงข้ามซอยพัฒนสุข,ตรงข้ามหมู่บ้านเธียรทอง 2,ตรงข้ามซอยเธียรทอง 2,หมู่บ้านเธียรทอง 3
ซอยพัฒนสุข,ซอยประชาสำราญ 2,เลียบคลองบึงเตย,ซอยสุสานอิสลาม,ซอยมิตรไมตรี 14,อนุวัฒน์ออโต้แอร์,ซอยประชาร่วมใจ 71,ซอยประชาร่วมใจ 76,ซอยประชาร่วมใจ 74 ส.อิสลาม,ตรงข้ามซอยประชาร่วมใจ 63,ซอยประชาร่วมใจ 68,ซอยประชาร่วมใจ 62,ซอยประชาร่วมใจ 52,ซอยประชาร่วมใจ 50,ซอยประชาร่วมใจ 48 โรงเรียนซาลีมุนยีนาม,ซอยประชาร่วมใจ 40,ซอยประชาร่วมใจ 28,ซอยประชาร่วมใจ 14,มูลนิธิเพื่อคุณธรรม,ซอยประชาร่วมใจ 6 รวมโชคค้าวัสดุ,ซอยประชาร่วมใจ4,มัสยิดฮิดาย่าตุ้ลอิสลามียะห์,พฤกษาวิลล์14 มีนบุรี-นิมิตรใหม่,ตรงข้ามจัดสรรหมอชาติซอย 3,แยกสุวินทวงศ์-รามคำแหง การไฟฟ้านครหลวงเขตมีนบุรี,ตรงข้ามการประปามีนบุรี,ตรงข้ามสถานีตำรวจมีนบุรี,โรงเรียนสตรีเศรษฐบุตรบำเพ็ญ,สวนเฉลิมพระเกียรติร.9มีนบุรี,หน้าร้านทองมีนบุรี,โรงพยาบาลนวมินทร์ 9,แยกมีนบุรีตรงข้ามตะเกียง ปั้มบางจาก,รามอินทรา 90,ตรงข้าม รร.เศรษฐบุตรบำเพ็ญ,รามอินทรา 86,รามอินทรา 84,หม่อมเจ้าสง่างามฯ,ตรงข้ามรามอินทรา 115,ตรงข้ามพระยาสุเรนทร์,ซอยรามอินทรา74 หมู่บ้านรังสิยา,วิทยาลัยทักษิณา(ไทยสุริยะเก่า),หมู่บ้านสวนสยามตรงข้ามโลตัส,ตรงข้ามซอยสวนสยาม 14(หมู่บ้านเก้าแสน),สวนสยาม,อู่สวนสยาม,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
