1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57
OppositeCharoenKrungHospital,TalatBangkholaemCharoenKrungSoi84,WatLatBuaKhao,WatPhrayaKrai,AsiatiqueTheRiverfont,WatRatSingkhon,MenamRiversidePlaza(Mamada)PhanaSiri,OppositeBaanMai,SamnaknganPraisaniWatPhrayaKrai,OngkanSaphanpla,WatSuthi,RongrianSatriSiSuriyoThaiKromUThahanRuea,WatYanNawa,RobinsonBangrak,AssumptionCollege,TalatNoi,SongWat,ThianfahHospital,ChaloemburiIntersection,OldMarketYaowarat,WatTuk,Wangburapa,ChaloemKrung,TerritorialDefenseCommand,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
TerritorialDefenseCommand,OppositeCharachonKlang,OppositeChalermkrung,SinDamRong,Klongthom(CharoenkrungSide),KwongsiewHospital,OdeonCircle,ThanonKhaolam,HuaLamphongIntersection,WatMahapruttaram,Siphaya,WatKaeoChaemFa,SonoBangRak,OngkanThorasap,Mahesak,ORianTen,OppositeRobinsonBangrak,OppositeWatYanNawa,RajamagalaUniversityOfTechnologyKrungthep(SouthBangkokCampus),OppositeWatSutthi,OppositeSaphanpla,TrokBaYan,OppositeRongraemMaenam,WatRatSingkhonOpposite,CharoenKrung93,WatprayakaiPoliceStation,OppositeWatLatBuaKhao,TalatBangkholaem,CharoenKrungHospital
