1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131
สวนลุมไนท์บาร์ซ่าร์,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),โรงพยาบาลจุฬาลงกรณ์(ฝั่งราชดำริ),แยกสารสิน,ตรงข้ามเอยูเอ,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก1),โรงพยาบาลตำรวจ,เซ็นทรัลเวิลด์,พันธุ์ทิพย์ประตูน้ำ,รร.กรุงเทพการบัญชี,กิ่งเพชร,อุรุพงษ์,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,วิทยาเขตพณิชยการพระนคร,ทำเนียบรัฐบาล,วังแดง,ท่าปล่อยรถสาย 99,หอสมุดแห่งชาติ,วัดราชาธิวาสราชวรวิหาร,โรงเรียนเซนต์คาเบรียล,โรงพยาบาลวชิรพยาบาล,"วิทยาลัยอาชีวศึกษาอาชีวศิลป์,ตรงข้ามตลาดศรีย่าน","กรมชลประทาน,ศรีย่าน","แม็คโครบางกะบือ,ซอยสามเสน 25",กองพันทหารม้าที่ 4 รักษาพระองค์,ตรงข้ามสถานีวิทยุยานเกราะ,โรงเรียนโยธินบูรณะ,ตรงข้ามวัดประดู่,"ประชาราษฎร์ 1 ซอย7/1,ตรงข้ามสถานีดับเพลิงบางโพ","สี่แยกบางโพ,โรงพยาบาลบางโพ",ตรงข้ามโรงเรียนเทพสัมฤทธิ์,ซอยเยาวพา,ตรงข้ามตลาดเตาปูน,"ประชานฤมิตร,ธนาคารกสิกรไทย,ประชาคม,กรุงเทพ-นนทบรุี 5","ซอยกรุงเทพ-นนทบุรี 13,ซอยไสวสุวรรณ","สถานีตำรวจเตาปูน,ซอยกรุงเทพ-นนทบุรี 17","วัดเชิงหวาย,ซอยกรุงเทพ-นนทบุรี 21/1",โรงงานทอผ้า,"ตลาดบางซ่อน,ซอยกรุงเทพ-นนทบุรี 25",ซอยกรุงเทพ-นนทบุรี 29,ตรงข้ามกรมยุทธบริการ(ขาออก),ตรงข้ามกรมยุทธทหาร,"บางซ่อน, วงศ์สว่าง",ตรงข้ามซอยกรุงเทพ-นนทบุรี 56,ซอยกรุงเทพ-นนทบุรี 43,ตรงข้ามวัดทางหลวง,โรงพยาบาลสัตว์กรุงเทพ-นนท์,ซอยกรุงเทพ-นนทบุรี 11,บิ๊กซี นนทบุรี,ตรงข้ามกระทรวงสาธารณสุข,ซอยติวานนท์ 3,เรวดี,ตรงข้ามซอยปิ่นประภาคม 1,เทสโก้โลตัสรัตนาธิเบศร์,สถานีวิทยุดาวเทียมนนทบุรี,โรงเรียนสันติวัล,"กรมพลาธิการทหารบก,ซอยติวานนท์ 31","ซอยติวานนท์ 39,บริษัท โตชิบา",ธนาคารออมสินสาขาติวานนท์,"ตรงข้ามซอยสามัคคี,โรงเรียนสอนขับรถทิพวัลย์",ตรงข้ามกรมชลประทาน,วิทยาลัยการชลประทาน,เมเจอร์ฮอลิวูดปากเกร็ด,ธนาคารออมสินสาขาปากเกร็ด
"ซอยบุญศรี,ตรงข้ามโรงพยาบาลวิภาราม",ตรงข้ามเมเจอฮอลิวูดปากเกร็ด,ตรงข้ามที่ทำการไปรษณีย์ห้าแยกปากเกร็ด,"ธนาคารกรุงเทพสาขาห้าแยกปากเกร็ด,ซอยติวานนท์-ปากเกร็ด12",วิทยาลัยการชลประทานติวานนท์ปากเกร็ดซอย4,โรงเรียนชลประทานสงเคราะห์,"ซอยสามัคคี,หน้าร้านอาหารเยาวราช","ตรงข้ามธนาคารออมสิน,ซอยติวานนท์ 50/1",ซอยสถิตย์ยุทธการ 5,โตโยต้าเมืองนนทบุรี,"ซอยติวานนท์ 36,ทานสัมฤทธิ์","โรงเรียนนนทบุรีพิทยาคม,ตรงข้ามโรงเรียนสันติวัล","ไปรษณีย์นนทบุรี,ไฟฟ้านนทบุรี,ตรงข้ามสถานีวิทยุดาวเทียมนนทบุรี",โรงพยาบาลทรวงอก,ซอยปิ่นประภาคม 1,โรงพยาบาลบำราศนราดูร,"ซอยติวานนท์ 8, คนติดดิน",กระทรวงสาธารณสุข(ซอย หลวงวิเชียรแพทยาคม),ตรงข้ามบิ๊กซีติวานนท์,ธนาคารซีไอเอ็มบีไทย,ซอยกรุงเทพ-นนท์ 14,ซอยศิริชัย 1/1,โรงเรียนเขมวิทยา,วัดทางหลวง,ตรงข้ามซอยกรุงเทพ-นนท์ 43,ซอยกรุงเทพ-นนทบุรี 56,กรมยุทธบริการ,"ซอยกรุงเทพ-นนทบุรี 44,ตรงข้ามซอยสมถวิล","ดีสแควร์,ครัวคุณสุ,โรงเรียนอนุบาลพิริยะโยธิน","ตลาดบางซ่อน,ถนนกรุงเทพ-นนทบุรี 25","ตรงข้ามโรงงานทอผ้า,ซอยกรุงเทพ-นนทบุรี 34","ตรงข้ามวัดเชิงหวาย,ไปรษณีย์บางซื่อ",สถานีตำรวจเตาปูนซอยกรุงเทพ-นนทบุรี 26,ตรงข้ามซอยไสว,"ตรงข้ามประชานฤมิตร,ตรงข้ามธนาคารกสิกรไทย","ตลาดเตาปูน,ซอยกรุงเทพ-นนทบุรี4",ซอยสะพานขวา,"โรงเรียนเทพสัมฤทธิ์,ซอยพัฒนา",แยกบางโพ,"สถานีดับเพลิงบางโพ,ถนนประชาราษฎร์สาย 1 ซอย 16",วัดประดู่,"แยกเกียกกาย,ตรงข้ามวัดแก้วฟ้าจุฬามณี",ม.พัน 4 กองพันทหารม้าที่ 4 รักษาพระองค์,กองพันทหารม้าที่ 4 รักษาพระองค์,"บางกะบือ,น้อมจิตต์,ห้างสุพรีม",โรงเรียนพณิชยการสามเสน,ศรีย่าน,ตรงข้ามวชิรพยาบาล,ตรงข้ามสามเสน11-13,ตรงข้ามโรงเรียนเซนต์คาเบรียล,ตรงข้ามหอสมุดแห่งชาติ,ท่าปล่อยรถ เทเวศร์ (72),สำนักงานก.พ,โรงเรียนราชวินิตร,สนามม้านางเลิ้ง,ตรงข้ามโรงพยาบาลมิชชั่น,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,บิ๊กซีราชดำริ,เพนนินซูล่าพลาซ่า,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก2),สถาบันสอนภาษา Aua,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),สวนลุมพินีป้ายแรก (เข้าเมือง),
