1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181
ท่าปล่อยรถ สนามหลวง (53L 59 503),สนามหลวง(ตรงข้ามม.ธรรมศาสตร์),สนามหลวง(ตรงข้ามวัดมหาธาตุ),สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),สภาทนายความ,สำนักงานปฎิรูปที่ดินเพื่อเกษตรกรรม,"โรงเรียนแผนที่ทหาร,แยกจ.ป.ร.",องค์การสหประชาชาติ,กระทรวงศึกษาธิการ,ตรงข้ามกองทัพภาคที่ 1,ลานพระรูปทรงม้า,สวนจิตรลดา,กระทรวงการต่างประเทศ,โรงพยาบาลสงฆ์,ท่าปล่อยรถ รพ.สงฆ์,ตรงข้ามโรงเรียนสันติราษฎร์วิทยาลัย,สำนักงานเขตราชเทวี,กรมแพทย์ทหารบก,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),"ซอยพหลโยธิน 1,ซอยลือชา",โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),"ซอยพหลโยธิน 5,ซอยราชครู",ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,"ซอยพหลโยธิน 11,ซอยเสนาร่วม",ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),เซ็นทรัลลาดพร้าว,ตรงข้ามกองปราบปราม,ตรงข้ามโรงเรียนสตรีวรนาถบางเขน,ตรงข้ามตึกช้าง,โรงเรียนไทยวิจิตรศิลป์,ตรงข้าม รพ.เมโย,แยกเกษตร(ตลาดอมรพันธ์),มหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),กรมส่งเสริมการเกษตร,สำนักงานคณะกรรมการวิจัยแห่งชาติ,กรมป่าไม้,ไปรษณีย์จตุจักร,ตรงข้ามมหาวิทยาลัยศรีปทุม,โรงเรียนบางบัว,โรงเรียนปราโมชวิทยาทาน,สวนอาหารบางบัว,ซอยพหลโยธิน 49/2,หน้าอู่บางเขน,วัดพระศรีมหาธาตุ,ตรงข้ามเทสโก้โลตัสบางเขน,"ซอยน้ำใส,ซอยพหลโยธิน 61",ซอยพหลโยธิน 65,ตรงข้ามซอยสายหยุด,"ธนาคารกรุงไทย,ตรงข้ามโรงพยาบาลเซ็นทรัล",ตรงข้ามบิ๊กซีสะพานใหม่,ตลาดไทยณรงค์,ตลาดยิ่งเจริญ,"ตรงข้ามแยกวัดเกาะ,แยกสายไหม,ช่องทางพาราจันทร์","ตรงข้ามช่องทางท่าดินแดง,โรงเรียนเสนาธิการทหารอากาศ",ตรงข้ามโรงพยาบาลภูมิพลอดุลยเดช,ตรงข้ามสโมสรทหารอากาศ,ตรงข้ามโรงเรียนฤทธิยะ,พิพิธภัณฑ์กองทัพอากาศ,"กองบัญชาการกองทัพอากาศไทย,ตรงข้ามโรงเรียนนายเรือ","แยก คปอ.,แยกแปดแฉก","ตรงข้าม กม.25,ซอยพหลโยธิน 54/1",ตรงข้ามซอยแอนเนกซ์,"หมู่บ้านการ์เด้นโฮม,ตรงข้ามซอย 39",ตรงข้ามโรงพยาบาลบีแคร์,ตรงข้ามแยกลำลูกกา,"บิ๊กซี,ตรงข้ามเซียร์รังสิต",ตลาดสี่มุมเมือง,"วัดประยูร,หมู่บ้านสีวลี",มหาวิทยาลัยรังสิต,แม็คโครรังสิต,ตลาดรังสิต,ตรงข้ามหมู่บ้านรัตนโกสินทร์ 200 ปี,อู่รังสิต,,,,,,,,,
อู่รังสิต,หมู่บ้านรัตนโกสินทร์ 200 ปี,โรงพยาบาลปทุมเวช,ฟิวเจอร์ปาร์ครังสิต,เมเจอร์รังสิต,โรงเรียนธัญบุรี,ฟาร์มโชคชัย,ตรงข้ามวัดประยูรจินดารามพหลโยธิน 84,โรงพยาบาลแพทย์รังสิต,เซียร์รังสิต,แยกลำลูกกา,"กม.27,ซอยพหลโยธิน 62/2 แยก2-1",โรงพยาบาลบีแคร์เมดิคอลเซ็นเตอร์,หมู่บ้านการ์เด้นโฮม,ซอยแอนเน็กซ์,กม.26,"กม.25,พหลโยธิน 54/4",ประตูกรุงเทพ,แยก คปอ.,โรงเรียนนายเรืออากาศ,หอประชุมกานตรัตน์,โรงเรียนฤทธิยะ,"สโมสรทหารอากาศ,หอประชุมกองทัพอากาศ",โรงพยาบาลภูมิพลอดุลยเดช,"แยกท่าดินแดง,ตรงข้ามโรงเรียนเสนาธิการทหารอากาศ",แยกวัดเกาะ,สะพานใหม่ตรงข้ามตลาดยิ่งเจริญ,"ซอยโชคดี 2,ตรงตลาดไชยณรงค์",บิ๊กซีสะพานใหม่,"ตรงข้ามธนาคารกรุงไทย,โรงพยาบาลเซ็นทรัล",ซอยสายหยุด,ธนาคารไทยพาณิชย์(พหลโยธิน46/1),หมู่บ้านฝนทอง,"เทสโก้โลตัสหลักสี่บางเขน,กรมทหารสื่อสารกองทัพบก","การไฟฟ้าบางเขน,กรมทหารราบที่11(ประตู1)",ตรงข้ามอู่บางเขน,ตรงข้ามซอยพหลโยธิน 51,กรมทหารราบที่11(ประตู2),กรมทหารราบที่11(ประตู3),วัดบางบัว,มหาวิทยาลัยศรีปทุม,โรงเรียนสารวิทยา,กรมวิทยาศาสตร์ทหารบก,โรงแรมมารวย,สำนักงานใหญ่ธกส.,ตรงข้ามมหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),แยกเกษตร(พหลโยธิน34/2),รพ.เมโย,วิทยาลัยเทคโนโลยี ไทยวิจิตรศิลป,ตรงข้ามเมเจอร์รัชโยธิน,ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,ธนาคารทหารไทย (สำนักงานใหญ่),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,"ซอยพหลโยธิน 8,ซอยสายลม",ป้ายรถประจำทาง BTS อารีย์(ทางออก4),"ซอยราชครู,ตรงข้ามซอยพหลโยธิน 5","ซอยพหลโยธิน 2,ซอยกาญจนาคม",ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,"ซอยลือชา,ตรงข้ามซอยพหลโยธิน 1",อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),โรงเรียนสันติราษฎร์วิทยาลัย,สถานีตำรวจนครบาลพญาไท,โรงเรียนอำนวยศิลป์,กรมทางหลวง(ถนนศรีอยุธยา),ตรงข้ามสวนจิตรลดา,วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร,ลานพระรูปทรงม้า(ถนนศรีอยุธยาขาออก),กองทัพภาคที่ 1,ตรงข้ามกระทรวงศึกษาธิการ,ตรงข้ามองค์การสหประชาชาติ,สนามมวยราชดำเนิน,กระทรวงคมนาคม,สถานีตำรวจนางเลิ้ง,"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),สนามหลวง(กรมศิลปากร),สนามหลวง(ม.ธรรมศาสตร์),ท่าปล่อยรถ สนามหลวง (53L 59 503)
