1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65
โรงเรียนวัดราชบพิธ(ท่าปลายทางปากคลองตลาด),พระพิพิธ,พาหุรัด(เพาะช่าง-สวนกุหลาบ),สะพานพุทธ,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),"วงเวียนใหญ่,ตลาดวงเวียนใหญ่",ตรงข้ามศาลเจ้าแซ่ซิ้ม,ไปรษณีย์สำเหร่,ตลาดสำเหร่(ซอยวัดสุทธาราม),ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,"ธนาคารกสิกรไทยสาขาดาวคะนอง,ตรงข้ามบิ๊กซืดาวคะนอง",ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,ตลาดบางปะกอก,ตรงข้ามวัดสารอด,แยกประชาอุทิศ,สุขสวัสดิ์ กม.9(ลงทางด่วน),วัดสน,วัดรวก,ตรงข้ามเมเจอร์พระประแดง(ต่างระดับวงแหวนอุตสาหกรรม),ธนาคารกรุงเทพ(ถนนนครเขื่อนขันธ์),วัดกลาง,ตลาดพระประแดง
ตรงข้ามวัดพญาปราบ,ตรงข้ามวัดกลาง,แยกพระประแดง,เมเจอร์พระประแดง(ต่างระดับวงแหวนอุตสาหกรรม),ตรงข้ามซอยวัดรวก,ตรงข้ามวัดสน,ซอยเด็กกรำพร้า,สุขสวัสดิ์ กม.9,วัดสารอด,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงเรียนแสงทองโทรทัศน์,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,วงเวียนใหญ่(ธนบุรีศึกษา),แยกบ้านแขก(ขาเข้า),โรงเรียนศึกษานารี,ปากคลองตลาด,โรงเรียนวัดราชบพิธ(ท่าปลายทางปากคลองตลาด),,,,,
