1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83
VictoryMonument(DinDaengSide),OppositeSantiphapPark,OncbOffice,VeteransHospital,ThisSecondarySchool,OppositeUtcc,ArmyStadium,ArmyClub,BangkokPanGroupBusiness,SutthisanIntersection(ViphavadiRangsitRoad),AkhanAmata,Children'SPalaceViphawadiSoi3OppositeChockchairuammit,5Viphawadi,OppositeosedThaiAirwaysInternational(Headquarters),ThaiYonRat,Mahanakhon,RongrianSenChon,CentralLadprao,OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,ThaivichitsilpArtSchool,OppositeMayoHospital,KasetIntersection(Amornpan),AmonphanMarket(SoiAmonphan),OppositeKasetsartUniversity,Kaset,OppositeChinKhet2,F1Chinnakhet(Nukhonthon),PhongphetIntersection(PhongPhetDamnoen),SuanAhanFriday,SoiPrachaChuen-Nonthaburi2,SoiPrachaChuen-Nonthaburi4,SoiPrachaChuen-Nonthaburi5,OppositeDhurakijPunditUniversity,SamakkeeSoi62,PrachaOoppositeathumSchool,MubanPrachaniwet2SoiSamakkee65,MubanPromnivej,blankjaa,blankjaa,blankjaa
MubanPromNivej,TaiThangduan,MubanPrachaniwet2,MathanaSchoolOfHotelAndTourism,OppositeSamakkeeSoi62,MubanThaSai,DhurakijPunditUniversity,PrachachuenSoi7,PrachachuenNonthaburiSoi5,OppositeSoiPrachaChuen-Nonthaburi4,MubanPatsorn,PhongphetIntersection(SoiPhongPhetPhathana),F1Chinnakhet,ChinKhet2,KlongPremCentralPrison,KlongPremCentralPrisonOppositeElectricity.,KasetPratu3,KasetsartUniversity,KasetIntersection(Phahonyothin34/2),MayoHospital,OppositeThaivichitsilpArtSchool,MajorRatchayothin,ElephantBuilding,SatriWoranatBangkhenSchool,CrimeSuppressionDivision,TescoLotusLatphrao,OppositeCentralLadprao,SenChonSchool,BorisatMahanakhon,KanBinThai(SamnaknganYai),SoiBuaSuwanThanakhanKrungthep,SoiWiphawadi18,SoiChockchairuammit,SoiWiphawadi14,YaekSutthiSan(Dapphloeng),SunFuekRaksaDindaen,UniversityOfTheThaiChamberOfCommerce,RongrianSuraSakMontri,OppositeTheOppositeHospitalVeteran,SriwanitMarket,SantiphapPark,VictoryMonument(DinDaengSide)
