1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127
ป้ายรถประจำทาง BTS สุรศักดิ์ (ทางออก3),โรงเรียนกรุงเทพคริสเตียนวิทยาลัย,ศึกษาวิทยา,ป้ายคอนแวนต์,สาทร-คอนแวนต์,ไทยธนาคาร ศูนย์มิตซู,ซอยสาทร 2,สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,โรงงานยาสูบ,ตรงข้ามการไฟฟ้าคลองเตย,ซอยไผ่สิงห์โต ตรงข้ามตลาดคลองเตย,ซอยเจริญสุข,ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),สายน้ำผึ้ง(ซอย สุขุมวิท 22),ตรงข้ามเทสโก้โลตัสพระราม 4,ตรงข้ามอาคารสิรินรัตน์,บอสทาวเวอร์,ตรงข้ามโรงพยาบาลเทพธารินทร์,ศาลเจ้าพ่อกวนอู,ตรงข้ามมหาวิทยาลัยกรุงเทพกล้วยน้ำไท,ตรงข้ามซอยเจียรสวัสดิ์,แยกกล้วยน้ำไท(ไปรษณีย์กล้วยน้ำไท),ตรงข้ามซอยฟาร์มวัฒนา,โรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),โรงเรียนพระโขนงวิทยา,ตลาดพระโขนง,ดับเพลิง อ่อนนุช,ซอยสุขุมวิท 79,ป้ายรถประจำทาง BTSอ่อนนุช ซอยสุขุมวิท 81 (ศิริพจน์),ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(ขาออกป้ายที่2),ป้ายรถประจำทาง BTS บางนา กรมอุตุวิทยา,หมู่บ้านนภาลัย,ป้ายรถประจำทาง BTS แบริ่ง(ซอยลาซาล),ซอยแบริ่ง,ซอยสันติคาม(สุขุมวิท109),ตลาดธรรมสาโรจน์,ตลาดสำโรง(ถนนสุขุมวิท),ตรงข้ามอิมพิเรียลสำโรง(ตลาดสำโรง),แยกถนนเทพารักษ์,โรงเรียนอนุบาลเทพารักษ์,สถานพยาบาลบารมีการแพทย์,ตรงข้ามโรงงานไทยฮีโน่,ตรงข้ามโรงพยาบาลจุฬารัตน์ 2,โรงเรียนโพธิ์เทพารักษ์,ตรงข้ามเทพารักษ์วิลล่า,ซอยเทวา 3,หมู่บ้านศิริกานต์,ตรงข้ามหมู่บ้านร่มโพธิ์ 2,ตรงข้ามโรงงานseagate,ตรงข้ามบริษัทไทยามาโต้ไอรอน,ตรงข้ามซอยที่ดินทอง 4,ตรงข้ามซอยสยามนิเวศร์ 2
หนามแดง,ซอยชวาล 2,หน้าบริษัทไทยามาโต้ไอรอน,หน้าโรงงานseagate,หมู่บ้านทหารเรือ,โรงแรมสตาร์อินน์(ถนนเทพารักษ์ขาเข้า),ซอยร่วมจิตพัฒนา,เทพารักษ์วิลล่า,โรงพยาบาลจุฬารัตน์ 2,หน้าโรงงานไทยฮีโน่,ซอยเทพารักษ์ 14,ตลาดสำโรงตรงข้ามสุขุมวิท 111,ซอยสันติคาม(ธ.นครหลวงไทย),ซอยโปษยานนท์,ป้ายรถประจำทาง BTS แบริ่ง ลาซาล,หมู่บ้านนภาลัย รพ.มนารมย์,ตรงข้ามกรมอุตุนิยมวิทยา ป้ายรถประจำทาง BTS บางนา,แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),ตรงข้ามตลาดอ่อนนุช การประปาพระโขนง,ตรงข้ามตลาดพระโขนง,กล้วยน้ำไทแสตนเลส,ธนาคารกรุงศรีอยุธยา(ถนนพระราม4ขาเข้า),ตรงข้ามโรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),ซอยฟาร์มวัฒนา,แยกกล้วยน้ำไท,ซอยเจียรสวัสดิ์,มหาวิทยาลัยกรุงเทพกล้วยน้ำไท,กวลกลการ,โรงพยาบาลเทพธารินทร์,บ้านกล้วย ตรงข้ามบอสทาวเวอร์,มโนรมย์,เทสโก้โลตัสพระราม 4,ตรงข้ามร้านอาหารสรทอง,สายน้ำผึ้ง,ซอยชัยมงคล1,การไฟฟ้าคลองเตย,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),ลุมพินีประทุมวัน,ซอยสาทร 1,โรงแรมสุโขทัย,สถานทูตออสเตรเลีย,อาคารสาธรซิตี้ทาวเวอร์,แยกนรินธร โรงพยาบาลบางรัก,โรงพยาบาลเซ็นต์หลุย,อาคารไทย Cc,ซอยโรงน้ำแข็ง,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
