1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83
TheRiverCondominiam,WatSuwan,OppositeKlongsanMarket,Latya14,LatyaJunction(Inbound),Latya8,KrungdebCo-OperativeLatya,OppositeRobinsonLatya,BangYiRea(Outbound),WatPhoNimitWatWelurachin(TaladPhluPostOffice),SoiThoetThai19,TalatPhluRailwayStation,OppositeRongrianPhonPrasatWitthaya,MaliThongIntersection(WatthanaSuksaSchool),RuamchaiMarket,Anamai29PhutNet,OppositeWatNangnong,OppositeWutthakatSoi46,WutthakatIntersection(SoiSide),SoiLoetNuea-LoetTai,ThiamSapOmKan3/2,WatMakluea,Daokhanong,BigCDaoKhanong,BukKaLo,CharoenNakhon56,ThaiSeri(CharoenNakhon52),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeThanonWuThaKat,WutthakatIntersection(OppositeSois),WutthakatSoi46,WatNangnong,Anamai29PhutNet(Soi36/2),SaphanWuThaKat1,ChumchonSantiSuk,TalatPhutPoliceStation,MaliThongIntersection,YaowarakHospital,SoiThoetThai22,TalatWatKlang,YaekTalatPhlu,WatRatKharue,WatInThraRam,WatInThaRam,ThonBuriDistrictOfficeWatWelurachin,BangYiRea(Inbound),RobinsonLatya,TotLatya,Latya11,LatyaJunction(Outbound),SoiLatya17,SomdetChaoprayaHospital(LatyaSide),KlongsanMarket,Iconsiam,ThePeninsulaBangkok,OppositeRongrianAnubanBanThai,SoiCharoenNakhon17,CharoenNakhon21-23,WatSawetchat,SoiCharoenNakhonSoi39,CharoenNakhonSoi51,TalatCharoenNakhon,ThaiSeri(OppositeCharoenNakhon52),SoiCharoenNakhon57/1,OppositeCharoenNakhon56,MeasuredBagngmchn,YaekSaeSim
