1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119
Rama9BusDepot,BmtaHeadquarter,OppositeTriamudomRatchadaSchool,TheEmeraldHotel,HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,PrachasongkhroSoi45,PrachasongkhroSoi47,OppositeInThaMaraSoi57,InThaMaraSoi40,SutthisanPoliceStationThanonPrachaSuk(Outbound),InThaMaraSoi32,SathaniDapphloengSutthiSan,WiphawadiIntersection(SutthisanRoadOppositeInthamaraSoi31),MingKhwanMarket,OppositeInthamaraSoi21,OppositeInThaMaraSoi7,SudaHotel,BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(PhayaThaiSide),Century,WannasornTower,BusStopBTS-ArlPhayaThai,DepartmentOfLivestockDevelopment,BusStopBTSRatchathewi(Exit2),SiamCenter,WatPathumWanaram,CentralWorld,IndraSquarePratunam,OppositeSoiRangNam,OppositeWatTaphan,OncbOffice,PiboonPrachasanSchool,RajanukulInstitute,PrachaSongkhroIntersection,PrachaSongkhro1,DindaengHousingOffice,DindaengMarket,WichutitSchool,HealthCenter4,PrompanSchool,PrachaSongkhro21,PrachaSongkhro23,WatPhromWongSaram,TvcCondominium,EnemyAmnuayvidSxhool,HoNalikaHuaiKhwangDaycareCenter,OppositeTalatsotHuaiKhwang,HotelLeConcorde,TriamudomRatchadaSchool,ThailandCulturalCenter(ThiamRuamMitRoad),SiamNiramit,IzuzuShowRoom
Rama9BusDepot,BmtaHeadquarter,OppositeTriamudomRatchadaSchool,TheEmeraldHotel,HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,ThanakhanKrungthaiSakhaHuaiKhwang,HoNalikaHuaiKhwang,OppositeTvcCondominium,OppositeWatPhromWongSaram,DdTower,PrachaSongkhro16-18,Prompan,OppositeHealthCenter4,OppositeWichutitSchool,OppositeDindaengMarket,OppositeDindaengHousingOffice,PrachaSongkhro2,DindaengHousing(Stop.1),DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,SriwanitMarket,SoiRangNam,OppositeIndraSquarePratunam,BigcRajdamri,RoyalThaiPolice,SiamSquare,BusStopBTSRatchathewi(Exit3),PhayathaiPlaza,RatchathewiDistrictOffice,ArmyMedicalDepartment,VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,OppositeRongraemSudaPhaLet,InthamaraSoi10,MingKhwanMarketInthamaraSoi27,SutthisanIntersection(SutthisanWinithchaiRoad),InThaMaraSoi39,TotInThaMaraSoi32,SutthisanPoliceStationThanonPrachaSuk(Inbound),SutthisanPostOffice,InThaMaraSoi59,OppositePrachasongkhroSoi47,OppositeTalatsotHuaiKhwang,HotelLeConcorde,TriamudomRatchadaSchool,ThailandCulturalCenter(ThiamRuamMitRoad),IzuzuShowRoom,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
