1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83
อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),ตรงข้ามสวนสันติภาพ,สำนักงาน ป.ป.ส.,โรงพยาบาลทหารผ่านศึก,ตรงข้ามโรงเรียนสุรศักดิ์มนตรี,ตรงข้ามมหาวิทยาลัยหอการค้าไทย,สนามกีฬากองทัพบก,สโมสรทหารบก,บริษัทกรุงเทพธุรภัณฑ์กรุ๊ปจำกัด,แยกสุทธิสาร(ถนนวิภาวดีรังสิตขาออก),อาคารอมตะตึกสีม่วง,"วิภาวดีซอย3,ตรงข้ามซอยโชคชัยร่วมมิตร",ซอยวิภาวดี 5,ตรงข้ามบริษัทการบินไทย(สำนักงานใหญ่),ไทยรัฐ,อาคารซันทาวเวอร์,ตรงข้ามโรงเรียนเซนต์จอห์น,เซ็นทรัลลาดพร้าว,ตรงข้ามกองปราบปราม,ตรงข้ามโรงเรียนสตรีวรนาถบางเขน,ตรงข้ามตึกช้าง,โรงเรียนไทยวิจิตรศิลป์,ตรงข้าม รพ.เมโย,แยกเกษตร(ตลาดอมรพันธ์),ตลาดอมรพันธ์(ซอยอมรพันธ์),ตรงข้ามมหาวิทยาลัยเกษตรประตู1,ตรงข้ามมหาวิทยาลัยเกษตรประตู3,ตรงข้ามชินเขตน์2,ตรงข้ามชินเขตน์1(นุกูลธร),แยกพงษ์เพชร(พงษ์เพชรดำเนิน),สวนอาหารฟรายด์เดย์,ประชาชื่น-นนทบุรี 2,ประชาชื่น-นนทบุรี 4,ประชาชื่น-นนทบุรี 5,ตรงข้ามมหาวิทยาลัยธุรกิจบัณฑิตย์,ซอยสามัคคี(ซอยสามัคคีขาออก),โรงเรียนประชาอุปถัมภ์,หมู่บ้านประชานิเวศน์ 2ห้องอาหารแม่กลอง,หมู่บ้านพรหมนิเวศน์(ซอยสามัคคี 50),,,
หมู่บ้านประชานิเวศน์ 2(ซอยสามัคคี 63),ใต้ทางด่วน,หมู่บ้านประชานิเวศน์ 2,โรงเรียนการโรงแรมและการท่องเที่ยวมาทาน่า,ซอยสามัคคี(ถนนสามัคคีขาเข้า),หมู่บ้านท่าทราย,มหาวิทยาลัยธุรกิจบัณฑิตย์(ประชาชื่น),หมู่บ้านซิตตี้ลากูน,ซอยประชาชื่นนนทบุรี 5,หมู่บ้านประภัทรสร,หมู่บ้านรัดดารมย์ตรงข้ามนนทบุรีซอย 2,แยกพงษ์เพชร(ซอยพงษ์เพชรพัฒนา),ชินเขตน์ 1,ชินเขตน์ 2,ตรงข้ามเรือนจำกลางคลองเปรม(ซอยศรีจั่น),"ตรงข้ามเรือนจำกลางคลองเปรม,การไฟฟ้า",มหาวิทยาลัยเกษตรประตู 3,มหาวิทยาลัยเกษตรประตู 1,แยกเกษตร(พหลโยธิน34/2),รพ.เมโย,วิทยาลัยเทคโนโลยี ไทยวิจิตรศิลป,ตรงข้ามเมเจอร์รัชโยธิน,ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,โรงเรียนเซนต์จอห์น,บริษัทมหานคร,การบินไทย(สำนักงานใหญ่),"ซอยบัวสุวรรณ,ธนาคารกรุงเทพ","ซอยวิภาวดี 18,ตึกวรสิน",ซอยโชคชัยร่วมมิตร,"ซอยวิภาวดี 14,ก่อนถึงแยกสุทธิสาร",แยกสุทธิสาร(ดับเพลิง),ศูนย์ฝึกรักษาดินแดน,มหาวิทยาลัยหอการค้าไทย,โรงเรียนสุรศักดิ์มนตรี,ตรงข้ามโรงพยาบาลทหารผ่าศึก,ตลาดศรีวานิช,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง)
