1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115
ท่าปล่อยรถ สนามหลวง (53L 59 503),สนามหลวง(ตรงข้ามม.ธรรมศาสตร์),สนามหลวง(ตรงข้ามวัดมหาธาตุ),สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่2,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),หมู่บ้านเปี่ยมรัก,สถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),บ้านภาณุ(ซอยบรมราชชนนี 91),โรงพยาบาลธนบุรี 2,ตรงข้ามกองบังคับการตำรวจนครบาล 7,ตรงข้ามสถานีตำรวจคู่ขนานลอยฟ้า,หมู่บ้านกฤษดานคร 20,ร้านบุญถาวรบรมราชชนนี,ตรงข้ามหมู่บ้านอมรชัย 3,พุทธมณฑลสาย 3-บรมราชชนนี(ขาออก),"ศาลเจ้า,ฟอร์ดพุทธมนฑล",ตรงข้ามโรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านลดาวัลย์,ศูนย์หนังสือธรรมสภา,ตรงข้ามหมู่บ้านสุขทวี,"ซอยบรมราชชนนี 121,หมู่บ้านพรรษพฤกษา",หมู่บ้านสกุลทิพย์บรมราชชนนี 123,"ตลาดพุทธ,",มหาวิทยาลัยมหิดลวิทยาลัยเขตศาลายาประตู3,มหาวิทยาลัยมหิดลศาลายาประตู4,ตลาดศาลายา,ตรงข้ามสถานีรถไฟศาลายา,ตรงข้ามที่ว่าการอำเภอพุทธมณฑล,โรงเรียนมหิดลวิทยานุสรณ์,โลตัสเอ็กซ์เพรสศาลายา,ตรงข้ามตลาดใหม่ศาลายา,กรมยุทธศาสตร์ทหารเรือ,แยกสาย5(ขาออก),,,,,,,,,
องค์การบริหารตำบลศาลายา,แยกสาย5(ขาเข้า),ตรงข้ามกรมยุทธศาสตร์ทหารเรือ,ตรงข้ามโรงเรียนมหิดลวิทยานุสรณ์,ที่ว่าการอำเภอพุทธมณฑล,สถานีรถไฟศาลายา,ฮั่วเซ่งฮง,ตรงข้ามมหาวิทยาลัยมหิดลศาลายาประตู4,ตรงข้ามมหาวิทยาลัยมหิดล(ศาลายา),ตรงข้ามตลาดพุทธ,หมู่บ้านสกุลทิพย์,ซอยพรรษพฤกษา,ตรงข้ามหมู่บ้านสกุลทิพย์,ซอยบรมราชชนนี 78,โรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านปัญจทรัพย์,พุทธมณฑลสาย 3-บรมราชชนนี(ขาเข้า),หมู่บ้านอมรชัย 3,ธนาคารอาคารสงเคราะห์สาขาพุทธมณฑล,หมู่บ้านพระปิ่น 2(บรมราชชนนี 70),"หมู่บ้านพระปิ่น 2,ซอยบรมราชชนนี 68",ตรงข้ามหมู่บ้านกฤษดานคร 20,หมู่บ้านเดอะซิตี้,สถานีตำรวจคู่ขนานลอยฟ้า,กองบังคับการตำรวจนครบาล 7,ตรงข้ามโรงพยาบาลธนบุรี 2,หมู่บ้านเขมรัฐ(ซอยบางกอกน้อย-นครชัยศรี),ตรงข้ามหมู่บ้านภาณุ,"บริษัท ดี.พี.เซรามิคส์จำกัด,แยกทุ่งมังกร(บรมราชชนนี60)",ตรงข้ามสถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),ตรงข้ามวัดมะกอก(แยกทุ่งมังกร),ไปรษณีย์ ตลิ่งชัน,ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,"กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย,ซอยฉิมพลี 2",บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,บรมราชชนนี 12,"ศูนย์ฟอร์ดบรมราชชนนี,ตรงข้ามโรงพยาบาลเจ้าพระยา",กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),วัดพระแก้ว(ท่าช้าง),ท่ามหาราช,ท่าพระจันทร์(ตรงข้ามวัดมหาธาตุ),สนามหลวง(ม.ธรรมศาสตร์)
