1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153
ราชพฤกษ์ ซอย 18,ถนนบรมราชชนนี 1 - 2,"กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย,ซอยฉิมพลี 2",สถานีตำรวจนครบาลตลิ่งชัน,ซอยบรมราชชนนี 63,ราชพฤกษ์ 18 หมู่บ้านณุศาศิริ,ราชพฤกษ์ 16 หมู่บ้านพฤกษ์ภิรมย์,แยกบางแวก,"ตรงข้ามหมู่บ้านอิ่มอำพร ,ร้านก้วยเตี๋ยวหมูต้มยำ,",ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,ซอยเพชรเกษม 10/2 ตลาดท่าพระรุ่งเรือง,ซอยเพชรเกษม 4 วัดสังข์กระจาย,สะพานเนาวจำเนียร(ขาเข้า),บางยี่เรือ(ขาเข้า),โรบินสันลาดหญ้า,ทีโอทีลาดหญ้า,ซอยลาดหญ้า 11,แยกลาดหญ้า(ขาออก),ซอยลาดหญ้า 17,โรงพยาบาลสมเด็จเจ้าพระยา(ฝั่งลาดหญ้า),ตลาดคลองสาน,ไอคอนสยาม,โรงแรมเพนนินซูล่า,สะพานตากสิน(เจริญนคร15),ซอยเจริญนคร 17,ซอยเจริญนคร 21-23,วัดเศวตฉัตร,ซอยเจริญนคร 39,ซอยเจริญนคร 51,ตลาดเจริญนคร(เจริญนคร55),ไทเสรี(ตรงข้ามเจริญนคร52),ซอยเจริญนคร 57/1,่เจริญนคร 59,วัดบางน้ำชน,ซอยมาตานุสรณ์,ถนนตกพระราม 3 ซอย 1,หมู่บ้านอโนทัย,ฟิวเจอร์โฮมโปร,แยกเหนือใต้,"บริษัทวาโก้,ธนาคารไทยพาณิชย์",บริษัทไทยน้ำทิพย์,หน้าไอซีซี,ซอยวัดดอกไม้,แยกสาธุประดิษฐ์(ซอย5),ศูนย์ฮอนด้าแยกสาธุประดิษฐ์,บริษัท นำแสงเอนจิเนียริ่ง,ตรงข้ามวัดปริวาส,ตรงข้ามวัดด่าน,ครูหวี 2,วัดคลองใหม่,ตรงข้ามวัดคลองภูมิ,หัวปลาช่องนนทรี,วัดช่องนนทรี,พระราม 3 ซอย 71,พระราม 3 ซอย 73,ตรงข้ามตลาดนางลิ้นจี่,ซอยนางลิ้นจี่ 2,ซอยพัฒนสิน,เทคนิคกรุงเทพซอยพยับหมอก 2,,,,,,,,,,,,,,
"วิทยุการบิน,ตรงข้ามเทคนิคกรุงเทพ",นางลิ้นจี่,366 ถนน พระราม3,คลังน้ำมัน,ตรงข้ามโรงเบียร์เยอรมันตะวันแดง,ตรงข้ามวัดช่องนนทรี,ธนาคารกรุงเทพตรงข้ามหัวปลา,ตรงข้ามธนาคารกสิกรไทยสาขาพระราม3,สมาคมเตชะสัมพันธ์,วัดคลองภูมิ,ตรงข้ามวัดคลองใหม่,ธนาคารกรุงศรีอยุธยาพระราม3,Sv ซิตี้,ซอยวัดด่าน,โรงแรมเจ้าพระยา,ซอยวัดปริวาส,โรงปูน,แยกสาธุประดิษฐ์,บริษัท ไลอ้อน,ตรงข้ามไอซีซี,ใต้สะพานแขวน,ตรงข้ามไทยน้ำทิพย์,วัดบางโคล่นอก,"แยกเหนือใต้,กรมควบคุมความประพฤติ",โรงแรมมณเฑียรริเวอร์ไซด์,ตรงข้ามฟิวเจอร์,วัดจันทร์นอก,วัดอินทร์บรรจง,ตรงข้ามโรงรับจำนำฮ่งฮวด,เชิงสะพานกรุงเทพ,เจริญนคร ซอย 57/1,ซอยโรงเรียนเกือกูล,เจริญนคร ซอย 54-56,ไทเสรี(เจริญนคร52),ตลาดเจริญนคร,เจริญนคร ซอย 38,ธนาคารกรุงไทย สาขาถนนเจริญนคร,เจริญนคร ซอย 32,ตรงข้ามวัดเศวตฉัตร,"เจริญนคร ซอย 22,23",ซอย เจริญนคร 20,สะพานตากสิน,วัดสุวรรณ,เจริญนคร ซอย 10,สหกรณ์กรุงเทพ,ตรงข้ามตลาดคลองสาน,ซอยลาดหญ้า 14,แยกลาดหญ้า(ขาเข้า),ซอยลาดหญ้า 8,สหกรณ์กรุงเทพลาดหญ้า,ตรงข้ามโรบินสันลาดหญ้า,บางยี่เรือ(ขาออก),สะพานเนาวจำเนียร(ขาออก),ตรงข้ามวัดสังข์กระจาย,ซอยเพชรเกษม 5/1,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,"เสริมมิตร,ซอยเพชรเกษม 25/1",วัดประดู่บางจาก,โรงเรียนสุจิณณ์วดี จังหวัด กรุงเทพมหานคร,ร้านอาหารวันวาน ถนนราชพฤกษ์,ถ.ราชพฤกษ์ ซ.6,หมู่บ้านลัดดาวัลย์ ถนนราชพฤกษ์,แยกบางเวก ซอยจรัญสนิทวงศ์ 13,ราชพฤกษ์ ซอย 9,"วัดสะพาน ,วัดกระโจมทอง","แยกถนนบางพรม ,ร้านอาหารครัวยี่หร่า",ราชพฤกษ์ ซอย 13,หมู่บ้านลัดดาวัลย์ ถนนราชพฤกษ์...,ราชพฤกษ์ ซอย 15 (หมู่บ้านปิ่นเกล้า),ราชพฤกษ์ ซอย 17,ต่างระดับราชพฤกษ์-บรมราชชนนี 2,บรมราชชนนี 46,ราชพฤกษ์ 19,ราชพฤกษ์ ซอย 18
