1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145
SuanChaoChet,SaranRomPalace,OppositeCharachonKlang,OppositeChalermkrung,SinDamRong,WatPhrarain,TalatWolachak,PrapaMaenSi,Mansri,HuaChieawHospital,Yossae,WatChamnihatthakarn,WatChaimongkolCharoenPhon,SathabanTheknoloyiPathumWan,BangkokArt&CultureCenter,SiamCenter,WatPathumWanaram,LangSuanBusStopBTSChitLom,CentralChidlom,SoiNaiLaertBusStopBTSPloenChit,SoiNana,PacificFellBuildingSoiSukhumvit7,SukhumvitSoi15,Sukhumvit19Robinson,SukhumvitSoi23,Sukhumvit27SainamphuengSoi22,SoiSukhumvit31,Suanbenjasiri,Emquartier,SukhumvitSoi41,SukhumvitSoi47,Sukhumvit49(Soi49),SoiSukhumvit34,BusStopBTSThonglo(Exit1),SukhumvitSoi57,SoiSukhumvit40(Unesco),MajorEkamai,WatThatthong,PaiRongrianSiWiKonSoiSukhumvit65/1,BusStopBTSPhraKhanong(Exit3),PhraKhanongMarket,DapphloengOnNut,Sukhumvit79,PaiSukhumvit81(Soi81SiriPhot),SunkankhaMaketPhlat(KhetPhraKhanong),TalatBangChak,TransportOfficeArea3,Punnawithi(Sukhumvit101),BusStopBTSPunnawithi(Exit3),WachirathamSatit(Sukhumvit101/1),Sukhumvit101/2,BusStopBTSUdomsuk(Exit1),OppositeKluaynamthai2Hospital,BangnaIntersection(OutboundStop.1),BangNaIntersection,OppositeositBaitekbangna,Opposite13RianRiso,SoiBangNa-Trat15,SoiBangNa-Trat19,CentralBangna,ThainakarinHospitalBangNa-Trat27,SamnaknganKhetBangNa,SoiBangNa-Trat35Kormor4,ParklandIndexLivingMall,BangPhliAreaRevenueOffice,NaBorisatHksThailand,OppositePiyaminHospital,MubanSantiNakhon,RongrianRatWinitBangKaeo,OppositeRamkhamhaengUniversity2(Gate2),RamkhamhaengCampusOppositeGate1OppositeThaiPostLtd,RamKhamHang2Soi13,BusDepot3848(Ramkhamhaeng2)
BusDepot3848(Ramkhamhaeng2),WitthayakhetRamKhamNgae,SoiChanYawat,RachwinitbangkeawSchool,OppositeMubanSantiNakhon,PiyaminHospital,SoiMittraphap,BangNaThaoWoe,OppositeositTheRevenueDepartmentOfficeBangpleePremruthai,NaTuekNeChan,ThekNoPremRuethai,Bangna-Trad50,KanKhehaBangNa,OppositeCentralBangna,BangNa-Trat28,AvanaHotel,PrapamontriSchool,BitecBangna,BangNaIntersection(Bitec),BangnaIntersection(Inbound),Kluaynamthai2Hospital,BusStopBTSUdomsuk(Exit4),Sukhumvit66,UdomSukPostOffice,WachirathamSatit(OppositeSukhumvit101/1),BusStopBTSPunnawithi(Exit4),BusStopBTSPunnawithi(Exit2),Sukhumvit62/1,TalatBangChak(Sukhumvit93),SukhumvitSoi56,RongrianNariNiramon(KhetPhraKhanong),BusStopBTSOnNut(Exit2),TalatOnNut(KanPrapaOnNut)KanPrapaPhraKhanong,OppositePhrakhanongMarket,BusStopBTSPhraKhanong(Exit2),PaiRongrianSiWiKon,GatewayEkamai,BangkokPlanetarium,SoiSukhumvit40,BusStopBTSThonglo(Exit2/4),SoiSukhumvit34(SoiSuphang),SoiSukhumvit28(SoiBansan),BusStopBTSPhromphong(Exit4),BenjasiriPark,SoiSukhumvitSoi20,SoiSukhumvit18,SukhumvitSoi12(RoBinSanSukhumvit),SoiSukhumvit10(Ambasder)SuanChoowit,SukhumvitSoi6BusStopBTSNana,PlernjitCenterSoiNana,BusStopBTSPhloenchit(Exit4),SoiTonson,RoyalThaiPolice,SiamSquare,BusStopBTSNationalStation,CharoenPhon,SrijillasapBuilding,WatthepsirinSchool,ThepsirinSchool,WatPhlapphlaChai,BmaGeneralHospital(ThanonLuangSide),Worachak,Chakkawat,WatChaichanaSongkhram(WatTuek),Wangburapa,ChaloemKrung,CharachonKlang,TerritorialDefenseCommand,SuanChaoChet,blankjaa,blankjaa,blankjaa,blankjaa
