1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99
อู่สาธุประดิษฐ์,เซ็นทรัลพระราม 3,ดิอัพพระราม 3,แยกนราธิวาส,ตรงข้ามตลาดนางลิ้นจี่,ซอยพัฒนสิน,เทคนิคกรุงเทพซอยพยับหมอก 2,ตลาดสวนพลู(ซอยสวนพลู 3),ซอยสวนพลู 1,ตลาดสวนพลู(พระพินิจ),สาทร-คอนแวนต์,ไทยธนาคาร ศูนย์มิตซู,ซอยสาทร 2,อื้อเจือเหลียง,โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,วัดหัวลำโพง,โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,บรรทัดทอง,ปณ.รองเมือง,เจริญผล,พระยายัง,แยกอุรุพงษ์ โคลีเซี่ยม,กรมทางหลวง(ถนนพระราม6),คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล,โรงพยาบาลรามาธิบดี,บ้านราชวิถี(ฝั่งพระรามที่6),ด่านคลองประปา 2,แฟลตทหารบก ตรงข้ามกระทรวงการคลัง,โรงเรียนสามเสน,อาคารทิปโก้,ตรงข้ามซอยประดิพัทธ์ 1,กรมทหารปืนใหญ่ที่1รักษาพระองค์,ขส.ทบ. สะพานแดง,กรมสรรพวุธ สะพานแดง,ตรงข้ามโรงเรียนช่างอากาศอำรุง กรมสรรพาวุธ,วัดธรรมาภิรตาราม ตรงข้ามวัดสะพานสูง,ตรงข้ามเตาปูนแมนชั่น,ตลาดเตาปูน,ตรงข้ามสำนักงานเขตบางซื่อ,อาคารสุขประพฤติ,ตรงข้ามสะพาน 99,ตรงข้ามเทคนิควิมล,ตรงข้ามซอยเสริมสุข,ตรงข้ามซอยคลังมนตรี,ตรงข้ามแยกประชานุกูล,ตรงข้ามปูนซิเมนต์ไทย,ห้องสมุดตรงข้ามหมู่บ้านชลนิเวศน์,วัดเสมียนนารี
วัดเสมียนนารี,หมู่บ้านชลนิเวศน์,บริษัทซีเมนต์ไทย ตรงข้ามปั๊มน้ำมันปตท,ตรงข้ามโรงพยาบาลเกษมราษฎร์ประชาชื่น,ซอยคลังมนตรี,ซอยเสริมสุข,เทคนิควิมล,สะพาน 99,ตรงข้ามอาคารสุขประพฤติ(Dsi),สำนักเขตบางซื่อ,เทสโก้โลตัสเตาปูน,เตาปูนแมนชั่น,โรงเรียนช่างอากาศอำรุง,สะพานแดง,กรมช่างอากาศ,ตรงข้ามกรมทหารปืนใหญ่ที่1,ซอยประดิพัทธ์ 1,อนุบาลสามเสน แฟลตกองสลาก,ตรงข้ามโรงเรียนสามเสน,กระทรวงการคลัง กรมบัญชีกลาง สำนักงานเศรษฐกิจการคลังไทย,ซอยศาสนา,การประปานครหลวงสามเสน,ซอยสวนเงิน,องค์การเภสัชกรรม,กระทรวงอุตสาหกรรม,ตรงข้ามกรมทางหลวง,แยกอุรุพงษ์,บรรทัดทอง,แยกสะพานเหลือง [D],สะพานเหลือง,จุฬาลงกรณ์ 9,จุฬาลงกรณ์ 11,จามจุรีสแควร์,สถานเสาวภา,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),ซอยสาทร 1,โรงแรมสุโขทัย,สถานทูตออสเตรเลีย,ปิยะสาทร,ตรงข้ามตลาดสวนพลู(ซอยสวนพลู 8),สำนักงานตรวจคนเข้าเมือง,วิทยุการบิน ตรงข้ามเทคนิคกรุงเทพ,แยกนราธิวาส(ซอยศรีนคร),ศุภาลัยพริมารีวา,เทสโก้โลตัสพระราม3(ฝั่งรัชดาภิเษก),อาคารปัญจธานี,ใต้ทางด่วนสาธุประดิษฐ์,blankjaa,blankjaa,blankjaa
