1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,233,235,237,239,241,243,245,247,249,251,253,255,257,259,261,263,265,267,269
อู่รถเมล์ บริษัท วังศกาญจน์กิจ(บางขุนเทียน),ซอยแสกงาม,ซอยหมู่บ้านชายทะเล,โรงงานkt(ถนนบางขุนเทียน-ชายทะเลขาเข้า),ตรงข้ามสะแกงาม,สะแกงาม,พระราม 2 ซอย 66,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,แยกหัวกระบือ,สำนักงานเขตบางขุนเทียน,เซ็นทรัลพระราม 2,วัดกำแพง(ถนนพระราม2ขาเข้า),ศาลเจ้าแม่งู,วัดกก,สถานีตำรวจบางมด,สมาคมฮินแหน่นแห่งประเทศไทย,ธนาคารอาคารสงเคราะห์,วัดสีสุก,จันทร์พริ้ง,ศูนย์โตโยต้า(ตรงข้ามซอยวัดพุทธบูชา),โรงพยาบาลบางปะกอก9อินเตอร์เนชั่นแนล,โพธิ์ทอง(ใต้ทางด่วนด่านดาวคะนอง),ตรงข้ามสำนักงานเขตจอมทอง,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,ศาลเจ้าแซ่ซิ้ม,แยกตากสิน,ป้ายรถประจำทาง BTS วงเวียนใหญ่(ทางออก3),สินสาธรทาวเวอร์,ป้ายรถประจำทาง BTSกรุงธนบุรี(ทางออก1),ท่าปล่อยรถ ป้ายรถประจำทาง BTS กรุงธนบุรี,ป้ายรถประจำทาง BTSกรุงธนบุรี(ทางออก3),สถานีตำรวจยานนาวา,เซ็นทรัลสีลม,แยกประมวญ,ตรงข้ามวัดแขก,แยกเดโช(ขาออก),โรงพยาบาลกรุงเทพคริสเตียน,ป้ายรถประจำทาง BTS ศาลาแดง(ทางออก1),โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,วัดหัวลำโพง,แยกสามย่าน,จุฬาลงกรณ์ (นิติศาสตร์/นิเทศศาสตร์),จุฬาลงกรณ์ (คณะครุศาสตร์),จุฬาลงกรณ์ (หอศิลป์จามจุรี),มาบุญครอง,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก3),พญาไทพลาซ่า,(สถานี ป้ายรถประจำทาง BTS พญาไท),สำนักงานเขตราชเทวี,กรมแพทย์ทหารบก,ป้ายรถประจำทาง BTS อนุสาวรีย์ชัยสมรภูมิด้านล่างแพลตฟอร์ม,อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),ตรงข้ามสวนสันติภาพ,สำนักงาน ป.ป.ส.,รร.พิบูลประชาสรรค์,สถาบันราชานุกูล,ตรงข้ามโบสถ์แม่พระฟาติมา,ตลาดขวัญพัฒนา,"ซอยโพธิ์ปั้น,ที่ทำการไปรษณีย์ดินแดง",ป้ายรถประจำทาง MRT พระราม 9,ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,แยกห้วยขวาง(ธนาคารกรุงไทยสาขาดินแดง),"ป้ายรถประจำทาง MRT ห้วยขวาง,ซอยประชาษฎร์บำเพ็ญ 1","ตรงข้ามเมืองไทยภัทร,บริษัทเมืองไทยประกันชีวิต",แยกสุทธิสาร,สถานีตำรวจสุทธิสาร,บุญถาวรรัชดาภิเษก,โรงเรียนปัญจทรัพย์,แยกลาดพร้าว-รัชดา(ซอยลาดพร้าว 25),"ซอยลาดพร้าว 31,ตรงข้ามซอยลาดพร้าว 40",ซอยลาดพร้าว 35,ซอยภาวนาลาดพร้าว 41,ซอยลาดพร้าว 41/1,ตรงข้ามโรงเรียนพิบูลย์อุปถัมภ์,ลาดพร้าวสะพาน 2,สถานีตำรวจโชคชัย,โชคชัย 4,ตรงข้ามโรงเรียนถนอมพิศ,ศึกษาภัณฑ์ลาดพร้าว,ไปรษณีย์ลาดพร้าว,"ซอยลาดพร้าว 67,ตรงข้ามซอยลาดพร้าว 80",ตรงข้ามแกรนด์วิลเลจ,"ซอยลาดพร้าว 79,ตรงข้ามแมงป่อง",อิมพิเรียลลาดพร้าว,สำนักงานเขตวังทองหลาง,ตรงข้ามโรงเรียนบางกอกศึกษา,ซอยลาดพร้าว 93,ฟู้ดแลนด์,โรงพยาบาลลาดพร้าว,โรงเรียนภาษาอังกฤษสันติ,ร้านอาหารทิพวรรณ,ซอยลาดพร้าว 101,โรงเรียนเตรียมศึกษาบางกะปิ,ซอยลาดพร้าว 107,เวชธานี,ซอยลาดพร้าว 111,เอ็นมาร์คพลาซ่า(น้อมจิตต์),แยกลำสาลี(ถนนศรีนครินทร์ขาออก),"ซอยโรงงาน,ปั้มน้ำมัน ป.ต.ท.",ตรงข้ามบริษัท กรีนสปอร์ต,"แยกกรุงเทพกรีฑา,หมู่บ้านนักกีฬา",ตรงข้ามเจวีเค,โรงเรียนลำสาลี,ซอยบ้านเอื้ออาทร 7,ซอยบี 5,หมู่บ้านอยู่สบาย,ชุมชนสะฮาดะห์ซอย 26,กรมที่ดินประเวศ,,,,,,,,,,,,
ท่าหมู่บ้านนักกีฬา,ตรงข้ามกรมที่ดินประเวศ,ชุมชนสะฮาดะห์,ตรงข้ามมัสยิดดารุนาฮีม,ตรงข้ามหมู่บ้านอยู่สบาย,กรุงเทพกรีฑาซอย C4,บริษัทคอมฟอร์ม,โรงเรียนยุคลธรซอย18,ตรงข้ามหมู่บ้านแสงทอง,หมู่บ้านกฤษณา,สนามกอล์ฟยูนิโก้,สนามกอล์ฟกรุงเทพกรีฑา,ตรงข้ามบ้านเอื้ออาทรซอย7,ตรงข้ามโรงเรียนลำสาลีบำรุงราษฎร์,อาคารเจวีเค,บริษัทกรีนสปอร์ต,ตรงข้ามซอยโรงงาน,เดอะมอลล์บางกะปิ,"แม็คโครลาดพร้าว,ตะวันนา2",การไฟฟ้าสถานีย่อยคลองจั่น,ตรงข้ามโรงพยาบาลเวชธานี,ซอยลาดพร้าว 130 (วัดกลาง),"ซอยลาดพร้าว 130/1,ตรงข้ามวิสุทธานี",ตรงข้ามซอยลาดพร้าว 101,ร้านอาหารทิพวรรณ(ซอยกัณฑ์พร),ซอยลาดพร้าว 122,ตรงข้ามโรงพยาบาลลาดพร้าว,ตรงข้ามฟู้ดแลนด์,"ซอยลาดพร้าว 114,โรงเรียนบางกอกศึกษา",โรงเรียนบางกอกศึกษา(ลาดพร้าว112),ตรงข้ามสำนักงานเขตวังทองหลาง,ตรงข้ามอิมพิเรียลลาดพร้าว,ซอยลาดพร้าว 92,ตรงข้ามซอยลาดพร้าว 71,ซอยลาดพร้าว 80,ตรงข้ามไปรษณีย์ลาดพร้าว(ลาดพร้าว72),"ซอยลาดพร้าว64,ตรงข้ามศึกษาภัณฑ์พาณิชย์",กรมแผนที่ทหาร,"ตรงข้ามตลาดโชคชัย 4,ซอยลาดพร้าว 58",ตรงข้ามตลาดสะพาน 2,โรงเรียนพิบูลย์อุปถัมภ์,ซอยภาวนา,ซอยลาดพร้าว 42,"ซอยลาดพร้าว 40,ศิริชัยไก่ย่าง",ซอยลาดพร้าว 34,ตรงข้ามบ้านกลางเมือง ลาดพร้าว,"ป้ายรถประจำทาง MRT รัชดาฯ,โอลิมเปีย",ตรงข้ามโรงเรียนปัญจทรัพย์,"ป้ายรถประจำทาง MRT สุทธิสาร,ตรงข้ามสถานีตำรวจสุทธิสาร",บริษัทเมืองไทยภัทร,ซอยรัชดาภิเษก 14,ป้ายรถประจำทาง MRT ห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ตรงข้ามบิ๊กซีรัชดาภิเษก,ตรงข้ามเอสพลานาดรัชดาภิเษก,ตรงข้ามสถานทูตจีน,เซ็นทรัลพระราม 9,ตรงข้ามซอยโพธิ์ปั้น,ตรงข้ามตลาดขวัญพัฒนา,โบสถ์แม่พระฟาติมา,แฟลตดินแดง(ป้าย1),แฟลตดินแดง(ป้าย2),ตรงข้าม รร.พิบูลประชาสรรค์,ตลาดศรีวานิช,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,ป้ายรถประจำทาง BTS-Arl พญาไท,กรมปศุสัตว์,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก2),ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),จุฬาลงกรณ์ (คณะพาณิชยศาสตร์และการบัญชี),จามจุรีสแควร์,สถานเสาวภา,โรงพยาบาลจุฬาลกรณ์,ป้ายรถประจำทาง BTS ศาลาแดง(ทางออก2/4),ซีพีทาวเวอร์,แยกนรารมย์,แยกเดโช(ขาเข้า),วัดแขก,ซอยสีลม 19,ซอยโรงน้ำแข็ง,ป้ายรถประจำทาง BTSกรุงธนบุรี(ทางออก4),ศูนย์บริการสาธารณสุข 28,ฟิวส์สาทร-ตากสิน,ป้ายรถประจำทาง BTS วงเวียนใหญ่(ทางออก2),ตรงข้ามศาลเจ้าแซ่ซิ้ม,โรงพยาบาลกรุงธนบุรี,ไปรษณีย์สำเหร่,ตลาดสำเหร่(ซอยวัดสุทธาราม),สำนักงานไปรษณีย์สำเหร่,ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,แยกแซ่ซิ้ม,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,ตรงข้ามตลาดดาวคะนอง,"ธนาคารกสิกรไทยสาขาดาวคะนอง,ตรงข้ามบิ๊กซืดาวคะนอง",องค์การโทรศัพท์ดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,ตลาดวัดนาค,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,"ซอยงูเห่า,เกียร์เซอร์วิส",สำนักงานเขตจอมทอง,ตลาดโอ๋เอ๋,พระราม 2 ซอย 21,ซอยวัดพุทธบูชา,ตรงข้ามจันทร์พริ้ง,การประปาวัดยายร่ม,หมู่บ้านชิชา,หมู่บ้านวิชิตนคร,โรงพยาบาลบางมด,ตรงข้ามวัดกก,วัดเลา,ตรงข้ามศาลเจ้าแม่งู,โฮมโปร พระราม 2,บิ๊กซีพระราม 2,สำนักงานเขตบางขุนเทียนสนามฟุตบอลสุขโกกี,หัวกระบือ,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),ซอยเทียนทะเล 16,หน้ากีโต้ไทยแลนด์,ตรงข้ามซอยเทียนทะเล 16,โรงงานkt(ถนนบางขุนเทียน-ชายทะเลขาออก),ซอยเทียนทะเล 11,ตรงข้ามหมู่บ้านชายทะเล,ซอยเทียนทะเล 17,สี่แยกสุขสวัสดิ์-บางขุนเทียน,อู่รถเมล์ บริษัท วังศกาญจน์กิจ(บางขุนเทียน)
