1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93
PomSwatSchool,SamYaekChedi(Inbound),SukSawatRoadOppositeSoiSukSawatNiwet,SukSawatRoadMubanRomYenNiwet,BanphakTamruatNam,SoiPrint,SoiCable,SoiWatKhuSang(ThanonSukSawat),WatChungrueng,SukSawatSoi74,OppositeRatchaprachaSchool,PhraPradaeng(RachPracha)BusDepot,Isusu,SukSawat64,OppositeBigCSukSawat,YaekPhraPradaeng,MajorPhrapradaeng(TangRadapWongwaen),OppositeSoiWatRuak,OppositeWatSon,SoiDekKamPra,SuksawatKm.9,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,RongKaeo,SomdejprapinklaoHospital,OppositeSamreMarket,KrungThonBuriHospital,RobinsonLatya,TotLatya,Latya11,SoiThaDindaeng,OppositeKulsiriSchool,TalatThaDindaeng,ThaNamDindaeng,blankjaa,blankjaa,blankjaa
ThaNamDindaeng,KulsiriSchool,SoiThaDindaeng,Latya8,KrungdebCo-OperativeLatya,OppositeRobinsonLatya,WongwianYai,SimClanShrine,SamLePostOffice,TalatSamre(SoiWatSutharam),OppositeSomdejprapinklaoHospital,SoiRongKaeo,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,OppositeWatSarod,PrachaUthitJunction,SuksawatKm.9(ExitExpressway),WatSon,SoiWatRuak,OppositeMajorPhrapradaeng(TangRadapWongwaen),BigCSukSawat,SukSawat39/1,SoiAYiNoMoTo,WatKunai,OppositeRongphayabanBangPaKok3,RatchaprachaSchool,SriWitthayaSchool,RongnganThaiKriang,SoiRongmi,WatChangrueng,OppositeSoiWatKusang,SophoPhraSamutChedi,OppositeSoiPrin,Tatary,OppositeSoiRomyen,Sukswat,SamYaekChedi(Outbound),PomSwatSchool
