1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77
"ท่าจอดรถสาย 37,ซอยราษฎร์บูรณะ 39",ตรงข้ามโรงเรียนแจงร้อน(ราษฎร์บูรณะ 44),ตรงข้ามชุมชนแจงร้อน,"โกดังชัยยงค์,ซอยราษฎร์บูรณะ 36",ตรงข้ามธนาคารกสิกรไทยราษฎร์บูรณะ 32/2,ตรงข้ามไฟฟ้าราษฎร์บูรณะซอย 30,ซอยราษฎร์บูรณะ 28 ตรงข้ามโรงแก้ว,ศูนย์สาธารณสุขซอยราษฎร์บูรณะ 39,สาธารณะสุข 39,ตลาดราษฎร์บูรณะ,"วัดประเสริฐสุทธาวาส,โรงเรียนวัดประเสริฐสุทธาวาส",ตรงข้ามโรงพยาบาลราษฎร์บูรณะ,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงเรียนแสงทองโทรทัศน์,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,ศาลเจ้าแซ่ซิ้ม,เลียบทางรถไฟวงเวียนใหญ่,วงเวียนใหญ่(ธนบุรีศึกษา),แยกบ้านแขก(ขาเข้า),โรงเรียนศึกษานารี,พาหุรัด(อินเดียเอ็มโพเรียม),ตลาดวรจักร,ประปาแม้นศรี,"ภูเขาทอง,วัดสระเกศ",วัดสิตาราม(คอกหมู),ปั้มแก๊ส,โรงแรมปริ้พาเลซ(โบ้เบ้2),ท่ามหานาค
ท่ามหานาค,ตรงข้ามสำนักงานสถิติแห่งชาติ,ตรงข้ามวัดแคนางเลิ้ง,"ตรงข้ามวัดสระเกศ,ภูเขาทอง",วัดชัยชนะสงคราม(วัดตึก),สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),"วงเวียนใหญ่,ตลาดวงเวียนใหญ่",ตรงข้ามศาลเจ้าแซ่ซิ้ม,ไปรษณีย์สำเหร่,ตลาดสำเหร่(ซอยวัดสุทธาราม),ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,"ธนาคารกสิกรไทยสาขาดาวคะนอง,ตรงข้ามบิ๊กซืดาวคะนอง",ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,ตลาดบางปะกอก,แยกราษฎร์พัฒนา(ซอยสุขสวัสดิ์ 27),โรงพยาบาลราษฎร์บูรณะ,ตรงข้ามโรงเรียนวัดประเสริฐสุทธาวาส,ตรงข้ามสาธารณะสุข 39,คลังสินค้าราษฎร์บูรณะ,ตรงข้ามซอยราษฎร์บูรณะ 28,ซอยราษฎร์บูรณะ 27,"ธนาคารกสิกรไทย,ตรงข้ามซอยแพ่งสภา",โกดังชัยยงค์,ชุมชนแจงร้อน,โรงเรียนแจงร้อนวิทยา,ท่าแจงร้อน(ราษฎร์บูรณะ37),
