1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63
ท่าน้ำภาษีเจริญ,ตรงข้ามซอยเทอดไท 43 ตรงข้ามวัดนางชี,ซอยเทอดไท 30 วัดขุนจันทร์,ซอยเทอดไท 22 ตรงข้ามโรงพยาบาลเยาวรักษ์,ใต้สะพานตลาดพลู,วัดกลาง วัดจันทาราม,วัดอินทาราม,สำนักงานเขตธนบุรี วัดเวฬุราชิน,บางยี่เรือ(ขาเข้า),วงเวียนใหญ่(ธนบุรีศึกษา),โรงเรียนศึกษานารี,พาหุรัด(อินเดียเอ็มโพเรียม),คลองถม(ฝั่งเจริญกรุง),โรงพยาบาลกว๋องสิวมูลนิธิ,วงเวียน 22 กรกฎา,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก 3),สะพานเหลือง,จุฬาลงกรณ์ 9,จามจุรีสแควร์,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),บ่อนไก่,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,กรมศุลกากร,ท่าปล่อยรถ ท่าเรือคลองเตย,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,โรงเรียนคอนแวนต์ ตลาดปีนัง,การไฟฟ้าคลองเตย,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),อื้อเจือเหลียง,โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,วัดหัวลำโพง,โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),วัดไตรมิตร,โรงพยาบาลเทียนฟ้ามูลนิธิ,แยกเฉลิมบุรี,ตลาดเก่าเยาวราช,วัดตึก,สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),บางยี่เรือ(ขาออก),วัดโพธิ์นิมิตร วัดเวฬุราชิน(ไปรษณีย์ตลาดพลู),ซอยเทอดไท 19 สาธารณสุขตลาดพลู,สถานีรถไฟตลาดพลู,แยกวุฒากาศ ตรงข้ามโรงเรียนพรประสาทวิทยา,ซอยเทอดไท 37 ตรงข้ามวัดขุนจันทร์,วัดนาคปรก ซอยเทอดไท 45,ท่าน้ำภาษีเจริญ
