1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77
SoiRatBurana39,OppositeChaengRonSchool(RatBuranaSoi44),JangronSchoolChumchonJangron,KodangChaiyongSoiRatburana36,OppositeThanakhanKasikonthai,SoiRatburana30,SoiRatburana28,KanFaifaYoiRatBurana,PublicHealthCenterRatBurana39,RatburanaMarket,WatPrasetSutthawart,OppositeRatburanaHospital,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,RongKaeo,SomdejprapinklaoHospital,OppositeSamreMarket,KrungThonBuriHospital,LiapThangRotfai,WongWianYai(ThonburiSuksa),YaekBanKhaek(Inbd),SuksanariSchool,Phahurat(IndiaEmporium),TalatWolachak,PrapaMaenSi,GoldenMountWatSaket,WatSiTaRam(KhlokMu),PamKaet,HotelPrincessPalace(Bobe2),ThaMahaNak
ThaMahaNak,OppositeNationalEconomicAndSocialDevelopmentBoard,OppositeWatKhaeNangLoeng,Phukhaothong,WatChaichanaSongkhram(WatTuek),Sampeng-Phahurat,OppositeSuksanariSchool,YaekBanKhaek(Outbd),WongWianYai(Niranrat),WongwianYai,SimClanShrine,SamLePostOffice,TalatSamre(SoiWatSutharam),OppositeSomdejprapinklaoHospital,SoiRongKaeo,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,SukSawat-SukSawatSoi27Intersection,RatburanaHospital,WatPrasertSutthawartSchool,OppositePublicHealthCenterRatBurana39,KhlangsinkhaRatBurana,OppositeSoiRatBurana28,SoiRatBuRa27,KasikornthaiBankOppositeSoiPangSapha,KodangChaiYong,ChumchonChaengRon,RongrianChaengRonWitthaya,ChaengRonSchool(RatBuranaSoi37),blankjaa
