1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99
KanPrapaWatYaiRom,WatSisuk,ChanPhring,ToyotaCenterWatPuttabucha,Bangpakokhospita,Pothong,JomthongDistrict,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,OppositeRongrianSaengThongThorathat,MahaiSawan,RatchadaphisekSoi5,ThanachartBank,OppositeTheMallThapra,Ratchada-ThaPhraHospital,ThaPhraIntersection,WatPraduNaiSongtham,OppositeViboonCollege,WatNuannoradit,Phyathai3Hospital,SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),OppositeSiamUniversity,Phetkasem27/1,OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,Kan-AriSportClub,WatRangbua,RedCrossStation11(Wisetniyom),SeaconBangkae,Phetkasem39,BangkaeHomeFoundation,BangkaeMarket,OppositeTescoLotusBangkae,NanyangIndustrial,CastlePeakCompany,Phetkasem45/1,OppositeTheMallBangkae,Phetkasem51,EntPhutthamonthonSai2,Phetkasem2Village,Phetkasem3Village,PassariVillage,SoiWatBunyaPradit,PhutthamonthonSai2Soi12(Inbound),PhutthamonthonSai2BusDepot
PhutthamonthonSai2BusDepot,PhutthamonthonSai2Soi12(Outbound),SoiSukhaphibanBangKhae,Sai2Market,PhuttaraksaVillage,OppositePhetkasem2Village,KasemradBangkaeHospital,HealthCenter40,Phetkasem88,TheMallBangkae,Sukpawan3Village,BangkhaenuaeSchool,PasanusornBangkaeSchool,TescoLotusBangkae,Petchkasem62/1,Petchkasem62,Phetkasem58/1,Phetkasem58,OppositeSeaconBangkae,Phetkasem54,OppositeWatRangbua,OppositeKan-AriSportClub,WatChanpradittharam,KhundanChaoporsuaShrine,Phetkasem42,Phetkasem38,SiamUniversity,Petchkasem36WatPradu,SoiPetchkasem32SoiSermmit,SoiPetchkasem28,BangphaiHospital,ViboonBusinessAdministrationCollege,ThaPhraIntersectionPrasartWittayaAnuchonSchoolKindergarten,OppositeThonBuriPhalasa,TheMallThapra,SocialSecurity,WatSutthawat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,WatPhoThong,SoiNguhaoKiaSoewit,SamnaknganKhetChomthong,TalatOE,PhraRam2Soi21,Watputtabucha,OppositeChanPhring,KanPrapaWatYaiRom
