1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163
ตรงข้ามซอยวัดรวก,ตรงข้ามวัดสน,ซอยเด็กกรำพร้า,สุขสวัสดิ์ กม.9,วัดสารอด,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,แยกบุคคโล,ถนนตกพระราม 3 ซอย 1,หมู่บ้านอโนทัย,ฟิวเจอร์โฮมโปร,แยกเหนือใต้,บริษัทวาโก้ ธนาคารไทยพาณิชย์,บริษัทไทยน้ำทิพย์,หน้าไอซีซี,ซอยวัดดอกไม้,แยกสาธุประดิษฐ์(ซอย5),ซอยสาธุประดิษฐ์ 58,ซอยสาธุประดิษฐ์ 52,ตรงข้ามซอยสาธุประดิษฐ์ 49,ชอยสาธุประดิษฐ์ 44,ตรงข้ามตลาดรุ่งเจริญ(พัฒนาการ1),โรงเรียนยานนาเวศน์,ตลาดรุ่งเจริญ(ถนนสาธุประดิษฐ์ขาเข้า),โรงเรียนสารสาส์น,ซอยสาธุประดิษฐ์ 20,ซอยสาธุประดิษฐ์ 12,โรงเรียนยานเวศน์,สมชายสกินแอนด์เลเซอร์คลินิค,ซอยจันทน์ 29(ขาออก),ซอยจันทร์ 41,ทุ่งวัดดอน,องค์การสะพานปลา,สะพานปลา,วัดสุทธิ,โรงเรียนสตรีศรีสุริโยทัย กรมอู่ทหารเรือ,วัดยานนาวา,โรบินสันบางรัก,โรงเรียนอัสสัมชัญ,อาคารเกียรตินาคิน,ตลาดน้อย,แยกทรงวาด,สามแยกหัวลำโพง,วงเวียน 22 กรกฎา,โรงพยาบาลกลาง(ฝั่งถนนหลวง),สถานีตำรวจนครบาลสำราญราษฎร์,วัดราชนัดดาราม(มหาไชย),วัดราชนัดดา ลานพลับพลามหาเจษฎาบดินทร์,อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),หมู่บ้านเปี่ยมรัก,ท่าปล่อยรถ สายใต้ใหม่ (ตลิ่งชัน),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
ท่าปล่อยรถ สายใต้ใหม่ (ตลิ่งชัน),ตรงข้ามวัดมะกอก(แยกทุ่งมังกร),ไปรษณีย์ ตลิ่งชัน,ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย ซอยฉิมพลี 2,บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,บรมราชชนนี 12,ศูนย์ฟอร์ดบรมราชชนนี ตรงข้ามโรงพยาบาลเจ้าพระยา,กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),ศาลาว่าการกรุงเทพมหานคร,เสาชิงช้า,วัดสุทัศน์,สินดำรงค์,ตรงข้ามเฉลิมกรุง,คลองถม(ฝั่งเจริญกรุง),วงเวียน 22 กรกฎา,โรงพยาบาลกว๋องสิวมูลนิธิ,แยกหัวลำโพง,วัดมหาพฤฒาราม,ซอยวัดมหาพฤฒาราม,วัดแก้วแจ่มฟ้า,ซอยสองพระ,องค์การโทรศัพท์,โรงแรมโอเรียลเต็ล,มเหสักข์,ตรงข้ามโรบินสันบางรัก,ปั๊มน้ำมันปริโตนัส,ตรงข้ามวัดสุทธิ,ตรงข้ามองค์การสะพานปลา,ซอยจันทร์ 41(ขาออก),ทุ่งวัดดอน,ซอยจันทร์ 29(ขาเข้า),ซอยจันทร์ 18/8,ซอยสาธุประดิษฐ์ 1,ตรงข้ามโรงเรียนยานเวศน์,ซอยสาธุประดิษฐ์ 43,ตลาดรุ่งเจริญ(ถนนสาธุประดิษฐ์ขาออก),ซอยสาธุประดิษฐ์ 45,ซอยสาธุประดิษฐ์ 49,ตลาดลานทราย,ซอยสาธุประดิษฐ์ 57 ซอยปรียานนท์,บริษัท ไลอ้อน,ตรงข้ามไอซีซี,ใต้สะพานแขวน,ตรงข้ามไทยน้ำทิพย์,วัดบางโคล่นอก,แยกเหนือใต้ กรมควบคุมความประพฤติ,โรงแรมมณเฑียรริเวอร์ไซด์,ตรงข้ามฟิวเจอร์,วัดจันทร์นอก,วัดอินทร์บรรจง,ตรงข้ามโรงรับจำนำฮ่งฮวด,เชิงสะพานกรุงเทพ,แยกแซ่ซิ้ม,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,ตลาดวัดนาค,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,แยกประชาอุทิศ,สุขสวัสดิ์ กม.9(ลงทางด่วน),สุขสวัสดิ์ กม.9 (ขึ้นทางด่วน),วัดสน,วัดรวก,ตรงข้ามเมเจอร์พระประแดง(ต่างระดับวงแหวนอุตสาหกรรม)
