1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103
SouthernBus(Talingchan)BusTerminal,WatMakok,ThanonChimPhli,Borommaratchachonnani52,OppositeTheDusitMunicipalityCourt,SoiBorommaratchachonnani46,SoiChimpee2,BenzTalingchan,SeriGolf,SoiBorommaratchachonnani22,Borommaratchachonnani12,ChaophrayaHospital,MinistryOfCulture,MajorPinklao,TescoLotusPinKlao,YaekBorommaratchachonnani(Inbd),35Bowl49FamilyBrilliantlyNietzsche.,RongrianPinMongkhonKansueksa,PhongEstateOppositeTheOpposite.PharmaceuticalsWadrwk.,NoiLand,CTogetherOppositeNagaPermanent.,SanghiIntersection,OppositeSuanSunandha/SuanDusit,OppositeVimanmekPalace,OppositeDusitZoo,ChitraladaPalace(Ratchawithi32),ChitraladaPalace(Ratchawithi24),RajvithiHome,PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,PhramongkutklaoHospital,VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,CentralLadprao,OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,ScbBuilding,RatchaWipha(PhahonYothinSoi36),blankjaa,blankjaa
RatchaWipha(PhahonYothinSoi35/4),ScbBuildingRatchadaphisekSoi46,ElephantBuilding,SatriWoranatBangkhenSchool,CrimeSuppressionDivision,TescoLotusLatphrao,OppositeCentralLadprao,TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(RatchawithiSide),ChildrenHospital,TheBangkokSchoolForTheBlind,PrasatNeurologicalInstitute,ChitraladaPalace(OppositeRatchawithi22),ChitraladaPalace(OppositeRatchawithi32),DusitZoo,VimanmekPalace,Ratchawithi19,KrungThonMarketRatchawithiSoi23,KrungThonMarketOutbound,WatPaolohit,SiamCommercialCollege,TalatPhongSap,OppositeRongrianPinMongkhonKansueksa,SeparateBoromarajonani,ThanonBoromRatChonnani,CentralPinklao,LumpiniCondoPinklao,ChaophyaHospital,BefPinklaoBusTerminal,SoiBorommaratchachonnani35,SoiBorommaratchachonnani45,CedarMansion,TalingchanPoliceStation,Ratchapreuk-BorommaratchachonnaniIntersectionStop1,TheDusitMunicipalityCourt,TalingchanPublicProsecutionOffice,OppositeThanonChimphli,PaimrakVillage,SouthernBus(Talingchan)BusTerminal
