1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121
แยกมไหสวรรย์,ซอยรัชดาภิเษก 5,ธนาคารธนชาติ,ตรงข้ามเดอะมอลล์ท่าพระ,โรงพยาบาลท่าพระ,ใต้สะพานทางรถไฟตลาดพลู,แยกท่าพระตรงข้ามโรงเรียนประสาทวิทยาอนุชน,สถานีตำรวจบางกอกใหญ่(ซอยคริสตจักร),ซอยจรัญสนิทวงค์ 1,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,"ตรงข้ามโรงพยาบาลศรีวิชัย,วัดรวก",วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,"โรงหนังธนบุรีรามา,จรัญสนิทวงศ์49",โรงเรียนปิ่นมงคลการศึกษา,"วัดรวกบางบำหรุ,บ้านบรรหารศิลปอาชา",สำนักงานที่ดินกรุงเทพมหานครสาขาบางกอกน้อย,ซอยจริญสนิทวงศ์ 65(ซอยร่วม),แยกซังฮี้,ตรงข้ามมหาวิทยาลัยราชภัฏสวนสุนันทา,ตรงข้ามพระที่นั่งวิมานเมฆ,ตรงข้ามสวนสัตว์ดุสิต,สวนจิตรลดา(ราชวิถี32),สวนจิตรลดา(ราชวิถี24),บ้านราชวิถี,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),"ซอยพหลโยธิน 1,ซอยลือชา",โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),"ซอยพหลโยธิน 5,ซอยราชครู",ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,"ซอยพหลโยธิน 11,ซอยเสนาร่วม",ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),เซ็นทรัลลาดพร้าว,ตรงข้ามกองปราบปราม,ตรงข้ามโรงเรียนสตรีวรนาถบางเขน,ตรงข้ามตึกช้าง,,,,,,,,
รัชวิภา(ซอยพหลโยธิน 35/4),"ตึกเอสซีบี,ซอยรัชดาภิเษก 46",ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,ธนาคารทหารไทย (สำนักงานใหญ่),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก4),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,"ซอยพหลโยธิน 8,ซอยสายลม",ป้ายรถประจำทาง BTS อารีย์(ทางออก4),"ซอยราชครู,ตรงข้ามซอยพหลโยธิน 5","ซอยพหลโยธิน 2,ซอยกาญจนาคม",ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,"ซอยลือชา,ตรงข้ามซอยพหลโยธิน 1",อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,สถาบันประสาทวิทยา,สวนจิตรลดา(ตรงข้ามราชวิถี22),สวนจิตรลดา(ตรงข้ามราชวิถี32),สวนสัตว์ดุสิต,พระที่นั่งวิมานเมฆ,ซอยราชวิถี 19,"โรงเรียนเขมะสิริอนุสรณ์,ซอยราชวิถี 23",ตลาดกรุงธน(ขาออก),วัดเปาโรหิตย์,วิทยาลัยเทคโนโลยีพณิชยการสยาม,ตลาดพงษ์ทรัพย์,ตรงข้ามโรงเรียนปิ่นมงคลการศึกษา,โรงเรียนธนกิจ,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง","โรงพยาบาลศรีวิชัย,วัดรวก",สถานีตำรวจบางกอกน้อย,ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,ซอยจรัญสนิทวงค์ 4,ตรงข้ามสถานีตำรวจบางกอกใหญ่,แยกท่าพระโรงเรียนอนุบาลประสาทวิทยาอนุชน,ธนบุรีพลาซ่า,ตรงข้ามธนบุรีพลาซ่า,เดอะมอลล์ท่าพระ,"ประกันสังคม,ซอยรัชดาภิเษก 6",วัดสุทธาวาส
