1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97
ThantipBusDepot,PhuttabuchaSoi39,OppositePhuttabuchaSoi41,PaiOppositeSuanThonKhondo,MubanSuanThonBuriRom,MubanBangMotLaen,SuanThonBuriram,BangkokBankBranchPrachauthit,KingMongkut'SUniversityOfTechnologyThonburi,SoiPrachauthit28,KajornrojSchoolPrachauthit33,PrachaU-ThitSoi43,SoiPrachauthit22,SoiPrachaUthit21,SoiPrachauthit14,RatburanaOldMarketSueksaSchool(Old),SoiPrachauthit10,SoiPrachaUthit7,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,BukKaLo,SoiMataNuSon,TalatBangkholaemCharoenKrungSoi84,WatLatBuaKhao,WatPhrayaKrai,AsiatiqueTheRiverfont,WatRatSingkhon,MaenamHotel,SamnaknganPraisaniWatPhrayaKrai,OngkanSaphanpla,WatSuthi,RongrianSatriSiSuriyoThaiKromUThahanRuea,WatYanNawa,RobinsonBangrak,TalatNoi,HuaLamphongIntersection,blankjaa,blankjaa,blankjaa,blankjaa
HuaLamphongIntersection,WatMahapruttaram,Siphaya,WatKaeoChaemFa,SoiSongPhra,OngkanThorasap,Mahesak,ORianTen,OppositeRobinsonBangrak,OppositeWatYanNawa,RajamagalaUniversityOfTechnologyKrungthep(SouthBangkokCampus),OppositeWatSutthi,OppositeSaphanpla,TrokBaYan,OppositeRongraemMaenam,WatRatSingkhonOpposite,CharoenKrung93,WatprayakaiPoliceStation,OppositeWatLatBuaKhao,TalatBangkholaem,ChoengSaphanKrungthep,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,ChetuponCommercialCollageSoiPrachaUthit13,RatburanaOldMarket,SoiPrachaUthit14,SoiPrachaUthit21,PaiPrachaUthit29,KajornrojSchool,SoiPrachaUthit28,ScbBankPrachauthit,NaluangSchool,MubanBangMotLaen,MubanSuanThonBuriRom,OppositePhuttabuchaSoi41,PhuttabuchaSoi39,PhutthabuchaSoi37/1,PhutthabuchaSoi28,PaiPakSoiPhutBucha32,ThantipBusDepot
