1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161
อู่รังสิต,หมู่บ้านรัตนโกสินทร์ 200 ปี,โรงพยาบาลปทุมเวช,เมเจอร์รังสิต,โรงเรียนธัญบุรี,ฟาร์มโชคชัย,ตรงข้ามวัดประยูรจินดารามพหลโยธิน 84,โรงพยาบาลแพทย์รังสิต,เซียร์รังสิต,อนุสรณ์สถาน,โรงงานพรมไทยปิง,"หมู่บ้านพิพรพงษ์ 2,3,4",หมู่บ้านศุภลักษณ์,"บริษัทttl,Isuzu",ฐานทัพอากาศ,ตรงข้ามสถานีตำรวจนครบาลดอนเมือง,ฝ่ายช่างท่าอากาศดอนเมือง,ดอนเมือง(สำนักงานท่าอากาศยาน),ดอนเมือง (อาคารผู้โดยสาร 1-2),ดอนเมือง (อาคารผู้โดยสาร 3),ดอนเมือง(คลังสินค้า),ดอนเมือง (ช่องทาง ทดม.8),ร้านเจ้เล้ง,คอตโต้,ฮีโน่มอเตอร์สเซลส์,ธนาคารไทยพาณิชย์แจ้งวัฒนะ,โรงเรียนเจริญผล,"จัสโก้แจ้งวัฒนะ,ตรงข้ามมหาวิทยาลัยราชภัฏพระนคร",ตรงข้ามโรงเรียนสาธิตวัดพระศรีมหาธาตุ,"การไฟฟ้าบางเขน,กรมทหารราบที่11(ประตู1)",ตรงข้ามอู่บางเขน,ตรงข้ามซอยพหลโยธิน 51,กรมทหารราบที่11(ประตู2),กรมทหารราบที่11(ประตู3),วัดบางบัว,มหาวิทยาลัยศรีปทุม,โรงเรียนสารวิทยา,กรมวิทยาศาสตร์ทหารบก,โรงแรมมารวย,สำนักงานใหญ่ธกส.,ตรงข้ามมหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),แยกเกษตร(พหลโยธิน34/2),รพ.เมโย,วิทยาลัยเทคโนโลยี ไทยวิจิตรศิลป,ตรงข้ามเมเจอร์รัชโยธิน,ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,ธนาคารทหารไทย (สำนักงานใหญ่),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก4),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,"ซอยพหลโยธิน 8,ซอยสายลม",ป้ายรถประจำทาง BTS อารีย์(ทางออก4),"ซอยราชครู,ตรงข้ามซอยพหลโยธิน 5","ซอยพหลโยธิน 2,ซอยกาญจนาคม",ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,"ซอยลือชา,ตรงข้ามซอยพหลโยธิน 1",อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,กิ่งเพชร,อุรุพงษ์,"โรงพยาบาลมิชชั่น,มหานาค",ตรงข้ามสำนักงานสถิติแห่งชาติ,ตรงข้ามวัดแคนางเลิ้ง,บริษัทเดินอากาศไทย(บดท.),"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),สนามหลวง(กรมศิลปากร),สนามหลวง(ม.ธรรมศาสตร์),ท่าปล่อยรถ สนามหลวง (53L 59 503)
ท่าปล่อยรถ สนามหลวง (53L 59 503),สนามหลวง(ตรงข้ามม.ธรรมศาสตร์),สนามหลวง(ตรงข้ามวัดมหาธาตุ),สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),ตรงข้ามบริษัทเดินอากาศไทย(บดท.),วัดแคนางเลิ้ง,สำนักงานสถิติแห่งชาติ,"โรงพยาบาลมิชชั่น,ตลาดมหานาค",มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,พญาไทพลาซ่า,สำนักงานเขตราชเทวี,กรมแพทย์ทหารบก,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),"ซอยพหลโยธิน 1,ซอยลือชา",โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),"ซอยพหลโยธิน 5,ซอยราชครู",ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,"ซอยพหลโยธิน 11,ซอยเสนาร่วม",ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),เซ็นทรัลลาดพร้าว,ตรงข้ามกองปราบปราม,ตรงข้ามโรงเรียนสตรีวรนาถบางเขน,ตรงข้ามตึกช้าง,โรงเรียนไทยวิจิตรศิลป์,ตรงข้าม รพ.เมโย,แยกเกษตร(ตลาดอมรพันธ์),มหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),กรมส่งเสริมการเกษตร,สำนักงานคณะกรรมการวิจัยแห่งชาติ,กรมป่าไม้,ไปรษณีย์จตุจักร,ตรงข้ามมหาวิทยาลัยศรีปทุม,โรงเรียนบางบัว,โรงเรียนปราโมชวิทยาทาน,สวนอาหารบางบัว,ซอยพหลโยธิน 49/2,หน้าอู่บางเขน,วัดพระศรีมหาธาตุ,โรงเรียนสาธิตวัดพระศรีมหาธาตุ,หาวิทยาลัยราชภัฏพระนคร,ตรงข้ามโรงเรียนเจริญผล,ตรงข้ามธนาคารไทยพาณิชย์แจ้งวัฒนะ,แยกหลักสี่(ศูนย์อะไหล่หลักสี่ซอย 2),หนังสือพิมพ์แนวหน้า,"ตรงข้ามโรงเรียนไผทอุดม,มิราเคิลแกรนค์",สถาบันวิจัยจุฬาภรณ์,ไอทีสแควร์,วัดหลักสี่,เคหะทุ่งสองห้อง,คลังน้ำมัน(ถนนวิภาวดีรังสิต),สำนักงานเขตดอนเมือง,ตลาดใหม่ดอนเมือง,วัดดอนเมือง,ตรงข้ามฝ่ายช่างดอนเมือง,"โรงเรียนดอนเมืองทหารอากาศบำรุง,สถานีตำรวจดอนเมือง","หมู่บ้านธนิทร,ซอยวิภาวดีรังสิต 35",หมู่บ้านอยู่เจริญ,"วิภาวดีรังสิต39,หมู่บ้านยิ่งโอฬาร",โรงเรียนพหลโยธิน,หมู่บ้านวังทองวิภาวดีซอย 47,โรงเรียนสังคีต,"บิ๊กซี,ตรงข้ามเซียร์รังสิต",ตลาดสี่มุมเมือง,"วัดประยูร,หมู่บ้านสีวลี",มหาวิทยาลัยรังสิต,แม็คโครรังสิต,ตลาดรังสิต,ตรงข้ามหมู่บ้านรัตนโกสินทร์ 200 ปี,อู่รังสิต,,,,
