1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209
โรงแรมโอเรียลเต็ล,ตรงข้ามโรงพยาบาลเลิดสิน,เซ็นทรัลสีลม,แยกประมวญ,ตรงข้ามวัดแขก,แยกเดโช(ขาออก),โรงพยาบาลกรุงเทพคริสเตียน,ป้ายรถประจำทาง BTS ศาลาแดง(ทางออก1),โรงพยาบาลจุฬาลงกรณ์(ฝั่งราชดำริ),แยกสารสิน,ตรงข้ามเอยูเอ,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก1),โรงพยาบาลตำรวจ,เซ็นทรัลเวิลด์,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สำนักงาน ป.ป.ส.,รร.พิบูลประชาสรรค์,สถาบันราชานุกูล,ตรงข้ามโบสถ์แม่พระฟาติมา,ตลาดขวัญพัฒนา,ซอยโพธิ์ปั้น ที่ทำการไปรษณีย์ดินแดง,ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,แยกห้วยขวาง(ธนาคารกรุงไทยสาขาดินแดง),ป้ายรถประจำทาง MRT ห้วยขวาง ซอยประชาษฎร์บำเพ็ญ 1,ตรงข้ามเมืองไทยภัทร บริษัทเมืองไทยประกันชีวิต,แยกสุทธิสาร,สถานีตำรวจสุทธิสาร,บุญถาวรรัชดาภิเษก,โรงเรียนปัญจทรัพย์,แยกลาดพร้าว-รัชดา(ซอยลาดพร้าว 25),ซอยลาดพร้าว 31 ตรงข้ามซอยลาดพร้าว 40,ซอยลาดพร้าว 35,ซอยภาวนาลาดพร้าว 41,ซอยลาดพร้าว 41/1,ตรงข้ามโรงเรียนพิบูลย์อุปถัมภ์,ลาดพร้าวสะพาน 2,สถานีตำรวจโชคชัย,โชคชัย 4,ตรงข้ามโรงเรียนถนอมพิศ,ศึกษาภัณฑ์ลาดพร้าว,ไปรษณีย์ลาดพร้าว,ซอยลาดพร้าว 67 ตรงข้ามซอยลาดพร้าว 80,ตรงข้ามแกรนด์วิลเลจ,ซอยลาดพร้าว 79 ตรงข้ามแมงป่อง,อิมพิเรียลลาดพร้าว,สำนักงานเขตวังทองหลาง,ตรงข้ามโรงเรียนบางกอกศึกษา,ซอยลาดพร้าว 93,ฟู้ดแลนด์,โรงพยาบาลลาดพร้าว,โรงเรียนภาษาอังกฤษสันติ,ร้านอาหารทิพวรรณ,โรงเรียนเตรียมศึกษาบางกะปิ,ซอยลาดพร้าว 107,เวชธานี,ซอยลาดพร้าว 111,เอ็นมาร์คพลาซ่า(น้อมจิตต์),แยกลำสาลี(รามคำแหง95),บางกะปิคอนโด(แยกสวนสน),ตรงข้ามบริษัทแอมเวย์(เก่า),วัดศรีบุญเรือง,ตรงข้ามรามคำแหง 68,แยกบ้านม้า(รามคำแหงขาออก),ตรงข้ามศูนย์อีซูซุรามคำแหง,หมู่บ้านเดชา 2,ตรงข้ามหมู่บ้านรุ่งกิจ,ตรงข้ามหมู่บ้านฐิติพร 1,โรงเรียนโสมาภา(ตรงข้ามหมู่บ้านชวนชื่น),ตรงข้ามโรงพยาบาลการุณเวช(ถนนรามคำแหง),ตรงข้ามหมู่บ้านสัมมากร,ตรงข้ามหมู่บ้านพฤษชาติ,ซอยรามคำแหง 151/1,ตรงข้ามหมู่บ้านเกศรี 2,ตรงข้ามคลองจั่นวิลล่า 4,ตรงข้ามโรงเรียนเตรียมอุดมน้อมเกล้า,ตรงข้ามหมู่บ้านธารารมณ์,ตรงข้ามคลองจั่นวิลล่า 7,ตรงข้ามหมู่บ้านปรีชา 2,ตรงข้ามบริษัท มิสทีน,ตรงข้ามซอยรามคำแหง 162,ตรงข้ามหมู่บ้านธรากร,ตรงข้ามกรมสรรพากรพื้นที่ 11,ตรงข้ามโรงเรียนเทพอักษร,ซอยรามคำแหง 191,ตรงข้ามหมู่บ้านบัวขาว,ตรงข้ามหมู่บ้านรินทร์ทอง,บิ๊กซีสุขาภิบาล 3,เคหะรามคำแหง,ตรงข้ามไทวัสดุแยกร่มเกล้า,ตรงข้ามสถานีตำรวจมีนบุรี,โรงเรียนสตรีเศรษฐบุตรบำเพ็ญ,สวนเฉลิมพระเกียรติร.9มีนบุรี,หน้าร้านทองมีนบุรี,โรงพยาบาลนวมินทร์ 9,วิทยาลัยเทคนิคมีนบุรี,จตุจักร 2 มีนบุรี,ตลาดมีนบุรี(อาคารปลาตะเพียนทอง),อู่มีนบุรี
อู่มีนบุรี,ตลาดมีนบุรี(ตลาดสด),สำนักงานเขตมีนบุรี,สำนักงานที่ดินมีนบุรี ศาลจังหวัดมีนบุรี,การสื่อสารโทรคมนาคมมีนบุรี,แยกสุวินทวงศ์-รามคำแหง การไฟฟ้านครหลวงเขตมีนบุรี,ตรงข้ามการประปามีนบุรี,ไทวัสดุ สาขาสุขาภิบาล 3 มีนบุรี,หมู่บ้านรุ่งนภา 2,เตหะชุมชนรามคำแหง,หมู่บ้านรินทร์ทอง,ตรงข้ามซอยรามคำแหง 199,หน้าหมู่บ้านเบญจรงค์,โรงเรียนเทพอักษร,กรมสรรพากรพื้นที่ 11,หมู่บ้านธรากร,ซอยรามคำแหง 162,บริษัท มิสทีน,หมู่บ้านปรีชา 2(รามคำแหง159/1),คลองจั่นวิลล่า 7,หมู่บ้านธารารมณ์,โรงเรียนเตรียมอุดมน้อมเกล้า,คลองจั่นวิลล่า 4,หมู่บ้านเกศรี 2,หมู่บ้านพฤษชาติ,หมู่บ้านสัมมากร,โรงพยาบาลการุณเวช(ถนนรามคำแหง),หมู่บ้านชวนชื่น,หมู่บ้านฐิติพร 1,หมู่บ้านรุ่งกิจ,ตรงข้ามหมู่บ้านเดชา 2,ศูนย์เกียรามคำแหง ตรงข้ามซอยรามคำแหง 123,ศูนย์อีซูซุรามคำแหง,แยกบ้านม้า(รามคำแหงขาเข้า),ซอยรามคำแหง 68,ตรงข้ามวัดศรีบุญเรือง,บริษัทแอมเวย์(เก่า),บางกะปิคอนโด(แยกสวนสน)(รามคำแหง60/1),เดอะมอลล์บางกะปิ,แม็คโครลาดพร้าว ตะวันนา2,ตรงข้ามโรงพยาบาลเวชธานี,ซอยลาดพร้าว 130/1 ตรงข้ามวิสุทธานี,ตรงข้ามซอยลาดพร้าว 101,ซอยลาดพร้าว 122,ตรงข้ามโรงพยาบาลลาดพร้าว,ตรงข้ามฟู้ดแลนด์,ซอยลาดพร้าว 114 โรงเรียนบางกอกศึกษา,โรงเรียนบางกอกศึกษา(ลาดพร้าว112),ตรงข้ามสำนักงานเขตวังทองหลาง,ตรงข้ามอิมพิเรียลลาดพร้าว,ซอยลาดพร้าว 92,ตรงข้ามซอยลาดพร้าว 71,ซอยลาดพร้าว 80,ตรงข้ามไปรษณีย์ลาดพร้าว(ลาดพร้าว72),ซอยลาดพร้าว64 ตรงข้ามศึกษาภัณฑ์พาณิชย์,กรมแผนที่ทหาร,ตรงข้ามตลาดโชคชัย 4 ซอยลาดพร้าว 58,ตรงข้ามตลาดสะพาน 2,โรงเรียนพิบูลย์อุปถัมภ์,ซอยลาดพร้าว 42,ซอยลาดพร้าว 40 ศิริชัยไก่ย่าง,ซอยลาดพร้าว 34,ตรงข้ามบ้านกลางเมือง ลาดพร้าว,ป้ายรถประจำทาง MRT รัชดาฯ โอลิมเปีย,ตรงข้ามโรงเรียนปัญจทรัพย์,ตรงข้ามบุญถาวร สาขารัชดาภิเษก,ป้ายรถประจำทาง MRT สุทธิสาร ตรงข้ามสถานีตำรวจสุทธิสาร,บริษัทเมืองไทยภัทร,ซอยรัชดาภิเษก 14,ป้ายรถประจำทาง MRT ห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ตรงข้ามบิ๊กซีรัชดาภิเษก,ตรงข้ามเอสพลานาดรัชดาภิเษก,ตรงข้ามสถานทูตจีน,เซ็นทรัลพระราม 9,ตรงข้ามซอยโพธิ์ปั้น,ตรงข้ามตลาดขวัญพัฒนา,โบสถ์แม่พระฟาติมา,แฟลตดินแดง(ป้าย1),แฟลตดินแดง(ป้าย2),ตลาดศรีวานิช,โรงแรม เดอะ ซีซัน กรุงเทพ สยาม,ตรงข้ามซอยรางน้ำ,ตรงข้ามอินทราสแควร์ประตูน้ำ,บิ๊กซีราชดำริ,เพนนินซูล่าพลาซ่า,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก2),สถาบันสอนภาษา Aua,สวนลุมพินี(ฝั่งราชดำริป้าย2),ซีพีทาวเวอร์,แยกนรารมย์,วัดแขก,ซอยสีลม 19,โรงพยาบาลเลิดสิน,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
