1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101
OppositeWatThepleela,RongrianWatThepLila,PakSoiSoiRamKhamHang43/1,OppositeRamkhamhaengUniversity,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,TheMallBangkapi,MakroLadprao,TawanNa2,OppositeRongphayabanWetThani,OppositeLatPhrao107,LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,LatPhraoSoi126,SoiLatPhrao122,OppositeLatPhraoHospital,OppositeFutLaen,LatPhraoSoi114BangkokSuksaSchool,LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,LatPhrao92,Ladplaow71,LatPhraoSoi80,OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,KromPhaenthiThahan,LatPhraoSoi58,OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,Phawana,SoiLatPhrao42,SoiLatPhrao40,SoiLatPhrao38,YaekRatDa,SoiLatPhrao28,BusStopMRTLatPhraoStation,SoiLatPhrao26,SoiLatPhrao22,SoiLatPhrao20,LatPhraoSoi14,SoiLatPhrao12,SiamComercialBankLatphrao,OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,BusStopMRTPhahonyothin(Exit3)
BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,ThanakhanThaiphanitLatPhrao,BigCLatPhrao,LatPhraoSoi20,SoiLatPhrao17,YaekLatPhrao-RatDa,LatPhraoSoi40,LatPhraoSoi35,PhawanaLatPhraoSoi41,LatPhrao41/1,RongrianPhibunUpatham,LatPhraoSaphan2Market,SathaniTamruatChokChai,ChokChai4,LatPhraoSoi57/1,SueksaPhanLatPhrao,LatPhaoPostOffice,LatPhraoSoi67OppositeLatPhraoSoi80,KraenWinlet,LatPhrao79,ImperialLatPhrao,SamnaknganKhetWangThonglang,OppositeBangkokSuksaSchool,SoiLatPhrao93,FutLaen,LatPhraoHospital,RongrianPhasaAngkritSanti,OppositeLatPhraoSoi126,LatPhraoSoi101,RongrianTriamSueksaBangKapi,LatPhrao107,WetThaNi,SoiLatPhrao111,NMarkPlaza(Nomchit),SunHonDaRamKhamNgae,RamkhamhaengHospital,ThaiNamthipRamkhamhaeng,BorisatOsotSaphaSoiRamKhamNgae26/1,MakPoliceStationHuaMarkStadium.,SunNangsueMoRamKhamNgae,RamkhamhaengUniversity,OppositeWatThepleela,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
