1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141
WatPhoThaTian,NakarapiromPark,RatchaWoraditPier,ThaChang,Sanamluang(OppositeSupremeCourt)Stop.1,Sanamluang(OppositeSupremeCourt)Stop.2,KongSalak,KhokWuaIntersection,DemocracyMonument(Suksapan),WatRatchaNatdaRam,OppositeThaiAirwaysBuilding,WatKhaeNangLoeng,NationalEconomicAndSocialDevelopmentBoard,OppositeMissionHospitalLanLuangRoad,YaekUruPhongKhoLiSiam,Rama6NextToHighway(Outbound),MahidolUniversity(FacultyOfScience),RamathibodiHospital,FlaetThahanBok,FlaetSamSen,SamsenSchool,AkhanThiPako,TrongChamSamnaknganLekhathikan,KarnmaneePalaceHotel,PraDiPhatSoi21,BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,BigCLatPhrao,LatPhraoSoi20,SoiLatPhrao17,YaekLatPhrao-RatDa,LatPhraoSoi40,LatPhraoSoi35,PhawanaLatPhraoSoi41,LatPhrao41/1,RongrianPhibunUpatham,LatPhraoSaphan2Market,SathaniTamruatChokChai,ChokChai4,LatPhraoSoi57/1,SueksaPhanLatPhrao,LatPhaoPostOffice,LatPhraoSoi67OppositeLatPhraoSoi80,KraenWinlet,LatPhrao79,ImperialLatPhrao,SamnaknganKhetWangThonglang,OppositeBangkokSuksaSchool,SoiLatPhrao93,FutLaen,LatPhraoHospital,RongrianPhasaAngkritSanti,OppositeLatPhraoSoi126,RongrianTriamSueksaBangKapi,LatPhrao107,WetThaNi,SoiLatPhrao111,HappylandJunction(GoingOut),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
HappylandJunction(GoingOut),NMarkPlaza(Nomchit),TheMallBangkapi,MakroLadprao,TawanNa2,OppositeRongphayabanWetThani,OppositeLatPhrao107,LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,LatPhraoSoi126,SoiLatPhrao122,OppositeLatPhraoHospital,OppositeFutLaen,LatPhraoSoi114BangkokSuksaSchool,LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,LatPhrao92,Ladplaow71,LatPhraoSoi80,OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,KromPhaenthiThahan,LatPhraoSoi58,OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,Phawana,SoiLatPhrao42,SoiLatPhrao38,YaekRatDa,SoiLatPhrao28,BusStopMRTLatPhraoStation,SoiLatPhrao26,SoiLatPhrao22,SoiLatPhrao20,SoiLatPhrao12,SiamComercialBankLatphrao,OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),PraDiPhatSoi20,RongraemMiDoHoten,SamnaknganLekhathikan,OppositeSamsenSchool,MinistryOfFinance,SoiSatsana,MwaSamsen,SoiSuanNgoen,GovernmentPharmaceuticalOrganization,MinistryOfIndustry,DepartmentOfHighway,RatchathewiThungphayathaiKhamYaekSaowanee,RangRodfaiSawankalokRd.YaekYommarat,MissionHospitalMahanak,OppositeNationalEconomicAndSocialDevelopmentBoard,OppositeWatKhaeNangLoeng,ThaiAirwaysBuilding,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,OppositeKongSalak,Sanamluang(SupremeCourt),WatPhraKaew(ThaChangPier),OppositeNakarapiromPark,WatPhoThaTian
