1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119
ตลาดพระประแดง,ตรงข้ามวัดพญาปราบ,ตรงข้ามวัดกลาง,สุนทรีย์พระประแดง,หน้าบริษัทหัวไผ่เซ็นเตอร์จำกัด,ตรงข้ามซอยพระราชวิริยาภรณ์ 16,ซอยราษฏ์บูรณะ 46,ตรงข้ามโรงเรียนแจงร้อน(ราษฎร์บูรณะ 44),ตรงข้ามชุมชนแจงร้อน,"โกดังชัยยงค์,ซอยราษฎร์บูรณะ 36",ตรงข้ามธนาคารกสิกรไทยราษฎร์บูรณะ 32/2,ตรงข้ามไฟฟ้าราษฎร์บูรณะซอย 30,ซอยราษฎร์บูรณะ 28 ตรงข้ามโรงแก้ว,ศูนย์สาธารณสุขซอยราษฎร์บูรณะ 39,สาธารณะสุข 39,ซอยราษฎร์บูรณะ 18,ตรงข้ามบริษัทกรุงเทพคลังเอกสารจำกัด,ซอยราษฎร์บูรณะ 12,ตรงข้ามโรงแรมกู๊ดอินน์,ซอยราษฎร์บูรณะ 6,ซอยเจริญนคร 76,ซอยเจริญนคร 66,ซอยเจริญนคร 56,ไทเสรี(เจริญนคร52),สะพานตากสิน,วัดสุวรรณ,ตรงข้ามตลาดคลองสาน,ซอยสมเด็จเจ้าพระยา 20,โรงพยาบาลสมเด็จเจ้าพระยา,ซอยสมเด็จเจ้าพระยา 18,ซอยสมเด็จเจ้าพระยา 12,บ้านหม้อ,หน่วยบัญชาการรักษาดินแดน,พระบรมมหาราชวัง,สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่2,โรงละครแห่งชาติ,,,,,,,,,,,,,,,,,,,,,,,
แยกบางลำพู 1,วัดชนะสงคราม,กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),สนามหลวง(ศาลหลักเมือง),กระทรวงกลาโหม,สวนเจ้าเชตุ,พระพิพิธ,พาหุรัด(เพาะช่าง-สวนกุหลาบ),สะพานพุทธ,ซอยสมเด็จเจ้าพระยา 6,ตรงข้ามซอยสมเด็จเจ้าพระยา 12,ตรงข้ามโรงเรียนกุลศิริบริหารธุรกิจและเทคโนโลยีกรุงเทพฯ,ซอยสมเด็จเจ้าพระยา 18,ซอยสมเด็จเจ้าพระยา 13,โรงพยาบาลตากสิน,ตลาดคลองสาน,ไอคอนสยาม,โรงแรมเพนนินซูล่า,สะพานตากสิน(เจริญนคร15),ซอยเจริญนคร 17,ซอยเจริญนคร 21-23,วัดเศวตฉัตร,ซอยเจริญนคร 39,ซอยเจริญนคร 51,ตลาดเจริญนคร(เจริญนคร55),ไทเสรี(ตรงข้ามเจริญนคร52),ซอยเจริญนคร 57/1,ตรงข้ามเจริญนคร 56,่เจริญนคร 59,วัดบางน้ำชน,ซอยเจริญนคร 61,ซอยเจริญนคร 63,ซอยเจริญนคร 65,ซอยราษฎร์บูรณะ 11,โรงแรมกู๊ดอินน์,ปั๊มน้ำมันสยามสหบริการจำกัด(มหาชน),บริษัทกรุงเทพคลังเอกสารจำกัด,บิ๊กซีซุปเปอร์เซ็นเตอร์ราษฎร์บูรณะ,ตรงข้ามสาธารณะสุข 39,คลังสินค้าราษฎร์บูรณะ,ตรงข้ามซอยราษฎร์บูรณะ 28,ซอยราษฎร์บูรณะ 27,"ธนาคารกสิกรไทย,ตรงข้ามซอยแพ่งสภา",โกดังชัยยงค์,ชุมชนแจงร้อน,โรงเรียนแจงร้อนวิทยา,ท่าแจงร้อน(ราษฎร์บูรณะ37),ตรงข้ามซอยราษฏ์บูรณะ 46,"ท่าจอดรถสาย 37,ซอยราษฎร์บูรณะ 39",ซอยบูรณะสุดเขต 4,ซอยพระราชวิริยาภรณ์ 16,ตรงข้ามบริษัทหัวไผ่เซ็นเตอร์จำกัด,วัดกลาง,ตลาดพระประแดง
