1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71
กรมที่ดิน,โรงเรียนราชินี,ตรงข้ามตั้งตรงจิตรพณิชยการ,ตลาดท่าเตียน,ท่าราชวรดิษฐ์,ท่าช้าง,สนามหลวง(ตรงข้ามวัดพระแก้ว),สนามหลวง(ตรงข้ามศาลฎีกา) ป้ายที่ 1,กองสลาก,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),ตรงข้ามบริษัทเดินอากาศไทย(บดท.),วัดสิตาราม หลานหลวง,ตรงข้ามภูเขาทอง วัดสระเกศ,แม้นศรี,โรงพยาบาลหัวเฉียว,วัดชำนิหัตถการ,วัดชัยมงคล แยกเจริญผล,สถาบันเทคโนโลยีปทุมวัน,หอศิลป์กรุงเทพฯ,ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),จุฬาลงกรณ์ (คณะพาณิชยศาสตร์และการบัญชี),จามจุรีสแควร์,สถานเสาวภา,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),บ่อนไก่,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,กรมศุลกากร,ท่าปล่อยรถ ท่าเรือคลองเตย,blankjaa,blankjaa
ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,โรงเรียนคอนแวนต์ ตลาดปีนัง,การไฟฟ้าคลองเตย,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),อื้อเจือเหลียง,โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,แยกสามย่าน,จุฬาลงกรณ์ (นิติศาสตร์/นิเทศศาสตร์),จุฬาลงกรณ์ (คณะครุศาสตร์),จุฬาลงกรณ์ (หอศิลป์จามจุรี),มาบุญครอง,ป้ายรถประจำทาง BTS สนามกีฬาแห่งชาติ,เจริญผล,อาคารศรีจุลทรัพย์,ตรงข้ามโรงเรียนเทพศิรินทร์,วัดพลับพลาชัย,โรงพยาบาลกลาง(ฝั่งถนนหลวง),ประปาแม้นศรี,ภูเขาทอง วัดสระเกศ,วัดสิตาราม หลานหลวง,บริษัทเดินอากาศไทย(บดท.),วัดราชนัดดา ลานพลับพลามหาเจษฎาบดินทร์,อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สนามหลวง(ศาลฎีกา),สนามหลวง(ศาลหลักเมือง),วัดพระแก้ว(ท่าช้าง),ตรงข้ามท่าราชวรดิษฐ์,วัดโพธิ์,ตั้งตรงจิตรพณิชยการ,สถานีตำรวจพระราชวัง
