1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109
TheThaiRedCrossSociety,ChulalongkornBusTerminal,PatumwanDemonstrationSchool,Chulalongkorn(Vet/Dent),ChaloemPhaoJunction,SiamSquare,BusStopBTSRatchathewi(Exit3),KingPhet,Uruphong,MissionHospital,OppositeRoyalTurfClub,RajamagalaUniversityOfTechnologyPhraNakorn,ThamniapRatthaban,WangDaeng,WatRachadhiwasViharn,SaintGabrielCollege,VajiraHospital,SiYanRongrianAChiwaSinlapaSueksa,MakroBangKraBue(Sp25),4ThCavalryDivisionKing'SGuard,RongrianYothinBurana,OppositeWatPradu,OppositeBangPhoFireStation,ThongkhamBangPhoHospital,OppositeThepSumritSchool,SoiYaowapha,SoiPrachaNaruemit,KasikornthaiBank,SoiKrungthep-Nonthaburi13,SoiKrungthep-Nonthaburi17,WatCherngWaiSoiKrungthep-Nonthaburi21/1,SoiKrungthep-Nonthaburi23/1ThorPhaFactory,SoiKrungthep-Nonthaburi25BangSonMarket,SoiKrungthep-Nonthaburi29,OppositeKromYutThahan,DapphloengWongSawangKrungthep-Non,OppositeKromYutBorikan,WiriyaPrakanphaiRatchadaphisek68,PrachanukunIntersection(RatchadaphisekSoi64),SimenThai1ThangduanRatchadaphisek60,MubanPunsimen2,NakhonchaiAir,BangchakPetroleumKamphaengphet2,NikhomRotfaiKm.11,Mochit2BusDepot,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
Mochit2BusDepot,OppositeNikhomRotfaiKm.11,OppositeBangchakKamphaengphet2,MubanPunsimen,PrachanukunIntersection(RatchadaphisekSoi35),Ratchadaphisek39SiriChaiKaiYang,KromYutBorikan,YaekWongSawang,KromYutBorikan(Krungthep-NonthaburiRd),SoiKrungthep-Nonthaburi44OppositeSoiSomThawin,D-SquareKruaKunSuPiriyaYothinKindergarten,BangsonMarketOppositeSoiKrungthep-Nonthaburi25,ThoPhaSoiKrungthep-Nonthaburi34,WatCherngWaiSangkornTutorialSchool,TaoPoonPoliceStationSoiKrungThep-Nonthaburi26,SoiSawaiPumpNamMun,PrachaNaruemitOppositeThanakhanKasikonthai,TalatTaoPunSoiKrungthep-Nonthaburi4,SoiSaphanKhao,ThepSumritSchoolSoiPattana,BangPhoHospitalSoiAthipbodee,BangPhoFireStation,WatPradu,YaekKiakkai,BangKaBue,WatKromCholSoiSamsen22,Sriyan,OppositeVajiraHospital,OppositeSamsen11-13,OppositeSaintGabrielCollege,OppositeNationalLibrary,ThewetBusTerminal(72),Tha99,Samnakngan,RatwinitSchool,RoyalTurfClub,OppositeMissionHospital,MoRatchaphatWalaiYoLongKonSunKrungthep,BusStopBTSRatchathewi(Exit2),SiamCenter,BusStopBTSSiamStation,PoliceNursingCollege,SanamMaPathumWan,ChulaHospital,TheTawannaBangkok,Rama3GroupHondaSurawong,OngkanThorasap,Mahesak,ArkanKieatNakin,Siphaya,WatKaeoChaemFa,SoiSongPhra,SonoBangRak,Grundfos,TheThaiRedCrossSociety
