1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157
PriestHospitalBusTerminal,OppositeSantiratWitthayalaiSchool,RatchathewiDistrictOffice,ArmyMedicalDepartment,VictoryMonument(DinDaengSide),OppositeSantiphapPark,OncbOffice,ItSquare,WatLaksi,TungsonghongHousing,OilCargo,DonMuangDistrictOffice,DonMueangNewMarket,WatDonMueang,FaiChangDonMueang,DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,ThaninthonVillageWiphawadiRangSit35,MubanYuCharoen,WipawadeeRangsit39YingohranVillage,PaholyothinSchool,WangthongHouse,RongrianSangkhit,BigCOppositeZeerRangsit,SrimummuangMarket,WatPrayoonSivaleeVillage,RangsitUniversity,MakroRangsit,Rangsit-Nakhonnayok5,Rangsit-Nakhonnayok15,Rangsit-Nakhonnayok21,Rangsit-Nakhonnayok27,Rangsit-Nakhonnayok33,Rangsit-Nakhonnayok45,Rangsit-Nakhonnayok57,MubanPhatsorn,OppositeBuengyithoTambonAdministration,Thaisuzuki.Co.Th,WatKhianKet,LotusRangSit-NakhonNayok,Klong4(Outbound),TanyaKlong4AnimalHospital,MubanPraemaporn,WatMoolJindaram,MubanKhlong5,OppositeEasternAsiaUniversity,ThanyaburiHospital,RajamangalaUniversityOfTechnologyThanyaburi(Outbound),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
RajamangalaUniversityOfTechnologyThanyaburi,ThanyaburiHospital,EasternAsiaUniversity,MubanKhlong5(KhlongSide),P.P.S.Safetyglass,WatMooljindaram,MubanLivingNara,OppositeKhrongkanPhongsirichai,OppositeRongphayabanSatThanKhlong4,Klong4(Inbound),OppositeLotusRangSit-NakhonNayok,OppositeWatKhianKet,RangsitInternationalSchool,BuengyithoTambonAdministration,MubanPhatsorn,RangSit-NakhonNayok61,OppositeSoiRangSit-NakhonNayok45,OppositeSoiRangSit-NakhonNayok33,OppositeSoiRangSit-NakhonNayok27,MuangRangsitFloatingMarket,OppositeSoiRangSit-NakhonNayok15,OppositeSoiRangSit-NakhonNayok5,MajorRangsit,ThanyaburiSchool,ChokchaiFarm,OppositeWatPrayunChindaRamPhahonYothin84,HospitalDoctorsRangsit,ZeerRangsit,AnusornSathan,PromThaiPingFactory,MubanPipornpong,Supalack,TtlIsuzu,HousingOverTheAirBaseOppositeTheNewDen.,OppositeSathaniTamruatnakhonbanDonMueang,ResearcherDonMuangAirportAir,DonMueang(AirportOffice),DonMueang(Terminal1-2),DonMueangAirport(Terminal3),Donmueang(Cargo),DonmueangAirport(Gate8),JaeLengShop,Cotto,HinoMotorsSales,YaekLakSi,NangsuephimNaeona,PathaiudomSchool,SamoRotTamruatThaiPbs,Wiphawadi58,RamaGardenHotel,DailynewsNewspaper,RongnganYaKhun,MoKasetsat,PaiRotPrachamThangkanThangphiset,ViphawadiHospital,BorisatToyotaWiphawadi46,OppositeWatSamian,SonoWiphawadiNosophoBanmueang,SamnaknganKhetChatuchak,AkhanChinnawat3BorisatTriPhet,RongrianHoWang,SenChonSchool,BorisatMahanakhon,KanBinThai(SamnaknganYai),SoiBuaSuwanThanakhanKrungthep,SoiWiphawadi18,SoiChockchairuammit,SoiWiphawadi14,YaekSutthiSan(Dapphloeng),SunFuekRaksaDindaen,UniversityOfTheThaiChamberOfCommerce,RongrianSuraSakMontri,OppositeTheOppositeHospitalVeteran,SriwanitMarket,SantiphapPark,VictoryMonument(PhayaThaiSide),Century,WannasornTower,SantiratWitthayalaiSchool
