1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85
อู่หมอชิต 2,บริษัท ชาญทัวร์,สวนสมเด็จพระนางเจ้าสิริกิติ์,เจเจมอลล์,ตลาดนัดจตุจักร(ประตู1),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),เซ็นทรัลลาดพร้าว,ตรงข้ามกองปราบปราม,ตรงข้ามโรงเรียนสตรีวรนาถบางเขน,ตรงข้ามสถานีตำรวจพหลโยธิน,ตรงข้ามรัชดาหินอ่อน,ซอยเสือใหญ่,มหาวิทยาลัยราชภัฏจันทรเกษม,กรมส่งเสริมการค้าระหว่างประเทศ,ป้ายรถประจำทาง MRT รัชดาฯ โอลิมเปีย,ตรงข้ามโรงเรียนปัญจทรัพย์,ป้ายรถประจำทาง MRT สุทธิสาร ตรงข้ามสถานีตำรวจสุทธิสาร,บริษัทเมืองไทยภัทร,ซอยรัชดาภิเษก 14,ป้ายรถประจำทาง MRT ห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ตรงข้ามบิ๊กซีรัชดาภิเษก,ตรงข้ามเอสพลานาดรัชดาภิเษก,ตรงข้ามสถานทูตจีน,ใต้ทางด่วนพระราม 9 [B],ตรงข้าม Arl มักกะสัน,มหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตร,ตรงข้ามอาคารเสริมมิตร,ตึกชิโนทัย ตรงข้ามตลาดอโศก,ซอยสุขุมวิท 16,อาคารเลครัชดา ตรงข้ามสวนเบญจกิตติ,ตรงข้ามศูนย์ประชุมแห่งชาติสิริกิติ์,ป้ายรถประจำทาง MRT ศูนย์ประชุมสิริกิติ์,ตลาดคลองเตย(ถนนพระราม 3 ขาออก),ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,อู่คลองเตย,blankjaa,blankjaa,blankjaa
อู่คลองเตย,ตรงข้ามเขตการเดินรถที่4,ตลาดคลองเตย(ถนนพระราม3ขาเข้า),แยกพระราม 4 โรงเรียนคลองเตยวิทยา,ศูนย์ประชุมสิริกิติ์,สวนเบญจกิติ ตรงข้ามอาคารเลครัชดา,แยกสุขุมวิท-อโศก ตลาดอโศก,อาคารเสริมมิตร ตรงข้ามตึกชิโนทัย,ตรงข้ามตึกจีเอ็มเอ็มแกรมมี่,ตรงข้ามมหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตร,Arl มักกะสัน,ใต้ทางด่วนพระราม 9 [A],ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,แยกห้วยขวาง(ธนาคารกรุงไทยสาขาดินแดง),ป้ายรถประจำทาง MRT ห้วยขวาง ซอยประชาษฎร์บำเพ็ญ 1,โรงเรียนกุนนทีรุทธารามวิทยาคม,ตรงข้ามเมืองไทยภัทร บริษัทเมืองไทยประกันชีวิต,แยกสุทธิสาร,สถานีตำรวจสุทธิสาร,บุญถาวรรัชดาภิเษก,โรงเรียนปัญจทรัพย์,ศาลแขวงพระนครเหนือ,ศาลอาญา,ตรงข้ามมหาวิทยาลัยราชภัฏจันทรเกษม,ตรงข้ามซอยเสือใหญ่,ซอยเสือใหญ่ 2,รัชดาหินอ่อน,สถานีตำรวจพหลโยธิน,ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,ธนาคารทหารไทย (สำนักงานใหญ่),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก4),ตรงข้ามเจเจมอลล์,ตรงข้ามสวนสมเด็จพระนางเจ้าสิริกิติ์,อู่หมอชิต 2
