1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37
สำนักงานทรัพย์สินส่วนพระมหากษัตริย์ ตรงข้ามคุรุสภา,สี่เสาเทเวศร์,หอสมุดแห่งชาติ,วัดราชาธิวาสราชวรวิหาร,โรงเรียนเซนต์คาเบรียล,ซอยราชวิถี 19,โรงเรียนเขมะสิริอนุสรณ์ ซอยราชวิถี 23,แยกบางพลัด(จรัญสนิทวงศ์ 69),ซอยจรัญสนิทวงศ์ 73,โรงเรียนบูรณวิทย์,วัดบางพลัด จรัญสนิทวงศ์ 77/3,สำนักงานเขตบางพลัด,บางพระครู จรัญฯ 85,ซอยจรัญสนิทวงศ์ 89/1,ตรงข้ามโรงพยาบาลยันฮี,ตรงข้ามสถานีตำรวจดับเพลิงบางอ้อ,ตรงข้ามซอยจรัญสนิทวงศ์ 96/2,การไฟฟ้าฝ่ายผลิต,ท่าเรือใต้สะพานพระราม7
โรงเรียนวัดวิมุต,ซอยจรัญสนิทวงศ์ 96/2,โรงเรียนพระรามหกเทคโนโลยี,โรงพยาบาลยันฮี,โรงพิมพ์สามเจริญ,ซอยจรัญสนิทวงศ์ 82,ซอยจรัญสนิทวงศ์ 74/1,โลตัสจรัญสนิทวงศ์,เทพพากร,วัดเทพากร,แยกบางพลัด,คณะพยาบาลศาสตร์เกื้อการุณย์,ตรงข้ามวชิรพยาบาล,ตรงข้ามสามเสน11-13,ตรงข้ามโรงเรียนเซนต์คาเบรียล,ตรงข้ามหอสมุดแห่งชาติ,ตรงข้าม มทร.พระนครศูนย์เทเวศร์,ท่าปล่อยรถ เทเวศร์ (53R),blankjaa
