1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49
อู่หมอชิต 2,สวนสมเด็จพระนางเจ้าสิริกิติ์,เจเจมอลล์,ตลาดนัดจตุจักร(ประตู1),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),โรงเรียนเซนต์จอห์น,บริษัทมหานคร,การบินไทย(สำนักงานใหญ่),ซอยบัวสุวรรณ ธนาคารกรุงเทพ,ซอยวิภาวดี 18 ตึกวรสิน,ซอยโชคชัยร่วมมิตร,ซอยวิภาวดี 14 ก่อนถึงแยกสุทธิสาร,แยกสุทธิสาร(ดับเพลิง),ศูนย์ฝึกรักษาดินแดน,มหาวิทยาลัยหอการค้าไทย,โรงเรียนสุรศักดิ์มนตรี,สุขสวัสดิ์ กม.9(ลงทางด่วน),วัดสน,วัดรวก,ตรงข้ามเมเจอร์พระประแดง(ต่างระดับวงแหวนอุตสาหกรรม),ธนาคารกรุงเทพ(ถนนนครเขื่อนขันธ์),วัดกลาง,blankjaa,blankjaa,blankjaa
ตรงข้ามวัดกลาง,แยกพระประแดง,เมเจอร์พระประแดง(ต่างระดับวงแหวนอุตสาหกรรม),ตรงข้ามซอยวัดรวก,ตรงข้ามวัดสน,ซอยเด็กกรำพร้า,สุขสวัสดิ์ กม.9 (ขึ้นทางด่วน),โรงพยาบาลทหารผ่านศึก,ตรงข้ามโรงเรียนสุรศักดิ์มนตรี,ตรงข้ามมหาวิทยาลัยหอการค้าไทย,สนามกีฬากองทัพบก,สโมสรทหารบก,บริษัทกรุงเทพธุรภัณฑ์กรุ๊ปจำกัด,แยกสุทธิสาร(ถนนวิภาวดีรังสิตขาออก),อาคารอมตะตึกสีม่วง,วิภาวดีซอย3 ตรงข้ามซอยโชคชัยร่วมมิตร,ซอยวิภาวดี 5,ตรงข้ามบริษัทการบินไทย(สำนักงานใหญ่),ไทยรัฐ,อาคารซันทาวเวอร์,ธนาคารทหารไทย (สำนักงานใหญ่),ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก4),ตรงข้ามเจเจมอลล์,ตรงข้ามสวนสมเด็จพระนางเจ้าสิริกิติ์,อู่หมอชิต 2
