1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181
SanamYingPuenNuaiBanchakanRaksaDindaen,KrasuangMahatthai,OppositeSalaWaKanKrungthepmahanakhon,SatriwittayaSchool,WatBawon,WatChanasongkram,KongSalak,DemocracyMonument(Suksapan),OppositeThaiAirwaysBuilding,WatKhaeNangLoeng,NationalEconomicAndSocialDevelopmentBoard,OppositeMissionHospitalLanLuangRoad,MoRatchaphatWalaiYoLongKonSunKrungthep,OppositeBangkokBusinessCollege,OppositePantipPratunam,PhetRama,MetroMallPratunam,OppositeWatMakkasan,NikhomMakkasan(PhetchaburiRoadOutbound),TheRoofThanapoom,OppositeRongrianSenDoMiNik,OppositeMahawitthayalaiMosowoPrasanMit,SukiRueanPhet,ItalianCompanies-Thailand,OppositeWatMaiChongLom(ItalthaiIndustrialCo.Ltd.(HeadOffice)),PhetchaburiSoi47,ChanItSaThaoWoe2PhetchaburiTatMai,ThongLoNueaIntersection(Outbound),EkkamaiIntersection(PhetcharavejHospital),PhetcharavetHospital,TalatKhlongtan,KanFaifaYoiKhlongtan,PowerSub-Area,HospitalDr.Panya(Ramkhamhaeng5),FoodlandPerfectPlace(Ramkhamhaeng7).,KindergartenDivineMindTheMallRamkhamhaeng3.,BigCRamkhamhaeng,WatThepleeSchoolMajorRamkhamhaeng,RongrianWatThepLila,PakSoiSoiRamKhamHang43/1,OppositeRamkhamhaengUniversity,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,BangKapiMarket(LatPhraoSoi127),YaekBangkapi,WatSiBunRueang(AemWeMai),BangKapiSchool,Nida,YaekNida,SriBurapha22KruaPramong,SriBurapha20,SriBurapha16(Garden),SriBurapha8,KruaRimbueng,ThalaySaab1BangkapiLandOffice,MubanWangtong,OppositeMubanSiNakhon1OppositeMubanSiNakhon1,RongrianSoMapha2,SoiPhuengBun(NawaMin69)OppositeMubanPricha,TalatInThraRak,NawaMin83OppositeSantiAsok,SantiAsoke(SoiPrinSiriNavamin).,PrakanSangkhomNawaminSoi56,SoiPhoKaeoOppositeWatBangToei,MubanSamakkhi,NuanchanMarket,OppositeTalatPatWiKon,OppositeRongrianBadinDeCha2,OppositeRongrianBenchaMin,KhehaNawaMin,OppositeNawaminSoi86,OppositePhyathaiNawaminHospital,NawaMin151MubanUeangSuk,RongrianNawaMitRaChuThit(SinghaSeni),ChonKheBuaPostOfficeSahaFam,NawaMin163SoiAmonWiwatKomo8,Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,RamInThra89YueangPamEsSo,FashionIsland,ThanakhanKrungthaiRamInThra,PamPotothoOppositeRanHiaHoPuDong,Wisutavil,Suansiam,OppositeSuanSayamSoi14(MubanKaoSaen),SiamPark,SiamParkBusDepot
SiamParkBusDepot,OppositeSoiSuansayam9,OppositeSiamPark,BungkumRevenueOffice,SoiSuanSayam16,SuanSayam),SoiSuanSayam6,OppositeNoppositeharatHospital,RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,OppositeFashionIsland,UmnuayPhesaj,SoiChuenKamon,SynphaetHospital,RamInThra50OppositeSunNitSan,KhondoLumPhiNiOppositeSoiAmonWiwat,NawaMin98OppositePraisaniChorakheBua,OppositeRongrianNawaMin(SingSinghaSeni),MubanAmRinNawaMin90,PhyathaiNawaminHospital,NawaMin80OppositeKhehaNawaMin,RongrianBadinDeCha2,MubanPatWiKon,SoiNuanchanNawamin,MubanThanaSin,NawaMin58(MubanSinThani1)OppositePrakanSangkhom,SantiAsok,OppositeTalatInThraRak,MubanThanThipOppositeRongrianSoMapha,MubanSrinakron1,OppositeMubanWangThong,SoiSriBurapha3ThalaySaab1,SoiSriBurapha3KruaRimbueng,SoiSriBurapha8,SoiSriBurapha15,SoiSriBurapha20KlongjunKindergarten,YaekNidaBusStop,SathabanNiDa,PierMeasuredSriboonruangTempleSriboonruang,YaekBangKapi,BangKapiMarket,SunHonDaRamKhamNgae,RamkhamhaengHospital,ThaiNamthipRamkhamhaeng,BorisatOsotSaphaSoiRamKhamNgae26/1,MakPoliceStationHuaMarkStadium.,SunNangsueMoRamKhamNgae,AkhanSetSatMoRamKhamNgae,RamKhamNgaeSoi20,TheMallRamkhamhaeng2,HospitalDr.Panya,BangOppositeThePowerSubstationTheFoundationForIslamicCentreOfThailand.AirportLinkS,KhlongtanMarket(PhetchaburiSoi42),KhlongTanHospital,EkkamaiIntersection,CharnIssaraTowerIi,SunwichaiIntersection,SahapathanapibulLtd.OppositeBangkokHospital.,WatMaiChongLom,OppositeSukiRueanPhet,SrinakarinwirotUniversity(PhetchaburiRoad),RongrianSenDoMiNik,YaekNikhomMakkasan,NikhomMakkasan(PhetchaburiRoadInbound),WatMakkasan,Metro,YaekPratunam,PantipPratunam,BangkokBusinessCollege,KingPhet,Uruphong,MissionHospitalMahanak,OppositeNationalEconomicAndSocialDevelopmentBoard,OppositeWatKhaeNangLoeng,ThaiAirwaysBuilding,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,OppositeKongSalak,SanamYingPuenNuaiBanchakanRaksaDindaen,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
