1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155
ท่ารถแฮปปี้แลนด์ (95 95ก 143),ตรงข้ามลุมพินีเซ็นเตอร์แฮปปี้แลนด์,ตลาดแฮปปี้แลนด์,แยกแฮปปี้แลนด์ 2,เอ็นมาร์คพลาซ่า(น้อมจิตต์),ตลาดบางกะปิ(ซอยลาดพร้าว 127),สถานีตำรวจลาดพร้าว,หมวดการทางบางกะปิ,โรงเรียนบ้านบางกะปิ,ตรงข้ามสำนักงานการเคหะแห่งชาติ,ซอยนวมินทร์ 17,ตรงข้ามสนามกีฬาคลองจั่น(นวมินทร์33),สำนักงานที่ดินเขตบางกะปิ,หมู่บ้านวังทอง,ตรงข้ามหมู่บ้านศรีนคร 1,โรงเรียนโสมาภา 2,ซอยพึ่งบุญ(นวมินทร์ 69) ตรงข้ามหมู่บ้านปรีชา,ตลาดอินทรารักษ์(ซอยนวมินทร์ 75),ซอยนวมินทร์ 83 ตรงข้ามสันติอโศก,ซอยนวมินทร์ 89,ประกันสังคมนวมินทร์ 56,ซอยโพธิ์แก้ว ตรงข้ามวัดบางเตย,หมู่บ้านสามัคคี(นวมินทร์ 107),ตลาดนวลจันทร์(ถนนนวมินทร์ขาออก),ตรงข้ามตลาดปัฐวิกรณ์,ตรงข้ามโรงเรียนบดินทรเดชา(สิงห์สิงหเสนี 2),ตรงข้ามโรงเรียนเบญจมินทร์,ซอยนวมินทร์ 135,เคหะนวมินทร์,ไทวัสดุนวมินทร์ ตรงข้ามโลตัสสุขาภิบาล1,ตรงข้ามโรงพยาบาลพญาไทนวมินทร์(เปาโลเดิม),ซอยนวมินทร์ 151 หมู่บ้านเอื้องสุข,โรงเรียนนวมิทราชูทิศ(สิงหเสนีย์),ไปรษณีย์จรเข้บัว สหฟาร์ม,ซอยนวมินทร์ 163 ซอยอมรวิวัฒน์ กม.8,ซอยรามอินทรา 46,ตรงข้ามซอยรามอินทรา 69,กม.7 รามอินทรา(ขาเข้า),ซอยนวลจันทร์,โรงเรียนสายอักษรกม.6,ตรงข้ามหมู่บ้านสวัสดิการทหารบก,วัชรพล,ตรงข้ามกองบินตำรวจ,ซอยมัยลาภ(รามอินทราซอย16),ตรงข้ามตลาดกม.4,ตรงข้ามหมู่บ้านเกาหลี,บิ๊กซีรามอินทรา,แยกลาดปลาเค้า(ศูนย์การค้ารามอินทรา),สนามมวยลุมพินีรามอินทรา,ศูนย์พัฒนากีฬากองทัพบก,ศูนย์พัฒนากีฬากองทัพบก สนามกอล์,ตรงข้ามเซ็นทรัลรามอินทรา,ตรงข้ามมหาวิทยาลัยเกริก,โรงเรียนสาธิตวัดพระศรีมหาธาตุ,หาวิทยาลัยราชภัฏพระนคร,ตรงข้ามโรงเรียนเจริญผล,ตรงข้ามธนาคารไทยพาณิชย์แจ้งวัฒนะ,Totสำนักงานใหญ่,ดี.เอช.ไอ. Dsi,กรมการกงสุล,ศูนย์ราชการแจ้งวัฒนะ(อาคารa),ตรงข้ามบิ๊กซีแจ้งวัฒนะ,ตรงข้ามโลตัสแจ้งวัฒนะ,แยกแจ้งวัฒนะ-ประชาชื่น,แม็คโครแจ้งวัฒนะ,หมู่บ้านสวัสดิการทหารบกแจ้งวัฒนะ,โรงเรียนคลองเกลือ,หมู่บ้านพงษ์ธรรม,หมู่บ้านกฤษดานคร หมู่บ้านราชพฤกษ์,เซ็นทรัลแจ้งวัฒนะ,ซอยแจ้งวัฒนะ-ปากเกร็ด 26,ซอยหมู่บ้านสี่ไชยทอง,บริษัท จัสมิน อินเตอร์เนชันแนลทาวเวอร์,บิ๊กซืแจ้งวัฒนะ,ซอยแจ้งวัฒนะ-ปากเกร็ด 24,เมเจอร์ฮอลิวูดปากเกร็ด,ธนาคารออมสินสาขาปากเกร็ด,วัดบ่อ ท่าน้ำปากเกร็ด ซอยวัดสนามเหนือ
หน้าห้างทองแม่พลอย,ซอยบุญศรี ตรงข้ามโรงพยาบาลวิภาราม,ตรงข้ามเมเจอฮอลิวูดปากเกร็ด,ศุภาลัยวิสต้าห้าแยกปากเกร็ด,ซอยแจ้งวัฒนะ-ปากเกร็ด 11/1,ตรงข้ามบิ๊กซีแจ้งวัฒนะ ,ซอยแจ้งวัฒนะ-ปากเกร็ด 15,ตรงข้ามหมู่บ้านสี่ไชยทอง,ตรงข้ามซอยแจ้งวัฒนะ-ปากเกร็ด 26,ตรงข้ามเซ็นทรัลแจ้งวัฒนะ,ตรงข้ามสถาบันการจัดการปัญญาภิวัฒน์ โรงเรียนอนุบาลอันวิดา,ซอยแจ้งวัฒนะ-ปากเกร็ด 31,หมู่บ้านจรรยานิเวศร์,แจ้งวัฒนะ-ปากเกร็ด41,สีดูลักซ์,บิ๊กซีแจ้งวัฒนะ,กรมทหารปืนใหญ่ต่อสู่อากาศยานที่1,ตรงข้ามการสื่อสารโทรคมนาคมหลักสี่,ตรงข้ามtotสำนักงานใหญ่,ธนาคารไทยพาณิชย์แจ้งวัฒนะ,โรงเรียนเจริญผล,จัสโก้แจ้งวัฒนะ ตรงข้ามมหาวิทยาลัยราชภัฏพระนคร,ตรงข้ามโรงเรียนสาธิตวัดพระศรีมหาธาตุ,สถานีตำรวจบางเขน,มหาวิทยาลัยเกริก,เซ็นทรัลรามอินทรา,ซอยรามอินทรา 5,โรงเรียนปราโมชวิทยารามอินทรา,ตรงข้ามสนามมวยลุมพินีรามอินทรา,แยกลาดปลาเค้า(รามอินทรา15),ตรงข้ามบิ๊กซีรามอินทรา,หมู่บ้านเกาหลี,ตลาด กม.4,เคหะรามอินทรา กม.4,ตรงข้ามซอยมัยลาภ,กองบินตำรวจ,วัชรพล(กม.5),หมู่บ้านสวัสดิการทหาร,ซอยรามอินทรา 65,กม.7 รามอินทรา(ขาออก),ซอยรามอินทรา 69,กม.8 รามอินทรา,คอนโดลุมพินี ตรงข้ามซอยอมรวิวัฒน์,ซอยนวมินทร์ 98 ตรงข้ามไปรษณีย์จรเข้บัว,ตรงข้ามโรงเรียนนวมินทร์(สิงห์สิงหเสนีย์),หมู่บ้านอัมรินทร์นวมินทร์ 90,โรงพยาบาลพญาไทนวมินทร์,ซอยนวมินทร์ 80 ตรงข้ามเคหะนวมินทร์,โรงเรียนเบญจมินทร์,โรงเรียนบดินทรเดชา(สิงห์สิงหเสนี) 2,หมู่บ้านปัฐวิกรณ์,ปากซอยนวลจันทร์นวมินทร์,หมู่บ้านธนะสิน(นวมินทร์ 68),ซอยนวมินทร์ 58 หมู่บ้านสินธานี 1 ตรงข้ามประกันสังคม,สันติอโศก(ซอยนวมินทร์ 52),ตรงข้ามตลาดอินทรารักษ์(นวมินทร์ 38),ธนาคารกสิกร หมู่บ้านปรีชา 2,หมู่บ้านธารทิพย์ ตรงข้ามโรงเรียนโสมาภา,หมู่บ้านศรีนคร1,ตรงข้ามหมู่บ้านวังทอง,ตรงข้ามสำนักงานที่ดินบางกะปิ,แยกแฮปปี้แลนด์นวมินทร์ 16,แฮปปี้แลนด์,ท่ารถแฮปปี้แลนด์ (95 95ก 143),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
