1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81
โรงเรียนนนทรีวิทยา,ซอยโพธิ์เจริญ,ตลาดปีนัง,โรงเรียนคอนแวนต์ ตลาดปีนัง,การไฟฟ้าคลองเตย,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),ลุมพินีประทุมวัน,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),โรงพยาบาลจุฬาลงกรณ์(ฝั่งราชดำริ),แยกสารสิน,ตรงข้ามเอยูเอ,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก1),โรงพยาบาลตำรวจ,เซ็นทรัลเวิลด์,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,บ้านราชวิถี(ฝั่งพระรามที่6),สำนักงานประปาสาขาแม้นศรี,นครไชยศรี,ราชวัตร,อัมพวัน,ซอยพิชัย4,ซอยวัดแคใต้,ซอยวัดสวัสดิ์,ท่าปล่อยรถสาย 14,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
ท่าปล่อยรถสาย 14,ตรงข้ามซอยวัดสวัสดิ์,ตรงข้ามซอยวัดแคใต้,ตรงข้ามอัมพวัน,ตรงข้ามกรมสรรพสามิต,สวรรคโลก,การประปานครหลวงสามเสน,ซอยสวนเงิน,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,อาคารศรีอยุธยา,โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,โรงเรียนศรีอยุธยา,เจ้าพระยา 2 นวดแผนโบราณ,ตรงข้ามอินทราสแควร์ประตูน้ำ,บิ๊กซีราชดำริ,เพนนินซูล่าพลาซ่า,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก2),สถาบันสอนภาษา Aua,สวนลุมพินี(ฝั่งราชดำริป้าย1),สวนลุมพินี(ฝั่งราชดำริป้าย2),สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),ป้ายรถประจำทาง MRT ลุมพินี,สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,โรงงานยาสูบ,ตรงข้ามการไฟฟ้าคลองเตย,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),บริษัท ล็อกซเล่ย์,อาคารซีทรานพระราม 3 ซอย 76,ชุมชนเชื้อเพลิง,ตรงข้ามซอยอมร,อาคารเอื้ออมรสุข,ตรงข้ามโรงเรียนนนทรีวิทยา,ซอยหมู่บ้านคลองเตย,อาคารเอื้ออมรสุข ซอยอมร
