1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97
WatRatchabopitSchool,PhraPhiphit,BanMo,WatSuthatWijitpanich,OppositeSalaWaKanKrungthepmahanakhon,SatriwittayaSchool,WatTrithotThep,OppositeRoyalThaiArmyHeadquarters,OppositeWatMakutkasat,KhuruSapha,HorPrachumThupbok,DepartmentOfDisasterPreventionAndMitigation,RajchapatSuandusit,SoiSuanOi,PhakChatthai,SaphaSatriHaengPrathetThai,SamnaknganKhetDusit,PhakChatphatthanaThanonSukhothai,OppositeSukhothaiSoi5,OppositeSukhothaiSoi1,YaekSawankhalok(Inbd),RajvithiHome,PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,PhramongkutklaoHospital,VictoryMonument(DinDaengSide),OppositeSantiphapPark,OncbOffice,PiboonPrachasanSchool,RajanukulInstitute,PrachaSongkhroIntersection,PrachaSongkhro1,DindaengHousingOffice,DindaengMarket,WichutitSchool,HealthCenter4,PrompanSchool,PrachaSongkhro21,PrachaSongkhro23,WatPhromWongSaram,TvcCondominium,EnemyAmnuayvidSxhool,HoNalikaHuaiKhwangDaycareCenter,OppositeTalatsotHuaiKhwang,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,ThanakhanKrungthaiSakhaHuaiKhwang,HoNalikaHuaiKhwang,OppositeTvcCondominium,OppositeWatPhromWongSaram,DdTower,PrachaSongkhro16-18,Prompan,OppositeHealthCenter4,OppositeWichutitSchool,OppositeDindaengMarket,OppositeDindaengHousingOffice,PrachaSongkhro2,DindaengHousing(Stop.1),DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,SriwanitMarket,SantiphapPark,VictoryMonument(RatchawithiSide),ChildrenHospital,TheBangkokSchoolForTheBlind,RajvithiHome(Rama6Side),MaensirMwaOffice,SukhoThai13,SukhoThai5,RestaurantBaanSukhothaiSoi9,RongrianSukhothai,OppositeSamnaknganKhetDusit,OppositeSuanChittralada,Pantawattana,SinlapacheepShop,Saunruenrudee,MorRachapatsuandusit,OppositeDepartmentOfDisasterPreventionAndMitigation,Wangsuankulap,KuruSapa,WatMakutkasat,RoyalThaiArmyHeadquarters,HotelDe'Moc,SaphanWanChat,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,SalaWaKanKrungthepmahanakhon,WatSuthat,SaoChingcha,ChaloemKrung,TerritorialDefenseCommand,SuanChaoChet,WatRatchabopitSchool
