1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73
อู่มีนบุรี,ตลาดมีนบุรี(ตลาดสด),สำนักงานเขตมีนบุรี,สำนักงานที่ดินมีนบุรี ศาลจังหวัดมีนบุรี,สถานีตำรวจมีนบุรี,แยกสีหบุรานุกิจ,การสื่อสารโทรคมนาคมมีนบุรี,ตรงข้ามบิ๊กซีร่มเกล้า,ปั้มก๊าซแอลพีจี ไทยก๊าซร่มเกล้า,ตรงข้ามมหาวิทยาลัยเกษมบัณฑิต ร่มเกล้า,บริษัททองดินจำกัด ทองฤทธิ์พลาสติก,ครัวทะเล,โรงงานไบโอ,ตรงข้ามบริษัท สหพัฒนพิบูล จำกัด,ปั๊มเอ็นเอสก๊าซแอลพีจี,ซอยร่มเกล้า 9,เคซีเนเชอรัลวิลล์ร่มเกล้า(ซอย 11),ซอยร่มเกล้า 13 ตรงข้ามมัสยิดนูรุ้ลฮูดา,ตรงข้ามวัดปากบึง,ซอยร่มเกล้า 17,บริษัทไทยยานยนตร์ร่มเกล้า,นครินทร์การ์เด้นท์(ซอย 19/1),ซอยร่มเกล้า 19/3,หมู่บ้านศิรินทรา(ซอย 19/7),ซอยร่มเกล้า 21/2,แยกเจ้ากรีฑา,โฮมมาร์ทร่มเกล้า,ร่มเกล้า 21/6,ตรงข้ามโรงเรียนสารสาสน์วิเทศร่มเกล้า,ร่มเกล้า21/9,โรงเรียนเทพศิรินทร์ร่มเกล้า,วัดบำรุงรื่น(ซ.25),ซอยร่มเกล้า 25/2,หมู่บ้านสราญวงศ์(ซ.25/3),หมู่บ้านร่มฤดี(ซ.25/5),ร่มสุขวิลเลจ 4 (ซอย 25/7),Arl ลาดกระบัง
Arl ลาดกระบัง,หมู่บ้านรุ่งกิจวิลล่า 5,แอร์ลิงค์คอนโด,บริษัทเอสซีจีแลนด์สเคป,ตรงข้ามร่มเกล้า 25/2,ตรงข้ามวัดบำรุงรื่น,ตรงข้ามโรงเรียนเทพศิรินทร์ร่มเกล้า,ท่อน้ำสากล,โรงเรียนสารสาสน์วิเทศร่มเกล้า,หมู่บ้านรุ่งกิจวิลล่า 7,ซอยร่มเกล้า 40,หมู่บ้านรุ่งกิจวิลล่า 14,บ้านพาราไดซ์,รุ่งกิจวิลล่า11,หมู่บ้านเวร่า,ซอยร่มเกล้า 26,แนชั่นแนลเฟอร์นิเจอร์,แยกเคหะร่มเกล้า,วัดปากบึง,มัสยิดนูรุ้ลฮูดา,โค้วยู่ฮะอีซูซุเซลส์ หมู่บ้านกฤษณาร่มเกล้า,ศุภาลัยพาร์ควิลล์ร่มเกล้า,ไทยออสนอวร์,บริษัท สหพัฒนพิบูลจำกัด,บริษัทสานติบรรจุภัณฑ์จำกัด,ร่มเกล้าซอย4,บ้านสวนร่มเกล้า,ตรงข้ามทองฤทธิ์พลาสติก,มหาวิทยาลัยเกษมบัณฑิต ร่มเกล้า,บิ๊กซีร่มเกล้า,ตรงข้ามสถานีตำรวจมีนบุรี,โรงเรียนสตรีเศรษฐบุตรบำเพ็ญ,สวนเฉลิมพระเกียรติร.9มีนบุรี,หน้าร้านทองมีนบุรี,จตุจักร 2 มีนบุรี,ตลาดมีนบุรี(อาคารปลาตะเพียนทอง),อู่มีนบุรี
