1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111
อู่แสมดำ,พระราม 2 ซอย 94 อู่แสมดำ,คลองระหาญ,ซอยโฟร์โมส,พระราม 2 ซอย 86,บางกระดี่(ถนนพระราม2ขาเข้า),อมรชัย 4,หมู่บ้านพระราม 2,สะแกงาม,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,แยกหัวกระบือ,สำนักงานเขตบางขุนเทียน,เซ็นทรัลพระราม 2,วัดกำแพง(ถนนพระราม2ขาเข้า),ศาลเจ้าแม่งู,วัดกก,สถานีตำรวจบางมด,สมาคมฮินแหน่นแห่งประเทศไทย,ธนาคารอาคารสงเคราะห์,วัดสีสุก,จันทร์พริ้ง,ศูนย์โตโยต้า(ตรงข้ามซอยวัดพุทธบูชา),โรงพยาบาลบางปะกอก9อินเตอร์เนชั่นแนล,โพธิ์ทอง(ใต้ทางด่วนด่านดาวคะนอง),ตรงข้ามสำนักงานเขตจอมทอง,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,ตลาดบางปะกอก,ตรงข้ามวัดสารอด,แยกประชาอุทิศ,ตรงข้ามวัดสน,สุขสวัสดิ์ กม.9 (ขึ้นทางด่วน),การท่าเรือแห่งประเทศไทย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,"โรงเรียนคอนแวนต์,ตลาดปีนัง",การไฟฟ้าคลองเตย,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),อื้อเจือเหลียง,โรบินสันสีลม(ตรงข้ามรพ.จุฬา),สภากาชาดไทย,,,,,,,,,,,
สภากาชาดไทย,ท่าปล่อยรถ จุฬาลงกรณ์,โรงเรียนสาธิตมหาวิทยาลัยศรีนครินทรวิโรฒปทุมวัน,จุฬาลงกรณ์ (สัตวแพทย์/ทันตแพทย์),แยกเฉลิมเผ่า,สยามสแควร์,ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),จุฬาลงกรณ์ (คณะพาณิชยศาสตร์และการบัญชี),จามจุรีสแควร์,สถานเสาวภา,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),บ่อนไก่,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),ตรงข้ามสโมสรการท่าเรือ,กรมศุลกากร,สุขสวัสดิ์ กม.9(ลงทางด่วน),ตรงข้ามวัดสน,สุขสวัสดิ์ กม.9,วัดสารอด,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,วัดโพธิ์แก้ว,"ซอยงูเห่า,เกียร์เซอร์วิส",สำนักงานเขตจอมทอง,ตลาดโอ๋เอ๋,พระราม 2 ซอย 21,ซอยวัดพุทธบูชา,ตรงข้ามจันทร์พริ้ง,การประปาวัดยายร่ม,หมู่บ้านชิชา,หมู่บ้านวิชิตนคร,โรงพยาบาลบางมด,ตรงข้ามวัดกก,วัดเลา,ตรงข้ามศาลเจ้าแม่งู,โฮมโปร พระราม 2,บิ๊กซีพระราม 2,สำนักงานเขตบางขุนเทียนสนามฟุตบอลสุขโกกี,หัวกระบือ,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),ตรงข้ามสะแกงาม,ตรงข้ามหมู่บ้านพระราม 2,"อมรชัย 4,บริษัท เซ็นทรัลกลาส จำกัด",บางกระดี่,ฟาร์มไก่ชนพม่าพระราม2,ตรงข้ามซอยโฟร์โมส,คลองระหาญ 1,"โรงค้าถัง,ตรงข้ามอู่แสมดำ",อู่แสมดำ
