1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177
Mochit2BusDepot,QueenSirikitPark,JjMall,ChatuchakMarket(Gate1),BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,ThanakhanThaiphanitLatPhrao,BigCLatPhrao,LatPhraoSoi20,SoiLatPhrao17,YaekLatPhrao-RatDa,LatPhraoSoi40,LatPhraoSoi35,PhawanaLatPhraoSoi41,LatPhrao41/1,RongrianPhibunUpatham,LatPhraoSaphan2Market,SathaniTamruatChokChai,ChokChai4,LatPhraoSoi57/1,SueksaPhanLatPhrao,LatPhaoPostOffice,LatPhraoSoi67OppositeLatPhraoSoi80,KraenWinlet,LatPhrao79,ImperialLatPhrao,SamnaknganKhetWangThonglang,OppositeBangkokSuksaSchool,SoiLatPhrao93,FutLaen,LatPhraoHospital,RongrianPhasaAngkritSanti,OppositeLatPhraoSoi126,RongrianTriamSueksaBangKapi,LatPhrao107,WetThaNi,SoiLatPhrao111,NMarkPlaza(Nomchit),BangKapiMarket(LatPhraoSoi127),SonoLatPhrao,MuatKanThangBangKapi,RongrianBanBangKapi,OppositeKankhehahaengchat,OppositeKhlongChanStadium(Navamin33),MubanWangtong,KromThidinBangKapi,OppositeMubanSiNakhon1OppositeMubanSiNakhon1,RongrianSoMapha2,SoiPhuengBun(NawaMin69)OppositeMubanPricha,TalatInThraRak,NawaMin83OppositeSantiAsok,SantiAsoke(SoiPrinSiriNavamin).,PrakanSangkhomNawaminSoi56,SoiPhoKaeoOppositeWatBangToei,MubanSamakkhi,NuanchanMarket,OppositeTalatPatWiKon,OppositeRongrianBadinDeCha2,OppositeRongrianBenchaMin,NawaMinSoi135,KhehaNawaMin,OppositeNawaminSoi86,OppositePhyathaiNawaminHospital,NawaMin151MubanUeangSuk,RongrianNawaMitRaChuThit(SinghaSeni),ChonKheBuaPostOfficeSahaFam,NawaMin163SoiAmonWiwatKomo8,Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,RamInThra89YueangPamEsSo,FashionIsland,ThanakhanKrungthaiRamInThra,PamPotothoOppositeRanHiaHoPuDong,NoppositeharatHospital,JanpenRestaurant,MakmaiRestaurant,PhrayaSuren,Ramintra117,Sinthanee2Village,PaenamRestaurant,SetthabutBamphenSchool,MinBuriIntersection(SoiTakhian),MinburiTechnicalCollege,Jatujak2Minburi,MinburiMarket(GoldenFiishBuilding),MinburiBusDepot
MinburiBusDepot,Chatuchak2MarketMinburi,Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),OppositeSetthabutBamphenSchool,Ramintra86,MomchaoSangangam,OppositeRamintra115,OppositePhrayaSuren,MubanRangsiYa,TechnoThaiSuriya,OppositeNoppositeharatHospital,RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,OppositeFashionIsland,UmnuayPhesaj,SoiChuenKamon,SynphaetHospital,RamInThra50OppositeSunNitSan,KhondoLumPhiNiOppositeSoiAmonWiwat,NawaMin98OppositePraisaniChorakheBua,OppositeRongrianNawaMin(SingSinghaSeni),MubanAmRinNawaMin90,PhyathaiNawaminHospital,NawaMin80OppositeKhehaNawaMin,BanjaminSchool,RongrianBadinDeCha2,MubanPatWiKon,MubanThanaSin,NawaMin58(MubanSinThani1)OppositePrakanSangkhom,SantiAsok,OppositeTalatInThraRak,NawaMin36ThanakhanKasikon,MubanThanThipOppositeRongrianSoMapha,MubanSrinakron1,OppositeMubanWangThong,OppositeSamnaknganThidinBangKapi,HappySeparateNavamin16.,KhlongChanStadium,Kankhehahaengchat,OppositeRongrianBanBangKapi,OppositeSonoLatPhrao,TheMallBangkapi,MakroLadprao,TawanNa2,OppositeRongphayabanWetThani,LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,SoiLadprao126,SoiLatPhrao122,OppositeLatPhraoHospital,OppositeFutLaen,LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,Ladplaow71,LatPhraoSoi80,OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,KromPhaenthiThahan,LatPhraoSoi58,OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,Phawana,SoiLatPhrao42,SoiLatPhrao40,SoiLatPhrao38,YaekRatDa,BusStopMRTLatPhraoLatPhraoSoi26,SoiLatPhrao26,SoiLatPhrao22,SoiLatPhrao12,SiamComercialBankLatphrao,OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,TmbHeadquarter,BusStopBTSMoChit(Exit4),BusStopMRTKamphaengphetStation,OppositeJjMall,OppositeQueenSirikitPark,Mochit2BusDepot,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
