1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107
ตลาดคลองขวาง,ตรงข้ามอินทาปัจ 11,หมู่บ้านนิสา,บ้านนายพลกฤษณ,หมู่บ้านขวัญทิพย์,ตรงข้ามวิคตอเรียการ์เด้น,ซอยเพชรเกษม 102/3 (ตรงข้ามพระพรหม),หมู่บ้านเศรษฐกิจ,ซอยเพชรเกษม 100 โรงเรียนอนุบาลเด่นหล้า,ซอยเพชรเกษม 98 สถานีตำรวจหลักสอง,ซอยเพชรเกษม 96 ตรงข้ามสำนักปู่สวรรค์,ซอยเพชรเกษม 94 หมู่บ้านเพชรเกษม 3,หมู่บ้านสุขสันต์ 2,ตรงข้ามวัดม่วง,ซอยเพชรเกษม 92/1,โรงพยาบาลเกษมราษฏร์บางแค,ศูนย์บริการสาธารณสุข 40,ซอยเพชรเกษม 88,เดอะมอลล์บางแค,หมู่บ้านศุภวรรณ3,โรงเรียนบางแคเหนือ,โรงเรียนภาษานุสรณ์บางแค,เทสโก้โลตัสบางแค,ซอยเพชรเกษม 62/1ตรงข้ามตลาดบางแค,ซอยเพชรเกษม 62 ตรงข้ามบ้านพักคนชราบางแค,ซอยเพชรเกษม 58/1,ซอยเพชรเกษม 58,ซอยเพชรเกษม 56 ตรงข้ามซีคอนบางแค,ซอยเพชรเกษม 54,ซอยเพชรเกษม 50/4 ตรงข้ามวัดรางบัว,ซอยเพชรเกษม 50 ตรงข้ามศูนย์กีฬากันอริ,วัดจันทร์ประดิษฐาราม,ศาลขุนด่านเจ้าพ่อเสือ,ซอยเพชรเกษม 42,ซอยเพชรเกษม 38,มหาวิทยาลัยสยาม,ซอยเพชรเกษม 36 วัดประดู่บางจาก,ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,ซอยเพชรเกษม 10/2 ตลาดท่าพระรุ่งเรือง,ซอยเพชรเกษม 4 วัดสังข์กระจาย,สะพานเนาวจำเนียร(ขาเข้า),บางยี่เรือ(ขาเข้า),วงเวียนใหญ่(ธนบุรีศึกษา),แยกบ้านแขก(ขาเข้า),โรงเรียนศึกษานารี,พาหุรัด(อินเดียเอ็มโพเรียม),คลองถม(ฝั่งเจริญกรุง),โรงพยาบาลกว๋องสิวมูลนิธิ,การรถไฟแห่งประเทศไทย,สถานีรถไฟหัวลำโพง
สถานีรถไฟหัวลำโพง,ตรงข้ามการรถไฟแห่งประเทศไทย,วัดพลับพลาชัย,ตรงข้ามโรงพยาบาลกลาง(ฝั่งเสือป่า),เยาวราช,วัดตึก,สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),บางยี่เรือ(ขาออก),สะพานเนาวจำเนียร(ขาออก),ตรงข้ามวัดสังข์กระจาย,ซอยเพชรเกษม 5/1,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,เสริมมิตร ซอยเพชรเกษม 25/1,ป้ายรถประจำทาง BTSบางหว้า(ทางออก4),ตรงข้ามมหาวิทยาลัยสยาม,ซอยเพชรเกษม 27/1,ตรงข้ามเพชรเกษม 42,ตรงข้ามศาลขุนด่านเจ้าพ่อเสือ,ตรงข้ามวัดจันทร์ประดิษฐาราม,ศูนย์กีฬากันอริ,สถานีกาชาด11วิเศษนิยม,ซีคอนบางแค,ซอยเพชรเกษม 39,บ้านพักคนชราบางแค,ตลาดบางแค,ตรงข้ามเทสโก้โลตัสบางแค,บริษัทนันยางอุตสาหกรรม,บริษัทคาสเซ่อร์พีค,ซอยเพชรเกษม 45/1,ตรงข้ามเดอะมอลล์บางแค,ซอยเพชรเกษม 51,ตรงข้ามโรงพยาบาลเกษมราษฏร์บางแค,แยกเพชรเกษม-สาย2(ขาออก),โรงเรียนอำนวยศิลป์ธนบุรี,วัดม่วง,หมู่บ้านหลักสองนิเวศน์,สำนักปู่สวรรค์,บิ๊กซีเพชรเกษม(หลักสอง),ซอยเพชรเกษม 67,ตรงข้ามหมู่บ้านเศรษฐกิจ,แยกเพชรเกษม 69,ซอยโชติวิจิตร,หมู่บ้านสันติสุข,ตลาดคลองขวาง,ท่าปล่อยรถ คลองขวาง,blankjaa,blankjaa,blankjaa
