1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83
ท่าปล่อยรถ เทเวศร์ (72),สวนอัมพร,ลานพระรูปทรงม้า,สวนจิตรลดา,กระทรวงการต่างประเทศ,โรงพยาบาลสงฆ์,อาคารศรีอยุธยา,โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,เจ้าพระยา 2 นวดแผนโบราณ,ตรงข้ามอินทราสแควร์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,ตรงข้ามวัดมักกะสัน,นิคมมักกะสัน(ถนนเพชรบุรีขาออก),ตรงข้ามอาคารธนภูมิ,ตรงข้ามโรงเรียนเซนต์ดอมินิก(รร.ดอนบอสโก),ตรงข้าม มศว.ประสานมิตร,สุกี้เรือนเพชร,ตรงข้ามวัดใหม่ช่องลม (บริษัท อิตัลไทยอุตสาหกรรม จำกัด (สำนักงานใหญ่)),ศูนย์วิจัย,ตรงข้ามชาญอิสสระทาวเวอร์ 2,ตรงข้ามวัดภาษี,ตรงข้ามซอยแจ่มจันทร์,ซอยเอกมัย 22 (ซอยนวลน้อย),ซอยยาดอง(ขาออก),ซอยเอกมัย 14-12,ซอยเอกมัย 10,ซอยเอกมัย 2,ตรงข้ามสหกรณ์กรุงเทพเอกมัย,ท้องฟ้าจำลอง,ตรงข้ามซอยเจียรสวัสดิ์,ตรงล๊อก 6,ตรงข้ามแฟลตเคหะคลองเตย,ข้างกรมศุลกากร,กรมศุลกากร,ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,อู่คลองเตย,blankjaa,blankjaa,blankjaa,blankjaa
อู่คลองเตย,กรมศุลกากร,ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,ตรงข้ามกรมศุลกากร,แฟลตเคหะคลองเตย,ตรงข้ามล๊อก 6,มหาวิทยาลัยกรุงเทพ,ตรงข้ามโรงเรียนจินดาวิทย์,สหกรณ์กรุงเทพเอกมัย,อาคารสรชัย,ตรงข้ามธนาคารกสิกรไทย บิ๊กซีเอกมัย,ร้านสบายใจ,ซอยศรียาภัย,ซอยเอกมัย 7,ซอยยาดอง(ขาเข้า),ซอยเอกมัย 19,ซอยแจ่มจันทร์,วัดภาษี โรงเรียนวัดภาษี,ชาญอิสสระทาวเวอร์2เพชรบุรีตัดใหม่,ตรงข้ามศูนย์วิจัย,บริษัท สหพัฒนพิบูลจำกัด ,วัดใหม่ช่องลม,ตรงข้ามสุกี้เรือนเพชร,มศว.ประสานมิตร,โรงเรียนเซนต์ดอมินิก,แยกมิตรสัมพันธ์(ถนนเพชรบุรีขาเข้า),นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),วัดมักกะสัน,เมโทร,เพชรรามา,อินทราสแควร์ประตูน้ำ,โรงพยาบาลพญาไท1,รพ.เดชา,โรงเรียนสันติราษฎร์วิทยาลัย,โรงเรียนอำนวยศิลป์,กรมทางหลวง(ถนนศรีอยุธยา),ตรงข้ามสวนจิตรลดา,วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร,กองบัญชาการตำรวจนครบาล,สี่เสาเทเวศร์,ท่าปล่อยรถ เทเวศร์ (72)
