1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81
SiPhrayaPier,SiPhrayaIntersection,Siphaya,WatKaeoChaemFa,SoiSongPhra,YaekNaret,ThanonSap,SamYanIntersection,Chulalongkorn(Law/CommunicationArts),Chulalongkorn(FacultyOfEducation),Chulalongkorn(ChamchuriArtGallery),MbkCenter,BusStopBTSRatchathewi(Exit3),PhayathaiPlaza,RatchathewiDistrictOffice,ArmyMedicalDepartment,VictoryMonument(DinDaengSide),OppositeSantiphapPark,OncbOffice,PiboonPrachasanSchool,RajanukulInstitute,PrachaSongkhroIntersection,PrachaSongkhro1,DindaengHousingOffice,DindaengMarket,WichutitSchool,HealthCenter4,PrompanSchool,PrachaSongkhro21,PrachaSongkhro23,WatPhromWongSaram,TvcCondominium,EnemyAmnuayvidSxhool,HoNalikaHuaiKhwangDaycareCenter,OppositeTalatsotHuaiKhwang,HotelLeConcorde,TriamudomRatchadaSchool,ThailandCulturalCenter(ThiamRuamMitRoad),SiamNiramit,IzuzuShowRoom,Rama9BusDepot
Rama9BusDepot,BmtaHeadquarter,OppositeTriamudomRatchadaSchool,TheEmeraldHotel,HuayKhwangFireStationSatharanasuk52,TalatHuaiKhwangLangRongrienSamSenNok,ThanakhanKrungthaiSakhaHuaiKhwang,HoNalikaHuaiKhwang,OppositeTvcCondominium,OppositeWatPhromWongSaram,DdTower,PrachaSongkhro16-18,Prompan,OppositeHealthCenter4,OppositeWichutitSchool,OppositeDindaengMarket,OppositeDindaengHousingOffice,PrachaSongkhro2,DindaengHousing(Stop.1),DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,SriwanitMarket,SantiphapPark,VictoryMonument(PhayaThaiSide),Century,WannasornTower,BusStopBTS-ArlPhayaThai,DepartmentOfLivestockDevelopment,BusStopBTSRatchathewi(Exit2),OppositeMbkCenter,TriamUdomSuksaSchool,Chulalongkorn(TheEquestrianStatue),Chulalongkorn(FacultyOfScience),Chulalongkorn(FacultyOfCommerceAndAccountancy),MitThaePrakanphai,SonoBangRak,OngkanThorasap,Mahesak,ArkanKieatNakin,SiPhrayaPier,blankjaa
