1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165
ท่ารถประจำทางสาย 81,พุทธมณฑลสาย 5,หมู่บ้านกลาโหมนิเวศน์,บริษัทออโตแพคจำกั,ตรงข้ามอู่วิริยะ,บริษัทมหพันธ์ไฟเบอร์ซีเมนต์จำกัด,พุทธมณฑลสาย 5 ซอย 8,ตรงข้ามพุทธมณฑลสาย 5 ซอย 6,ตลาดเก้าแสน มหาชัย 2,ซอยเพชรเกษม 126,โรงแรมกาแล็คซี่อินน์อ้อมน้อย,ซอยเพชรเกษม 93,ด่านชั่ง ซอยเพชรเกษม 122,สามมิตรมอร์เตอร์,วัดศรีสำราญราษฎร์บำรุง,ตลาดสาย 4 ซอยเพชรเกษม 118,ซอยเพชรเกษม 116,ซอยเพชรเกษม 116/3 ตรงข้ามหมู่บ้านหรรษา,ซอยเพชรเกษม 114,ตรงข้ามตลาดการค้าหนองแขม,ซอยเพชรเกษม 112,ซอยเพชรเกษม 110 มหาวิทยาลัยธนบุรี,ซอยเพชรเกษม 108,ซอยเพชรเกษม 106 หมู่บ้านศรีเพชร,มหาวิทยาลัยเอเชียอาคเนย์,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล (หนองแขม),แยกถนนพุทธมณฑลสาย 3,บิ๊กซีเอ็กซ์ตร้าเพชรเกษม,ฟาร์มรุ่งรักษ์ (ซอยละอองศรี),แยกเลียบคลองทวีวัฒนา,ซอยเพชรเกษม 102/3 (ตรงข้ามพระพรหม),หมู่บ้านเศรษฐกิจ,ซอยเพชรเกษม 100 โรงเรียนอนุบาลเด่นหล้า,ซอยเพชรเกษม 98 สถานีตำรวจหลักสอง,ซอยเพชรเกษม 96 ตรงข้ามสำนักปู่สวรรค์,ซอยเพชรเกษม 94 หมู่บ้านเพชรเกษม 3,ตรงข้ามวัดม่วง,หมู่บ้านสุขสันต์ 2,ซอยเพชรเกษม 92/1,โรงพยาบาลเกษมราษฏร์บางแค,ศูนย์บริการสาธารณสุข 40,ซอยเพชรเกษม 88,เดอะมอลล์บางแค,หมู่บ้านศุภวรรณ3,โรงเรียนบางแคเหนือ,โรงเรียนภาษานุสรณ์บางแค,เทสโก้โลตัสบางแค,ซอยเพชรเกษม 62/1ตรงข้ามตลาดบางแค,ซอยเพชรเกษม 62 ตรงข้ามบ้านพักคนชราบางแค,ซอยเพชรเกษม 58/1,ซอยเพชรเกษม 58,ซอยเพชรเกษม 56 ตรงข้ามซีคอนบางแค,ซอยเพชรเกษม 54,ซอยเพชรเกษม 50/4 ตรงข้ามวัดรางบัว,ซอยเพชรเกษม 50 ตรงข้ามศูนย์กีฬากันอริ,วัดจันทร์ประดิษฐาราม,ศาลขุนด่านเจ้าพ่อเสือ,ซอยเพชรเกษม 42,ซอยเพชรเกษม 38,มหาวิทยาลัยสยาม,ซอยเพชรเกษม 36 วัดประดู่บางจาก,สถานี ป้ายรถประจำทาง BTS บางหว้า (ด้านล่างถนนราชพฤกษ์),ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,สถานีตำรวจบางกอกใหญ่(ซอยคริสตจักร),ซอยจรัญสนิทวงค์ 1,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,สามแยกไฟฉาย,ซอยสุดสาคร,พรานนกพลาซ่า,พรานนกสัตวแพทย์,ตรงข้ามโรงพยาบาลศิริราช,ซอยอรุณอัมรินทร์ 39,ซอยอรุณอัมรินทร์ 41,สะพานพระปิ่นเกล้า(ขาเข้า)
ท่าปล่อยรถ ปิ่นเกล้า,วัดดุสิตาราม,แยกอรุณอัมรินทร์,ซอยอรุณอัมรินทร์ 28,กองเรือเล็ก,โรงพยาบาลศิริราช,ซอยบ้านช่างหล่อ,ซอยวัฒนา,แยกพรานนก,ซอยวัดยาง,สถานธนานุเคราะห์สาขา6(สามแยกไฟฉาย),สถานีตำรวจบางกอกน้อย,ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,ซอยจรัญสนิทวงค์ 4,ตรงข้ามสถานีตำรวจบางกอกใหญ่,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,เสริมมิตร ซอยเพชรเกษม 25/1,ป้ายรถประจำทาง BTSบางหว้า(ทางออก4),ตรงข้ามมหาวิทยาลัยสยาม,ซอยเพชรเกษม 27/1,ตรงข้ามเพชรเกษม 42,ตรงข้ามศาลขุนด่านเจ้าพ่อเสือ,ตรงข้ามวัดจันทร์ประดิษฐาราม,ศูนย์กีฬากันอริ,วัดรางบัว,สถานีกาชาด11วิเศษนิยม,ซีคอนบางแค,ซอยเพชรเกษม 39,บ้านพักคนชราบางแค,ตลาดบางแค,ตรงข้ามเทสโก้โลตัสบางแค,บริษัทนันยางอุตสาหกรรม,บริษัทคาสเซ่อร์พีค,ซอยเพชรเกษม 45/1,ตรงข้ามเดอะมอลล์บางแค,ซอยเพชรเกษม 51,ตรงข้ามโรงพยาบาลเกษมราษฏร์บางแค,แยกเพชรเกษม-สาย2(ขาออก),โรงเรียนอำนวยศิลป์ธนบุรี,วัดม่วง,หมู่บ้านหลักสองนิเวศน์,สำนักปู่สวรรค์,บิ๊กซีเพชรเกษม(หลักสอง),ซอยเพชรเกษม 67,ตรงข้ามหมู่บ้านเศรษฐกิจ,แยกเพชรเกษม 69,บริษัท นันยางการทอ จำกัด,ซอยเพชรเกษม 73/2,ตลาดเพชรเกษม,ซอยเพชรเกษม 77,ซอยเพชรเกษม 77/7 หมู่บ้านเพชรเกษม 1,สำนักงานเขตหนองแขม  วัดอุดมรังสี,ซอยเพชรเกษม 81,ศูนย์การค้าหนองแขม คอนโดเทลหนองแขม,หมู่บ้านหรรษา,ซอยเพชรเกษม 83,ตรงข้ามวัดศรีสำราญราษฎร์บำรุง,ตรงข้ามสามมิตรมอร์เตอร์,ธนาคารไทยพาณิชย์ สาขาอ้อมน้อย,สถานีตำรวจดับเพลิงอ้อมน้อย,ซอยแลนด์,โรงแรมสตาร์อินน์(ขาออก),อ้อมน้อย,โรงพยาบาลสัตว์แชมป์เปี่ยน,ตรงข้ามพุทธมณฑลสาย 5 ซอย 4,แยกสอเจริญพันธ์,บริษัทออโตแพคจำกัดตรงข้ามแฟคตอรี่แลนด์โครงการ 2,บ้านคลองบางซื่อ,พุทธมณฑลสาย 5,ท่ารถประจำทางสาย 81,blankjaa,blankjaa,blankjaa,blankjaa
