1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193
ซอยรามคำแหง 68,ตรงข้ามวัดศรีบุญเรือง,บริษัทแอมเวย์(เก่า),บางกะปิคอนโด(แยกสวนสน)(รามคำแหง60/1),แยกลำสาลี(ถนนรามคำแหงขาเข้า),โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,"บริษัทโอสถสภา,ซอยรามคำแหง 26/1","สถานีตำรวจหัวหมาก,สนามกีฬาหัวหมาก",ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,"ตรงข้ามฟู้ดแลนด์,เพอร์เฟคเพลส",โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,ตลาดคลองตัน,"ซอยปรีดีพนมยงค์ 44,โรงไก่",โรงเรียนเกษมโพลีเทคนิค,ซอยปรีดีพนมยงค์ 38,สุเหร่าสามอิน,ซอยปรีดีพนมยงค์ 28,โรงพยาบาลพัฒนเวช,"ซอยปรีดีพนมยงค์ 18,สถานฑูตไนจีเรีย",โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 16),จัสโก้พระโขนง,ตลาดพระโขนง(ซอยสุขอุทิศ1),ป้ายรถประจำทาง BTS พระโขนง(ทางออก 2),โรงเรียนศรีวิกรม์,เกตเวย์เอกมัย,ท้องฟ้าจำลอง,ซอยสุขุมวิท 40,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 2/4),ซอยสุขุมวิท 34(ซอยสุภางค์),ซอยสุขุมวิท 28(ซอยบรรณสาร),ป้ายรถประจำทาง BTS พร้อมพงษ์(ทางออก4),อุทยานเบญจสิริ,ซอยสุขุมวิท 20,"ซอยสุขุมวิท 18,แยกอโศก","ซอยสุขุมวิท 12,ตรงข้ามโรบินสันสุขุมวิท","ซอยสุขุมวิท 10(ตรงข้ามแอมบาสเดอร์),สวนชูวิทย์","ซอยสุขุมวิท 6,ป้ายรถประจำทาง BTS นานา","เพลินจิตเซ็นเตอร์,ซอยนานา",ป้ายรถประจำทาง BTS เพลินจิต(ทางออก4),"ซอยต้นสน,ตรงข้ามสถานฑูตอังกฤษ",สำนักงานตำรวจแห่งชาติ,สยามสแควร์,ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),วัดไตรมิตร,โรงพยาบาลเทียนฟ้ามูลนิธิ,แยกเฉลิมบุรี,ตลาดเก่าเยาวราช,วัดตึก,สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,ราชภัฎบ้านสมเด็จเจ้าพระยา,ซอยอิสรภาพ 17/1,มัสยิดดิลฟัลลาห์,ตรงข้ามซอยอิสรภาพ 23/2,ซอยอิสรภาพ 31,ซอยอิสรภาพ 33,โรงเรียนวัดชิโนรส,ซอยอิสรภาพ 37,โรงเรียนต้นส้ม,แยกพรานนก,ซอยวัดยาง,สถานธนานุเคราะห์สาขา6(สามแยกไฟฉาย),"ตรงข้ามโรงพยาบาลศรีวิชัย,วัดรวก",วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,,,,,,,,
บรมราชชนนี 12,"ศูนย์ฟอร์ดบรมราชชนนี,ตรงข้ามโรงพยาบาลเจ้าพระยา",กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,โรงเรียนธนกิจ,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง","โรงพยาบาลศรีวิชัย,วัดรวก",สามแยกไฟฉาย,ซอยสุดสาคร,พรานนกพลาซ่า,แยกอิสรภาพ 44,ตรงข้ามซอยอิสรภาพ 37,ตรงข้ามโรงเรียนวัดชิโนรส,ซอยอิสรภาพ 42/1,ตรงข้ามซอยอิสรภาพ 31,หน้าโรงเรียนณรงค์สอนขับรถ,หน้าร้านสิริภัณฑ์,สนามฝึกซ้อมสอนขับรถโรงเรียนสะพานมอญ,ซอยอิสรภาพ 22,โรงเรียนศึกษานารี,พาหุรัด(อินเดียเอ็มโพเรียม),คลองถม(ฝั่งเจริญกรุง),โรงพยาบาลกว๋องสิวมูลนิธิ,วงเวียน 22 กรกฎา,ป้ายรถประจำทาง MRT หัวลำโพง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก 3),สะพานเหลือง,จุฬาลงกรณ์ 9,จุฬาลงกรณ์ 11,แยกสามย่าน,จุฬาลงกรณ์ (นิติศาสตร์/นิเทศศาสตร์),จุฬาลงกรณ์ (คณะครุศาสตร์),จุฬาลงกรณ์ (หอศิลป์จามจุรี),มาบุญครอง,สยามเซ็นเตอร์,วัดปทุมวนาราม,"หลังสวน,ป้ายรถประจำทาง BTS ชิดลม",เซ็นทรัลชิดลม,ป้ายรถประจำทาง BTS เพลินจิต(ซอยนายเลิศ),ซอยนานา,"อาคารแปซิฟิคเฟลล์,สุขุมวิทซอย7",ซอยสุขุมวิท 15,"ซอยสุขุมวิท 19,โรบินสัน",ซอยสุขุมวิท 23,"ซอยสุขุมวิท 27,ตรงข้ามสายน้ำผึ้ง",ซอยสุขุมวิท 31,ตรงข้ามสวนเบญจศิริ,เอ็มควอเทียร์,ซอยสุขุมวิท 41,ซอยสุขุมวิท 47,ซอยสุขุมวิท 49,ซอยสุขุมวิท 34,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 1),ซอยสุขุมวิท 57,ซอยสุขุมวิท 40(ยูเนสโก้),เมเจอร์เอกมัย,วัดธาตุทอง,"ตรงข้ามโรงเรียนศรีวิกรม์,ซอยสุขุมวิท 65/1",ป้ายรถประจำทาง BTSพระโขนง(ทางออก3),ตลาดพระโขนง(ซอยปรีดีพนนมยงศ์ 5),"สถานฑูตลาว,ตรงข้ามจัสโก้พระโขนง",โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 13),ตรงข้ามธนาคารกรุงไทย,"ซอยปรีดีพนมยงค์ 19,ตรงข้ามโรงพยาบาลพัฒนเวช","ตรงข้ามซอยปรีดีพนมยงค์ 30,ตรงข้ามมัสยิดอี่ดาย่าตุ้ลอิสลาม(สุเหร่าสามอิน)",มีสุวรรณกวดวิชา,โรงเรียนเกษมโพลีเทคนิค(ซอยปรีดีพนมยงศ์ 39),ตรงข้ามซอยปรีดีพนมยงค์ 44,"โรงไก่,ซอยปรีดีพนมยงค์ 45","ตลาดคลองตัน,ตรงข้ามโรงเรียนเขียนแบบก่อสร้างและเครื่องกล",ยูเอ็มทาวน์เวอร์คลองตัน,โรงแรมนาซ่าเวกัส,การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),"ฟู้ดแลนด์,เพอร์เฟคเพลส(รามคำแหง7)","โรงเรียนอนุบาลใจทิพย์,เดอะมอลล์รามคำแหง 3","บิ๊กซีราม,หมู่บ้านเสรี","โรงเรียนวัดเทพลีลา,เมเจอร์รามคำแหง",โรงเรียนวัดเทพลีลา,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,"ซอยรามคำแหง 77,ตรงข้ามโอสถสภารามคำแหง",ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),"ซอยรามคำแหง 83/2,โรงแรมแอนดา",โรงแรมอเล็กซานเดอร์,แยกลำสาลี(รามคำแหง95),บางกะปิคอนโด(แยกสวนสน),ตรงข้ามบริษัทแอมเวย์(เก่า),วัดศรีบุญเรือง
