1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71
ท่ารถห้วยขวาง,"สถานีดับเพลิงห้วยขวาง,สาธารณสุข 52",ตลาดห้วยขวางหลังโรงเรียนสามเสนนอก,ธนาคารกรุงไทยสาขาห้วยขวาง,หอนาฬิกาห้วยขวาง,ตรงข้ามทีวีซีคอนโดมิเนียม,ตรงข้ามวัดพรหมวงศาราม,ดีดีทาวเวอร์,ซอยประชาสงเคราะห์ 16-18,พร้อมพรรณ,ตรงข้ามศูนย์บริการสาธารณสุข 4,ตรงข้ามโรงเรียนวิชูทิศ,ตรงข้ามตลาดดินแดง,ตรงข้ามสำนักงานเคหะดินแดง,ประชาสงเคราะห์2,แฟลตดินแดง(ป้าย1),แฟลตดินแดง(ป้าย2),ตรงข้าม รร.พิบูลประชาสรรค์,ตลาดศรีวานิช,ตรงข้ามซอยรางน้ำ,ตรงข้ามอินทราสแควร์ประตูน้ำ,บิ๊กซีราชดำริ,เพนนินซูล่าพลาซ่า,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก2),สถาบันสอนภาษา Aua,"หลังสวน 1,อาคารปาร์ค เพลส",หลังสวน 2,สถานีตำรวจลุมพินี,ซอยพระเจน,สวนลุมไนท์บาร์ซ่าร์,บ่อนไก่,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,อู่คลองเตย
อู่คลองเตย,ตรงข้ามเขตการเดินรถที่4,"โรงเรียนคอนแวนต์,ตลาดปีนัง",การไฟฟ้าคลองเตย,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),สวนลุมพินีป้ายแรก (เข้าเมือง),ตรงข้ามซอยพระเจน,ตรงข้ามสถานีตำรวจลุมพินี,"อาคารสินธร,ตรงข้ามสถานฑูตอเมริกา","แยกเพลินจิต,โรงแรมเซ็นเตอร์พ้อยท์","ซอยต้นสน,ตรงข้ามสถานฑูตอังกฤษ",เซ็นทรัลเวิลด์,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สำนักงาน ป.ป.ส.,รร.พิบูลประชาสรรค์,สถาบันราชานุกูล,แยกประชาสงเคราะห์,ประชาสงเคราะห์1,สำนักงานเคหะดินแดง,ตลาดดินแดง,โรงเรียนวิชูทิศ,ศูนย์บริการสาธารณสุข4,โรงเรียนพร้อมพรรณ,ซอยประชาสงเคราะห์ 21,ซอยประชาสงเคราะห์ 23,วัดพรหมวงศาราม,ทีวีซีคอนโดมิเนียม,ตรงข้ามโรงเรียนอำนวย,ท่ารถห้วยขวาง,,,,,
