1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157
SiamParkBusDepot,Suansayam9-11,OppositeSoiSuansayam9,BungkumRevenueOffice,SoiSuanSayam16,SuanSayam),SoiSuanSayam6,JanpenRestaurant,MakmaiRestaurant,PhrayaSuren,Ramintra117,Sinthanee2Village,PaenamRestaurant,SetthabutBamphenSchool,MinBuriIntersection(SoiTakhian),MinburiTechnicalCollege,Jatujak2Minburi,MinburiDistrictOffice,MinburiLandOffice,MinburiPoliceStation,CatMinburi,YaekSuWinThawong-RamKhamNgae(FaifaMinBuri),OppositeMetropolitanWaterworksAuthorityMinburi,BigCYaekRomklao,MubanRungNapha2,SacredStateUniversityCommunity,MubanRinThong,RamKhamNgaeSoi199,ThaiVillage,ThepAksornSchool,KromsanphakonPhuenthi11,MubanTharaKon,BorisatMitThin,RamkhamhaengSoi162,MubanPreecha2(Ramkhamhaeng159/1),KhlongChanWinLa7,MubanTharaRom,RongrianTriamUdomNomKlao,KhlongChanWinLa4,MubanKetsari2,OppositeRamkhamhaengSoi151/1,MubanPhruetsaChat,MubanSammaKon,KarunwetHospital,MubanChuanChuen,MubanThitiPhon1,MubanRungKit,RamkhamhaengSoi72,YaekBanMa(RamkhamhaengSoi70),Ramkamhaeng68,OppositeWatSiBunRueang,BorisatAemWe(Kao),BangkokCondo(SeparatedPine).,RamkhamhaengHospital,ThaiNamthipRamkhamhaeng,MakPoliceStationHuaMarkStadium.,RamkhamhaengUniversity,AkhanSetSatMoRamKhamNgae,TheMallRamkhamhaeng2,Praram9Plaza,PhraRam9TadMaiIntersection,VillaCafe,ThithamkanRotfaifaMahanakhon(Rofomo),OppositeDepartmentOfPublicWorksAndTownAndCountryPlanning,M.C.O.T.Intersection(Rama9Soi4),OppositeSoiPopan,OppositeKhwanPhatthanaMarket,FatimaCatholicChurch,DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,SriwanitMarket,SantiphapPark,VictoryMonument(DinDaengSide),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
VictoryMonument(DinDaengSide),OppositeSantiphapPark,OncbOffice,PiboonPrachasanSchool,RajanukulInstitute,OppositeFatimaCatholicChurch,KhwanPhatthanaMarket,SoiPopan,M.C.O.T.Intersection(Rama9Soi5),DepartmentOfPublicWorksAndTownAndCountryPlanning,MassTransitAuthorityOfThailand,OppositePiyavateHospital,VillaCafeRama8Soi19,Rama9Soi25,Rama9TadMaiIntersection,PhraRam9Phalasa,FoodlandPerfectPlace(Ramkhamhaeng7).,KindergartenDivineMindTheMallRamkhamhaeng3.,BigCRamkhamhaeng,WatThepleeSchoolMajorRamkhamhaeng,PakSoiSoiRamKhamHang43/1,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,LamsaleeIntersection(RamkhamhaengSoi95),BangkokCondo(SeparatedPine),BorisatAemWe,WatSiBunRueang,OppositeRamkamhaeng68,BanMaIntersection(SoiRuamChai),SunISuSuRamKhamNgae,RamkhamhaengSoi125,MubanDecha2,OppositeMubanRungKit,OppositeMubanThitiPhon1,RongrianSoMapha(OppositeMubanChuanChuen),HospitalMedicalKarun,OppositeMubanSammaKon,OppositeMubanPhruetsaChat,RamkhamhaengSoi151/1,OppositeMubanKetsari2,OppositeKhlongChanWinLa4,OppositeRongrianTriamUdomNomKlao,OppositeMubanTharaRom,OppositeKhlongChanWinLa7,OppositeMubanPreecha2,OppositeBorisatMitThin,OppositeRamkhamhaengSoi162,OppositeMubanTharaKon,OppositeKromsanphakonPhuenthi11,OppositeThepAksornSchool,RamKhamNgaeSoi189,OppositeMubanRinThong,Big-CSukhaphiban3,KhehaRamKhamNgae,OppositeMubanRungNapha2,OppositeMinburiPoliceStation,SatriSethabutBamphenSchool,RamaIxCommemorationParkMinburi,Chatuchak2MarketMinburi,Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),Ramintra90,OppositeSetthabutBamphenSchool,Ramintra86,Ramintra84,MomchaoSangangam,OppositeRamintra115,OppositePhrayaSuren,MubanRangsiYa,TechnoThaiSuriya,AMoRiNiSuanSayamSoi4,Suansiam,OppositeSuanSayamSoi14(MubanKaoSaen),SiamPark,SiamParkBusDepot
