1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91
อู่มีนบุรี,หน้าร้านทองมีนบุรี,โรงพยาบาลนวมินทร์ 9,"แยกมีนบุรีตรงข้ามตะเกียง,ปั้มบางจาก",ตรงข้าม รร.เศรษฐบุตรบำเพ็ญ,รามอินทรา 86,หม่อมเจ้าสง่างามฯ,ตรงข้ามรามอินทรา 115,ตรงข้ามพระยาสุเรนทร์,"ซอยรามอินทรา74,หมู่บ้านรังสิยา",วิทยาลัยทักษิณา(ไทยสุริยะเก่า),ตรงข้ามโรงพยาบาลนพรัตน์,ฮ้อปูดอง,ธนาคารไทยพาณิชย์รามอินทรา,สำนักงานเขตคันนายาว,เคหะรามอินทรา,ซอยนวมินทร์ 74,โรงเรียนเบญจมินทร์,โรงเรียนบดินทรเดชา(สิงห์สิงหเสนี) 2,หมู่บ้านปัฐวิกรณ์,หมู่บ้านธนะสิน(นวมินทร์ 68),"ซอยนวมินทร์ 58,หมู่บ้านสินธานี 1,ตรงข้ามประกันสังคม",สันติอโศก(ซอยนวมินทร์ 52),ตรงข้ามตลาดอินทรารักษ์(นวมินทร์ 38),"ธนาคารกสิกร,หมู่บ้านปรีชา 2","หมู่บ้านธารทิพย์,ตรงข้ามโรงเรียนโสมาภา",หมู่บ้านศรีนคร1,ตรงข้ามหมู่บ้านวังทอง,ตรงข้ามสำนักงานที่ดินบางกะปิ,แยกแฮปปี้แลนด์นวมินทร์ 16,แฮปปี้แลนด์,ท่ารถแฮปปี้แลนด์ (95 95ก 143),,,,,,,,,,,,,,
ท่ารถแฮปปี้แลนด์ (95 95ก 143),ตลาดแฮปปี้แลนด์,แยกแฮปปี้แลนด์ 2,ตลาดบางกะปิ(ซอยลาดพร้าว 127),สถานีตำรวจลาดพร้าว,หมวดการทางบางกะปิ,โรงเรียนบ้านบางกะปิ,ตรงข้ามสำนักงานการเคหะแห่งชาติ,ซอยนวมินทร์ 17,ตรงข้ามสนามกีฬาคลองจั่น(นวมินทร์33),สำนักงานที่ดินเขตบางกะปิ,หมู่บ้านวังทอง,ตรงข้ามหมู่บ้านศรีนคร 1,โรงเรียนโสมาภา 2,"ซอยพึ่งบุญ(นวมินทร์ 69),ตรงข้ามหมู่บ้านปรีชา",ตลาดอินทรารักษ์(ซอยนวมินทร์ 75),"ซอยนวมินทร์ 83,ตรงข้ามสันติอโศก",ซอยนวมินทร์ 89,ประกันสังคมนวมินทร์ 56,"ซอยโพธิ์แก้ว,ตรงข้ามวัดบางเตย",หมู่บ้านสามัคคี(นวมินทร์ 107),ตลาดนวลจันทร์(ถนนนวมินทร์ขาออก),ตรงข้ามตลาดปัฐวิกรณ์,ตรงข้ามโรงเรียนบดินทรเดชา(สิงห์สิงหเสนี 2),ตรงข้ามโรงเรียนเบญจมินทร์,ซอยนวมินทร์ 74 แยก 1-9,เวิร์คเพลสราชพฤกษ์-จรัญฯ,ตรงข้ามเคหะรามอินทรา,สำนักงานเขตคันนายาว,ตรงข้ามเรือนทองนิเวศน์,สุเหร่าแดงตรงข้ามมนตรีทรานสปอร์ต,ตรงข้ามศูนย์โตโยต้าเสรีไทย,ปากทางเข้าสวนสยาม,หมู่บ้านเกษรา,ตรงข้ามชุมชนเกาะจวน,บริษัทฮานามิฟู้ดส์จำกัด,ซอยนิคมอุตสาหกรรมบางชัน1,ตรงข้ามบริษัทยำยำ,เคหะชุมชนบางชัน,แฟลตอินโดไทย,บริษัทสุขภัณฑ์เซ็นเตอร์,"แยกมีนบุรี,ซอยตะเกียง",วิทยาลัยเทคนิคมีนบุรี,จตุจักร 2 มีนบุรี,ตลาดมีนบุรี(อาคารปลาตะเพียนทอง),อู่มีนบุรี
