1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79
อู่สาธุประดิษฐ์,ใต้ทางด่วนสาธุประดิษฐ์,เซ็นทรัลพระราม 3,ดิอัพพระราม 3,โรงเรียนวัดช่องลม ตรงข้ามวัดช่องลม,โรงเรียนนนทรีวิทยา,ซอยโพธิ์เจริญ,โรงเรียนคอนแวนต์ ตลาดปีนัง,ซอยไผ่สิงห์โต ตรงข้ามตลาดคลองเตย,ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),โลตัสพระราม4(ถนนเกษมราษฏร์),กรมศุลกากร,สุขุมวิท62แยก8,สุขุมวิท62แยก4-6,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,โรงพยาบาลไทยนครินทร์ บางนา-ตราด27,ศรีเอี่ยม ตรงข้ามเคหะบางนา,ซอยบางนา-ตราด 19 กม.4,พาร์คแลนด์ อินเด็กซ์ลิฟวิ่งมอร์ บางนา,สำนักงานสรรพากรพื้นที่บางพลี,บริษัท Hks Thailand ตรงข้ามบางนาทาวเวอร์,ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),blankjaa,blankjaa
ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),เทสโก้โลตัส บางนา-ตราด,เมกาบางนา(สถานีรถโดยสาร),โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,บางนา-ตราด50,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),สุขุมวิท62แยก1,ทางด่วนสุขุมวิท62,ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,บริษัท ล็อกซเล่ย์,อาคารซีทรานพระราม 3 ซอย 76,ชุมชนเชื้อเพลิง,ตรงข้ามซอยอมร,ตรงข้ามโรงเรียนนนทรีวิทยา,ศุภาลัยพริมารีวา,เทสโก้โลตัสพระราม3(ฝั่งรัชดาภิเษก),อาคารปัญจธานี,ใต้ทางด่วนสาธุประดิษฐ์,เซ็นทรัลพระราม 3,อู่สาธุประดิษฐ์
