1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125
ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก 3),"แยกมหานคร, ตรงข้ามศาลแรงงานกลาง",สะพานเหลือง,จุฬาลงกรณ์ 9,จุฬาลงกรณ์ 11,ป้ายรถประจำทาง MRT สามย่าน,จามจุรีสแควร์,สถานเสาวภา,โรงพยาบาลจุฬาลกรณ์,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,โรงงานยาสูบ,ตรงข้ามการไฟฟ้าคลองเตย,"ซอยไผ่สิงห์โต,ตรงข้ามตลาดคลองเตย",ซอยเจริญสุข,ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),สายน้ำผึ้ง(ซอย สุขุมวิท 22),ตรงข้ามเทสโก้โลตัสพระราม 4,ตรงข้ามอาคารสิรินรัตน์,บอสทาวเวอร์,ตรงข้ามโรงพยาบาลเทพธารินทร์,ศาลเจ้าพ่อกวนอู,ตรงข้ามมหาวิทยาลัยกรุงเทพกล้วยน้ำไท,ตรงข้ามซอยเจียรสวัสดิ์,แยกกล้วยน้ำไท(ไปรษณีย์กล้วยน้ำไท),ตรงข้ามซอยฟาร์มวัฒนา,โรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),โรงเรียนพระโขนงวิทยา,ตลาดพระโขนง,"ดับเพลิง,อ่อนนุช",ซอยสุขุมวิท 79,"ป้ายรถประจำทาง BTSอ่อนนุช,ซอยสุขุมวิท 81 (ศิริพจน์)",ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,"โรงพยาบาลไทยนครินทร์,บางนา-ตราด27","ศรีเอี่ยม,ตรงข้ามเคหะบางนา","ซอยบางนา-ตราด 19,กม.4","พาร์คแลนด์,อินเด็กซ์ลิฟวิ่งมอร์ บางนา",สำนักงานสรรพากรพื้นที่บางพลี,"บริษัท Hks Thailand,ตรงข้ามบางนาทาวเวอร์",ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),วิทยาเขตรามคำแหง ตรงข้ามประตูที่ 1 ตรงข้ามไปรษณีย์ไทยจำกัด,รามคำแหง 2 ซอย 13,รามคำแหง 2 ซอย 19 (ตรงข้ามธนาคารกรุงไทย)
ตรงข้ามธนาคารกรุงไทย รามคำแหง 2,วิทยาเขตรามคำแหง(ม.รามฯ ประตูที่ 1),ซอยจรรยวรรธ,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,ต่างระดับศรีเอี่ยม,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(บางนา-ตราดขาเข้า),แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),"ตรงข้ามตลาดอ่อนนุช,การประปาพระโขนง",ตรงข้ามตลาดพระโขนง,กล้วยน้ำไทแสตนเลส,ธนาคารกรุงศรีอยุธยา(ถนนพระราม4ขาเข้า),ตรงข้ามโรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),ซอยฟาร์มวัฒนา,แยกกล้วยน้ำไท,ซอยเจียรสวัสดิ์,มหาวิทยาลัยกรุงเทพกล้วยน้ำไท,กวลกลการ,โรงพยาบาลเทพธารินทร์,"บ้านกล้วย,ตรงข้ามบอสทาวเวอร์",มโนรมย์,เทสโก้โลตัสพระราม 4,ตรงข้ามร้านอาหารสรทอง,สายน้ำผึ้ง,ซอยชัยมงคล1,การไฟฟ้าคลองเตย,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),ลุมพินีประทุมวัน,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,วัดหัวลำโพง,โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),
