1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223
ท่าปล่อยรถ สะพานพุทธ,ปากคลองตลาด,ปากคลองตลาด(คลองหลอด),ตรงข้ามเฉลิมกรุง,สินดำรงค์,คลองถม(ฝั่งเจริญกรุง),โรงพยาบาลกว๋องสิวมูลนิธิ,ไมตรีจิตต์,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก 3),แยกสะพานเหลือง [C],ตรงข้ามเซียงกงสามย่าน,แยกจรัสเมือง [A],ปณ.รองเมือง,ตรงข้ามจุฬาลงกรณ์ 4-6,สถาบันเทคโนโลยีปทุมวัน,หอศิลป์กรุงเทพฯ,สยามเซ็นเตอร์,วัดปทุมวนาราม,เซ็นทรัลเวิลด์,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สำนักงาน ป.ป.ส.,รร.พิบูลประชาสรรค์,สถาบันราชานุกูล,ตรงข้ามโบสถ์แม่พระฟาติมา,ตลาดขวัญพัฒนา,ซอยโพธิ์ปั้น ที่ทำการไปรษณีย์ดินแดง,ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,แยกห้วยขวาง(ธนาคารกรุงไทยสาขาดินแดง),ป้ายรถประจำทาง MRT ห้วยขวาง ซอยประชาษฎร์บำเพ็ญ 1,ตรงข้ามเมืองไทยภัทร บริษัทเมืองไทยประกันชีวิต,แยกสุทธิสาร,สถานีตำรวจสุทธิสาร,บุญถาวรรัชดาภิเษก,โรงเรียนปัญจทรัพย์,แยกลาดพร้าว-รัชดา(ซอยลาดพร้าว 25),ซอยลาดพร้าว 31 ตรงข้ามซอยลาดพร้าว 40,ซอยลาดพร้าว 35,ซอยภาวนาลาดพร้าว 41,ซอยลาดพร้าว 41/1,ตรงข้ามโรงเรียนพิบูลย์อุปถัมภ์,ลาดพร้าวสะพาน 2,สถานีตำรวจโชคชัย,โชคชัย 4,ตรงข้ามโรงเรียนถนอมพิศ,ศึกษาภัณฑ์ลาดพร้าว,ไปรษณีย์ลาดพร้าว,ซอยลาดพร้าว 67 ตรงข้ามซอยลาดพร้าว 80,ตรงข้ามแกรนด์วิลเลจ,ซอยลาดพร้าว 79 ตรงข้ามแมงป่อง,อิมพิเรียลลาดพร้าว,สำนักงานเขตวังทองหลาง,ตรงข้ามโรงเรียนบางกอกศึกษา,ซอยลาดพร้าว 93,ฟู้ดแลนด์,โรงพยาบาลลาดพร้าว,โรงเรียนภาษาอังกฤษสันติ,ร้านอาหารทิพวรรณ,ซอยลาดพร้าว 101,โรงเรียนเตรียมศึกษาบางกะปิ,ซอยลาดพร้าว 107,เวชธานี,ซอยลาดพร้าว 111,เอ็นมาร์คพลาซ่า(น้อมจิตต์),ตลาดบางกะปิ(ซอยลาดพร้าว 127),สถานีตำรวจลาดพร้าว,หมวดการทางบางกะปิ,โรงเรียนบ้านบางกะปิ,ตรงข้ามสำนักงานการเคหะแห่งชาติ,ซอยนวมินทร์ 17,ตรงข้ามสนามกีฬาคลองจั่น(นวมินทร์33),สำนักงานที่ดินเขตบางกะปิ,หมู่บ้านวังทอง,ตรงข้ามหมู่บ้านศรีนคร 1,โรงเรียนโสมาภา 2,ซอยพึ่งบุญ(นวมินทร์ 69) ตรงข้ามหมู่บ้านปรีชา,ตลาดอินทรารักษ์(ซอยนวมินทร์ 75),ซอยนวมินทร์ 83 ตรงข้ามสันติอโศก,ซอยนวมินทร์ 89,ประกันสังคมนวมินทร์ 56,ซอยโพธิ์แก้ว ตรงข้ามวัดบางเตย,หมู่บ้านสามัคคี(นวมินทร์ 107),ตลาดนวลจันทร์(ถนนนวมินทร์ขาออก),ตรงข้ามตลาดปัฐวิกรณ์,ตรงข้ามโรงเรียนบดินทรเดชา(สิงห์สิงหเสนี 2),ตรงข้ามโรงเรียนเบญจมินทร์,ซอยนวมินทร์ 135,เคหะนวมินทร์,ไทวัสดุนวมินทร์ ตรงข้ามโลตัสสุขาภิบาล1,ตรงข้ามโรงพยาบาลพญาไทนวมินทร์(เปาโลเดิม),ซอยนวมินทร์ 151 หมู่บ้านเอื้องสุข,โรงเรียนนวมิทราชูทิศ(สิงหเสนีย์),ไปรษณีย์จรเข้บัว สหฟาร์ม,ซอยนวมินทร์ 163 ซอยอมรวิวัฒน์ กม.8,กม.8 รามอินทรา52 ศูนย์นิสสัน ปั้มปริโตนาส,ตรงข้ามโรงพยาบาลสินแพทย์,ซอยรามอินทรา 89 เยื้องปั้มเอสโซ่,แยกถนนเลียบคลองสอง,แฟชั่นไอส์แลนด์,ธนาคารกรุงไทย กม.10,ปั้มปตท. ตรงข้ามร้านเฮียฮ้อปูดอง,หมู่บ้านวิสุทธาวิลล์,หมู่บ้านสวนสยามตรงข้ามโลตัส,ตรงข้ามซอยสวนสยาม 14(หมู่บ้านเก้าแสน),สวนสยาม,อู่สวนสยาม
อู่สวนสยาม,ตรงข้ามสวนสยาม,สรรพากรบึงกุ่ม ตรงข้ามสวนสยาม,ซอยสวนสยาม 16,ซอยสวนสยาม 12(ซอยเก้าเเสน),ซอยสวนสยาม 6,ตรงข้ามโรงพยาบาลนพรัตน์,ฮ้อปูดอง,เคหะรามอินทรา,ซอยนวมินทร์ 74,โรงเรียนเบญจมินทร์,โรงเรียนบดินทรเดชา(สิงห์สิงหเสนี) 2,หมู่บ้านปัฐวิกรณ์,ปากซอยนวลจันทร์นวมินทร์,หมู่บ้านธนะสิน(นวมินทร์ 68),ซอยนวมินทร์ 58 หมู่บ้านสินธานี 1 ตรงข้ามประกันสังคม,สันติอโศก(ซอยนวมินทร์ 52),ตรงข้ามตลาดอินทรารักษ์(นวมินทร์ 38),ธนาคารกสิกร หมู่บ้านปรีชา 2,หมู่บ้านธารทิพย์ ตรงข้ามโรงเรียนโสมาภา,หมู่บ้านศรีนคร1,ตรงข้ามหมู่บ้านวังทอง,ตรงข้ามสำนักงานที่ดินบางกะปิ,แยกแฮปปี้แลนด์นวมินทร์ 16,สนามกีฬาคลองจั่น,ซอยนวมินทร์ 10,การเคหะแห่งชาติคลองจั่น,ตรงข้ามโรงเรียนบ้านบางกะปิ,ตรงข้ามสรรพากรพื้นที่3นวมินทร์,ตรงข้ามสถานีตำรวจลาดพร้าว,ตลาดบางกะปิ ตรงข้าม It City,เดอะมอลล์บางกะปิ,แม็คโครลาดพร้าว ตะวันนา2,การไฟฟ้าสถานีย่อยคลองจั่น,ตรงข้ามโรงพยาบาลเวชธานี,ซอยลาดพร้าว 130 (วัดกลาง),ซอยลาดพร้าว 130/1 ตรงข้ามวิสุทธานี,ตรงข้ามซอยลาดพร้าว 101,ร้านอาหารทิพวรรณ(ซอยกัณฑ์พร),ซอยลาดพร้าว 122,ตรงข้ามโรงพยาบาลลาดพร้าว,ตรงข้ามฟู้ดแลนด์,ซอยลาดพร้าว 114 โรงเรียนบางกอกศึกษา,โรงเรียนบางกอกศึกษา(ลาดพร้าว112),ตรงข้ามสำนักงานเขตวังทองหลาง,ตรงข้ามอิมพิเรียลลาดพร้าว,ซอยลาดพร้าว 92,ตรงข้ามซอยลาดพร้าว 71,ซอยลาดพร้าว 80,ตรงข้ามไปรษณีย์ลาดพร้าว(ลาดพร้าว72),ซอยลาดพร้าว64 ตรงข้ามศึกษาภัณฑ์พาณิชย์,กรมแผนที่ทหาร,ตรงข้ามตลาดโชคชัย 4 ซอยลาดพร้าว 58,ตรงข้ามตลาดสะพาน 2,โรงเรียนพิบูลย์อุปถัมภ์,ซอยภาวนา,ซอยลาดพร้าว 42,ซอยลาดพร้าว 40 ศิริชัยไก่ย่าง,ซอยลาดพร้าว 34,ตรงข้ามบ้านกลางเมือง ลาดพร้าว,ซอยลาดพร้าว 28,ป้ายรถประจำทาง MRT รัชดาฯ โอลิมเปีย,ตรงข้ามโรงเรียนปัญจทรัพย์,ป้ายรถประจำทาง MRT สุทธิสาร ตรงข้ามสถานีตำรวจสุทธิสาร,บริษัทเมืองไทยภัทร,ซอยรัชดาภิเษก 14,ป้ายรถประจำทาง MRT ห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ตรงข้ามบิ๊กซีรัชดาภิเษก,ตรงข้ามเอสพลานาดรัชดาภิเษก,ตรงข้ามสถานทูตจีน,เซ็นทรัลพระราม 9,ตรงข้ามซอยโพธิ์ปั้น,ตรงข้ามตลาดขวัญพัฒนา,โบสถ์แม่พระฟาติมา,แฟลตดินแดง(ป้าย1),แฟลตดินแดง(ป้าย2),ตรงข้าม รร.พิบูลประชาสรรค์,ตลาดศรีวานิช,วัดตะพาน,ตรงข้ามซอยรางน้ำ,ตรงข้ามอินทราสแควร์ประตูน้ำ,บิ๊กซีราชดำริ,สำนักงานตำรวจแห่งชาติ,สยามสแควร์,ป้ายรถประจำทาง BTS สนามกีฬาแห่งชาติ,อาคารมั่นคง,แยกจรัสเมือง [B],แยกสะพานเหลือง [D],ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),วัดไตรมิตร,โรงพยาบาลเทียนฟ้ามูลนิธิ,แยกเฉลิมบุรี,ตลาดเก่าเยาวราช,วัดตึก,สำเพ็ง-พาหุรัด,ท่าปล่อยรถ สะพานพุทธ,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
