1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163
อู่รถเมล์สาย 539 (อ้อมน้อย),ตรงข้ามไทยกาเม็นท์,ตรงข้ามโรงเรียนอ้อมน้อยโสภณชนูปถัมภ์,โรงพยาบาลสัตว์แชมป์เปี่ยน,"ตลาดเก้าแสน,มหาชัย 2",ซอยเพชรเกษม 126,โรงแรมกาแล็คซี่อินน์อ้อมน้อย,ซอยเพชรเกษม 93,"ด่านชั่ง,ซอยเพชรเกษม 122",สามมิตรมอร์เตอร์,วัดศรีสำราญราษฎร์บำรุง,"ตลาดสาย 4,ซอยเพชรเกษม 118",แยกพุทธมณฑลสาย4,หมู่บ้านพรหมพิทักษ์,พุทธมณฑลสาย 4 ซอย3 (ตรงข้ามตลาดสินสมบูรณ์),ศูนย์สุขภาพชุมชน,ตรงข้ามตลาดมาลี,โรงงานกะทิชาวเกาะ,หมู่บ้านพัชรินทร์วิลล่าซอย 25,หมู่บ้านสินพัฒนาธานีซอย 21,หมู่บ้านกระทุ่มล้ม,ซอยกระทุ่มล้ม 1,หมู่บ้านบุศรินทร์,ซอยหมู่บ้านปาริชาติ,หมู่บ้านปรีชาตรงข้ามบ้านปันสุข,ตรงข้ามโรงพยาบาลจิตตเวช,"หมู่บ้านร่วมเกื้อ,ตรงข้ามกุมารนิเวศน์",ตรงข้ามหมู่บ้านศรีมณฑล,พุทธมณฑล (ขาออก),ตรงข้ามตลาดพุทธ,หมู่บ้านสกุลทิพย์,ซอยพรรษพฤกษา,ตรงข้ามหมู่บ้านสกุลทิพย์,ซอยบรมราชชนนี 78,หมู่บ้านสุขทวีวิลเลจ,โรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านปัญจทรัพย์,พุทธมณฑลสาย 3-บรมราชชนนี(ขาเข้า),หมู่บ้านอมรชัย 3,ธนาคารอาคารสงเคราะห์สาขาพุทธมณฑล,หมู่บ้านพระปิ่น 2(บรมราชชนนี 70),"หมู่บ้านพระปิ่น 2,ซอยบรมราชชนนี 68",ตรงข้ามหมู่บ้านกฤษดานคร 20,หมู่บ้านเดอะซิตี้,สถานีตำรวจคู่ขนานลอยฟ้า,กองบังคับการตำรวจนครบาล 7,ตรงข้ามโรงพยาบาลธนบุรี 2,หมู่บ้านเขมรัฐ(ซอยบางกอกน้อย-นครชัยศรี),ตรงข้ามหมู่บ้านภาณุ,"บริษัท ดี.พี.เซรามิคส์จำกัด,แยกทุ่งมังกร(บรมราชชนนี60)",ตรงข้ามสถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),ตรงข้ามวัดมะกอก(แยกทุ่งมังกร),ไปรษณีย์ ตลิ่งชัน,ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,"กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย,ซอยฉิมพลี 2",บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,กรมทางหลวงธนบุรี(บางกรวย),ตรงข้ามตั้งฮัวเส็ง,แยกซังฮี้,ตรงข้ามมหาวิทยาลัยราชภัฏสวนสุนันทา,ตรงข้ามพระที่นั่งวิมานเมฆ,ตรงข้ามสวนสัตว์ดุสิต,สวนจิตรลดา(ราชวิถี32),สวนจิตรลดา(ราชวิถี24),บ้านราชวิถี,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,อาคารศรีอยุธยา,โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,เจ้าพระยา 2 นวดแผนโบราณ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี)
อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,สถาบันประสาทวิทยา,สวนจิตรลดา(ตรงข้ามราชวิถี22),สวนจิตรลดา(ตรงข้ามราชวิถี32),สวนสัตว์ดุสิต,พระที่นั่งวิมานเมฆ,ซอยราชวิถี 19,"โรงเรียนเขมะสิริอนุสรณ์,ซอยราชวิถี 23",ตลาดกรุงธน(ขาออก),ทรงสมัย,ตั้งฮัวเส็ง,หมออนันต์,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),หมู่บ้านเปี่ยมรัก,สถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),บ้านภาณุ(ซอยบรมราชชนนี 91),โรงพยาบาลธนบุรี 2,ตรงข้ามกองบังคับการตำรวจนครบาล 7,ตรงข้ามสถานีตำรวจคู่ขนานลอยฟ้า,หมู่บ้านกฤษดานคร 20,หมู่บ้านสวนดอกไม้,ร้านบุญถาวรบรมราชชนนี,ตรงข้ามหมู่บ้านอมรชัย 3,พุทธมณฑลสาย 3-บรมราชชนนี(ขาออก),"ศาลเจ้า,ฟอร์ดพุทธมนฑล",ตรงข้ามโรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านลดาวัลย์,ศูนย์หนังสือธรรมสภา,ตรงข้ามหมู่บ้านสุขทวี,"ซอยบรมราชชนนี 121,หมู่บ้านพรรษพฤกษา",หมู่บ้านสกุลทิพย์บรมราชชนนี 123,"ตลาดพุทธ,",ซอยศาลายา 23,พุทธมณฑล(ขาเข้า),หมู่บ้านศรีมณฑล,สวนอาหารบัวหลวง,โรงพยาบาลจิตตเวช,หมู่บ้านบุศรินทร์ (ปรีชา),วัดนครชื่นชุ่ม(ขาออก),ตรงข้ามโรงเรียนอนุบาลภัทรบุตร,ตรงข้ามซอยกระทุ่มล้ม1,ซอยหมู่บ้านปฐมพร,หมู่บ้านสินพัฒนาธานี,หมู่บ้านพัชรินทร์วิลล่า,โรงงานกะทิชาวเกาะ(ขาออก),ตลาดมาลี(ขาเข้า),ตลาดสินสมบูรณ์(ขาเข้า),"หมู่บ้านพรหมพิทักษ์,ตรงข้ามสตรีประเทืองวิทย์",ซอยเพชรเกษม 83,ตรงข้ามวัดศรีสำราญราษฎร์บำรุง,ตรงข้ามสามมิตรมอร์เตอร์,ธนาคารไทยพาณิชย์ สาขาอ้อมน้อย,สถานีตำรวจดับเพลิงอ้อมน้อย,ซอยแลนด์,โรงแรมสตาร์อินน์(ขาออก),อ้อมน้อย,ตรงข้ามกรมสรรพากร (อ้อมน้อย),"ซอยเพชรเกษม 97,ไทยกาเม็นท์",อู่รถเมล์สาย 539 (อ้อมน้อย),,,,,,,,,,,,,,
