1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89
มหาดไทย 3 (ท่า 207),ธนาคารกรุงไทย(ซอยรามคำแหง 2),วิทยาเขตรามคำแหง(ม.รามฯ ประตูที่ 1),มหาวิทยาลัยรามคำแหง ประตูที่ 2,ซอยจรรยวรรธ,เมกาบางนา(สถานีรถโดยสาร),โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,ต่างระดับศรีเอี่ยม,ซอยศรีนครินทร์ 64 ศุภาลัยปาร์ค,ซอยศรีนครินทร์ 54(อุดมสุข1),ซอยศรีนครินทร์ 50(อุดมสุข2),สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ 8,ตรงข้ามสำนักงานที่ดินกรุงเทพมหานครสาขาพระโขนง,ตรงข้ามพาราไดซ์พาร์ค,ซอยศรีนครินทร์ 42 ตรงข้ามซีคอนสแควร์ป้ายที่ 1,ตรงข้ามซีคอนสแควร์ป้ายที่ 2,ซอยศรีนครินทร์ 38 หมู่บ้านมิตรภาพ,ซอยศรีนครินทร์ 32 มัสยิดดารุ่ลอมีน,แยกสวนหลวง(ตลาดเอี่ยมสมบัติ),ศรีนครินทร์ซอย24(ซอยอนามัย),ตรงข้ามห้างธัญญาพาร์ค(หมู่บ้านกลางเมือง),หมู่บ้านนราสิริ,ตรงข้ามอาคารโมเดิร์นฟอร์ม,สถานีรถไฟหัวหมาก,โรงพยาบาลสมิติเวชศรีนครินทร์,โรงเรียนอนุบาลชุติมา,แยกกรุงเทพกรีฑา,บริษัทกรีนสปอร์ต,ตรงข้ามซอยโรงงาน,รามคำแหง 50,โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,บริษัทโอสถสภา ซอยรามคำแหง 26/1,สถานีตำรวจหัวหมาก สนามกีฬาหัวหมาก,ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง
โรงปูนพระราม 9,ฟู้ดแลนด์ เพอร์เฟคเพลส(รามคำแหง7),โรงเรียนอนุบาลใจทิพย์ เดอะมอลล์รามคำแหง 3,บิ๊กซีราม หมู่บ้านเสรี,โรงเรียนวัดเทพลีลา เมเจอร์รามคำแหง,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),โรงแรมอเล็กซานเดอร์,แยกลำสาลี(ถนนศรีนครินทร์ขาออก),ซอยโรงงาน ปั้มน้ำมัน ป.ต.ท.,ตรงข้ามบริษัท กรีนสปอร์ต,แยกกรุงเทพกรีฑา หมู่บ้านนักกีฬา,ซอยลำสาลี 2,อาคารยูทาวเวอร์,สถานีรถไฟฟ้าแอร์พอร์ตลิงค์หัวหมาก,โมเดอร์ฟอร์ม อาคารจิตรวรนันท์,ซอยศรีนครินทร์ 27,ธัญญาพาร์ค,ไก่ย่างน้อมจิตต์ ตรงข้ามซอยอนามัย,แยกสวนหลวง,ตรงข้ามมัสยิดดารุ่ลอมีน(สุเหร่าอ่อนนุช),ศรีนครินทร์ซอย45 ตรงข้ามหมู่บ้านมิตรภาพ,ซีคอนสแควร์,พาราไดซ์พาร์ค,สำนักงานที่ดินกรุงเทพมหานครสาขาพระโขนง,สำนักงานประกันสังคมพื้นที่8,อุดมสุข 1,อุดมสุข 2 ซอยศรีนครินทร์ 63,โรงแรมโนโวเทลกรุงเทพบางนา,อินเด็กซ์บางนา(ซอยบางนา-ตราด 37),พาร์คแลนด์ อินเด็กซ์ลิฟวิ่งมอร์ บางนา,ตรงข้ามซอยมิตรภาพ,สำนักงานสรรพากรพื้นที่บางพลี,ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,ตรงข้ามหลังโลตัส,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),วิทยาเขตรามคำแหง ตรงข้ามประตูที่ 1 ตรงข้ามไปรษณีย์ไทยจำกัด,รามคำแหง 2 ซอย 19 (ตรงข้ามธนาคารกรุงไทย),มหาดไทย 3 (ท่า 207),blankjaa,blankjaa
