1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75
อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),ตรงข้ามสวนสันติภาพ,สำนักงาน ป.ป.ส.,โรงพยาบาลทหารผ่านศึก,ตรงข้ามโรงเรียนสุรศักดิ์มนตรี,ตรงข้ามมหาวิทยาลัยหอการค้าไทย,สนามกีฬากองทัพบก,สโมสรทหารบก,บริษัทกรุงเทพธุรภัณฑ์กรุ๊ปจำกัด,แยกสุทธิสาร(ถนนวิภาวดีรังสิตขาออก),"วิภาวดีซอย3,ตรงข้ามซอยโชคชัยร่วมมิตร",ตรงข้ามบริษัทการบินไทย(สำนักงานใหญ่),ตรงข้ามโรงเรียนเซนต์จอห์น,สำนักงานใหญ่ปตท.,สมบัติทัวร์,วิทยาลัยธัชชรินทร์วิทยา,ตรงข้ามสำนักงานเขตจตุจักร,กองบัญชาการตำรวจ 191,วัดเสมียนนารี,"สถานีรถไฟบางเขน,ตรงข้ามโรงพยาบาลวิภาวดี",ตรงข้ามชินเขตน์2,ตรงข้ามชินเขตน์1(นุกูลธร),แยกพงษ์เพชร(พงษ์เพชรดำเนิน),เดอะมอลล์งามวงศ์วาน,ตรงข้ามพันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามวัดบัวขวัญ,ตรงข้ามองค์การโทรศัพท์งามวงศ์วาน,"ซอยอัคนี,ซอยงามวงศ์วาน 2",เทสโก้โลตัสรัตนาธิเบศร์,สถานีวิทยุดาวเทียมนนทบุรี,โรงเรียนสันติวัล,"กรมพลาธิการทหารบก,ซอยติวานนท์ 31",วัดชมภูเวก,ตลาดจิตรเจริญ,ตรงข้ามกระทรวงพาณิชย์,หมู่บ้านชมเพลิน,"รัตนคลินิค,หมู่บ้านซื่อตรง",ซอยบางรักน้อย-ไทรม้า
แยกบางพลู,ศาลเจ้าหลวงปู่ขุน,ซอยบางรักน้อย 13,ปากซอยท่าอิฐ,ป้ายรถประจำทาง MRT ไทรม้า,สะพานลอยซื่อตรง,"ซอยงามวงศ์วาน 1,ตรงข้ามซอยอัคนี",ซอยแว่นตา,องค์การโทรศัพท์งามวงศ์วาน,พันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามเดอะมอลล์งามวงศ์วาน,สวนอาหารฟรายด์เดย์,แยกพงษ์เพชร(ซอยพงษ์เพชรพัฒนา),ชินเขตน์ 2,ตรงข้ามเรือนจำกลางคลองเปรม(ซอยศรีจั่น),"ตรงข้ามเรือนจำกลางคลองเปรม,การไฟฟ้า",โรงพยาบาลวิภาวดีถนนวิภาวดีรังสิต,"ซอยวิภาวดี 42,ตรงข้ามวัดเสมียน","สถานีตำรวจวิภาวดี,หนังสือพิมพ์บ้านเมือง","อาคารชินวัตร3,บริษัทตรีเพชร",โรงเรียนหอวัง,การบินไทย(สำนักงานใหญ่),ซอยโชคชัยร่วมมิตร,แยกสุทธิสาร(ดับเพลิง),ศูนย์ฝึกรักษาดินแดน,โรงเรียนสุรศักดิ์มนตรี,ตรงข้ามโรงพยาบาลทหารผ่าศึก,ตลาดศรีวานิช,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),,,,,,,,
