1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167
HuaLamphongBusTerminal,HuaLamphong(RongMueangSide),WatDuangkhae,YaekMahanakhon,SaphanLueang,Chulalongkorn9,Chulalongkorn11,SamYanIntersection,Chulalongkorn(FacultyOfEducation),Chulalongkorn(ChamchuriArtGallery),MbkCenter,BusStopBTSNationalStation,ChumchonBanKhrua,SchoolKingpetch,MoRatchaphatWalaiYoLongKonSunKrungthep,OppositeBangkokBusinessCollege,OppositePantipPratunam,PhetRama,MetroMallPratunam,OppositeWatMakkasan,NikhomMakkasan(PhetchaburiRoadOutbound),TheRoofThanapoom,OppositeRongrianSenDoMiNik,OppositeMahawitthayalaiMosowoPrasanMit,SukiRueanPhet,ItalianCompanies-Thailand,OppositeWatMaiChongLom(ItalthaiIndustrialCo.Ltd.(HeadOffice)),PhetchaburiSoi47,ChanItSaThaoWoe2PhetchaburiTatMai,ThongLoNueaIntersection(Outbound),EkkamaiIntersection(PhetcharavejHospital),PhetcharavetHospital,TalatKhlongtan,FoodlandPerfectPlace(Ramkhamhaeng7).,KindergartenDivineMindTheMallRamkhamhaeng3.,BigCRamkhamhaeng,WatThepleeSchoolMajorRamkhamhaeng,PakSoiSoiRamKhamHang43/1,RongrianWatThepLila,OppositeRamkhamhaengUniversity,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,LamsaleeIntersection(RamkhamhaengSoi95),BangkokCondo(SeparatedPine),BorisatAemWe,WatSiBunRueang,OppositeRamkamhaeng68,BanMaIntersection(SoiRuamChai),SunISuSuRamKhamNgae,RamkhamhaengSoi125,MubanDecha2,OppositeMubanRungKit,OppositeMubanThitiPhon1,RongrianSoMapha(OppositeMubanChuanChuen),HospitalMedicalKarun,OppositeMubanSammaKon,OppositeMubanPhruetsaChat,RamkhamhaengSoi151/1,OppositeMubanKetsari2,OppositeKhlongChanWinLa4,OppositeRongrianTriamUdomNomKlao,OppositeMubanTharaRom,OppositeKhlongChanWinLa7,OppositeMubanPreecha2,OppositeBorisatMitThin,OppositeRamkhamhaengSoi162,OppositeMubanTharaKon,OppositeKromsanphakonPhuenthi11,OppositeThepAksornSchool,RamKhamNgaeSoi189,OppositeMubanRinThong,Big-CSukhaphiban3,KhehaRamKhamNgae,OppositeMubanRungNapha2,OppositeBigCYaekRomklao,OppositeMinburiPoliceStation,SatriSethabutBamphenSchool,RamaIxCommemorationParkMinburi,Chatuchak2MarketMinburi,Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian)
MinburiTechnicalCollege,Jatujak2Minburi,MinburiDistrictOffice,MinburiLandOffice,MinburiPoliceStation,CatMinburi,YaekSuWinThawong-RamKhamNgae(FaifaMinBuri),OppositeMetropolitanWaterworksAuthorityMinburi,ThaiWatsaduSukapiban3,BigCYaekRomklao,MubanRungNapha2,SacredStateUniversityCommunity,MubanRinThong,RamKhamNgaeSoi199,ThaiVillage,ThepAksornSchool,KromsanphakonPhuenthi11,MubanTharaKon,RamkhamhaengSoi162,BorisatMitThin,MubanPreecha2(Ramkhamhaeng159/1),KhlongChanWinLa7,MubanTharaRom,RongrianTriamUdomNomKlao,KhlongChanWinLa4,MubanKetsari2,OppositeRamkhamhaengSoi151/1,MubanPhruetsaChat,MubanSammaKon,KarunwetHospital,MubanChuanChuen,MubanThitiPhon1,MubanRungKit,OppositeMubanDecha2,OppositeRamkhamhaengSoi123,RamkhamhaengSoi72,YaekBanMa(RamkhamhaengSoi70),Ramkamhaeng68,OppositeWatSiBunRueang,BorisatAemWe(Kao),BangkokCondo(SeparatedPine).,LamsaleeIntersection(RamkhamhaengSoi58/1),SunHonDaRamKhamNgae,RamkhamhaengHospital,ThaiNamthipRamkhamhaeng,BorisatOsotSaphaSoiRamKhamNgae26/1,MakPoliceStationHuaMarkStadium.,SunNangsueMoRamKhamNgae,RamkhamhaengUniversity,AkhanSetSatMoRamKhamNgae,RamKhamNgaeSoi20,TheMallRamkhamhaeng2,OppositeFoodlandPerfectPlace.,HospitalDr.Panya,BangOppositeThePowerSubstationTheFoundationForIslamicCentreOfThailand.AirportLinkS,KhlongtanMarket(PhetchaburiSoi42),KhlongTanHospital,EkkamaiIntersection,ThongLoNueaIntersection(Inbound),CharnIssaraTowerIi,SunwichaiIntersection,SahapathanapibulLtd.OppositeBangkokHospital.,WatMaiChongLom,OppositeSukiRueanPhet,SrinakarinwirotUniversity(PhetchaburiRoad),RongrianSenDoMiNik,YaekNikhomMakkasan,NikhomMakkasan(PhetchaburiRoadInbound),WatMakkasan,Metro,YaekPratunam,PantipPratunam,BangkokBusinessCollege,BusStopBTSRatchathewi(Exit2),OppositeMbkCenter,TriamUdomSuksaSchool,Chulalongkorn(TheEquestrianStatue),Chulalongkorn(FacultyOfScience),MandarinHotel,SaphanLuengChurch,CentralLabourCourtPathumwan,HuaLamphongRailwayStation,HuaLamphongBusTerminal,blankjaa
