1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135
วัดคู่สร้าง(ถนนประชาอุทิศ),หมู่บ้านเคซี,บ้านระยอง,หมู่บ้านสยามนิเวศน์,หมู่บ้านประชาสามัคคี,โรงเรียนคลองนาเกลือน้อย,สะพานสุดเขตกรุงเทพมหานคร,หมู่บ้านวรารมย์ประชาอุทิศซอย 98,บ้านผู้กอง,ก่อนถึงแยกแฟลตทุ่งครุ,ตรงข้ามซอยประชาอุทิศ 125,ตรงข้ามวัดทุ่งครุ,หมู่บ้านนริศาซอยประชาอุทิศ 3,ซอยประชาอุทิศ 78,ซอยประชาอุทิศ 76,ตรงข้ามซอยประชาอุทิศ 89/2,ตรงข้ามซอยประชาอุทิศ 89,ซอยประชาอุทิศ 62,มิตรไมตรี(ถนนประชาอุทิศขาออก),อิสลามวิทยาลัยแห่งประเทศไทย,จัสโก้ประชาอุทิศ,ซอยประชาอุทิศ 56,ซอยประชาอุทิศ 54,ซอยประชาอุทิศ 61,ซอยประชาอุทิศ 48,ตรงข้ามซอยประชาอุทิศ 53,แยกนาหลวง,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ตรงข้ามซอยประชาอุทิศ 28,"โรงเรียนขจรโรจน์,ซอยประชาอุทิศ 33",ตรงข้ามประชาอุทิศซอย27,ซอยประชาอุทิศ 22,ซอยประชาอุทิศ 21,ซอยประชาอุทิศ 14,"ตลาดราษฎร์บูรณะเก่า,หน้าโรงเรียนศึกษษ(เก่า)",ซอยประชาอุทิศ 10,วิทยาลัยพณิชยการเชตุพน,ซอยประชาอุทิศ 7,วัดสารอด,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงเรียนแสงทองโทรทัศน์,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,ศาลเจ้าแซ่ซิ้ม,แยกสาทร(สมเด็จพระเจ้าตากสิน6),วงเวียนใหญ่(ธนบุรีศึกษา),โรงเรียนศึกษานารี,พาหุรัด(อินเดียเอ็มโพเรียม),,,,,,,,,,
พาหุรัด(อินเดียเอ็มโพเรียม),วังบูรพา,โรงแรม Miramar,สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),"วงเวียนใหญ่,ตลาดวงเวียนใหญ่",แยกสาทร(สมเด็จพระเจ้าตากสิน7),ตรงข้ามศาลเจ้าแซ่ซิ้ม,โรงพยาบาลกรุงธนบุรี,ไปรษณีย์สำเหร่,ตลาดสำเหร่(ซอยวัดสุทธาราม),สำนักงานไปรษณีย์สำเหร่,ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,"ธนาคารกสิกรไทยสาขาดาวคะนอง,ตรงข้ามบิ๊กซืดาวคะนอง",ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,ตลาดวัดนาค,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,ตลาดบางปะกอก,ตรงข้ามวัดสารอด,ตรงข้ามโรงเรียนพณิชยการเชตุพน,ตลาดราษฎร์บูรณะเก่า,ตรงข้ามซอยประชาอุทิศ 14,ป้ายประชาอุทิศ 19,ซอยประชาอุทิศ 21,ตรงข้ามซอยประชาอุทิศ 22,ซอยประชาอุทิศ 24,โรงเรียนขจรโรจน์,ซอยประชาอุทิศ 28,ธนาคารไทยพาณิชย์ประชาอุทิศ,ซอยประชาอุทิศ 51,ตรงข้ามซอยประชาอุทิศ 48,ซอยประชาอุทิศ 67,จัสโก้ประชาอุทิศ,มิตรไมตรี(ถนนประชาอุทิศขาออก),โรงเรียนอิสลามวิทยาลัย,ศูนย์คุมอง,ซอยประชาอุทิศ 68,ร้านอาหารแม่อิ่ม(ถนนประชาอุทิศขาออก),ซอยประชาอุทิศ 89/2,"สถานีตำรวจทุ่งครุ,ตรงข้ามซอยประชาอุทิศ 76",ซอยประชาอุทิศ 79/1,หมู่บ้านนริศาซอยประชาอุทิศ 3,ตรงข้ามวัดทุ่งครุ,ซอยประชาอุทิศ 115,หมู่บ้านทัศนีย์,ซอยประชาอุทิศ 125,ก่อนถึงแยกแฟลตทุ่งครุ,บิ๊กซีประชาอุทิศ,บ้านผู้กอง,หมู่บ้านวรารมย์,สะพานสุดเขตกรุงเทพมหานครตรงข้ามคอทโก้เมท,ตรงข้ามโรงเรียนคลองนาเกลือน้อย,ซอยเพ้ง,ซอยหัวถนน,ตรงข้ามหมู่บ้านสุขเจริญ 2,หมู่บ้านสยามนิเวศน์ซอย 5,บ้านระยองฝั่งสินนครวิลล์,วัดคู่สร้าง(ถนนประชาอุทิศ)
