1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179
อู่ฟาร์มจระเข้สมุทรปราการ,ป้ายหน้าฟาร์มจรเข้,มูลนิธิวัยวัฒนานิวาส,อู่สายลวด,โรงเรียนป้วยฮั้ว,โรงพยาบาลสมุทรปราการ,วงเวียนท้ายบ้าน (ตรงข้าม),ตลาดปากน้ำ,ศาลากลางจังหวัดสมุทรปราการฝั่งขาเข้า,โรงเรียนสารพัดช่างสมุทรปราการ,โรงเรียนนายเรือสมุทรปราการ,"โรงเรียนนายเรือ,ตรงข้ามไปรษณีย์ปากน้ำ",วัดบางนางเกรง,ตรงข้ามซอยนารถสุนทร,ตรงข้ามโรงนม,สำนักงานส่งเสริมการศึกษานอกระบบการศึกษาตามอัธยาศัยจังหวัดสมุทรปราการ,โค้งเกริกเก่า,"ตรงข้ามวัดไตร,พิพิธภัณฑ์ช้างเอราวัณ","ฮิตาชิ,โตโยต้า",ปั้มน้ำมัน ปตท.(ตรงข้ามซอยอภิชาติ),"ปู่เจ้า,ตรงข้ามบิ๊กซีสำโรง(ตรงข้ามบิ๊กซีจัมโบอู่สำโรงเดิม)",ตลาดสำโรงตรงข้ามสุขุมวิท 111,ซอยสันติคาม(ธ.นครหลวงไทย),ซอยโปษยานนท์,"ป้ายรถประจำทาง BTS แบริ่ง,ลาซาล",หมู่บ้านนภาลัย รพ.มนารมย์,"ตรงข้ามกรมอุตุนิยมวิทยา,ป้ายรถประจำทาง BTS บางนา",แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),"ตรงข้ามตลาดอ่อนนุช,การประปาพระโขนง",ตรงข้ามตลาดพระโขนง,ป้ายรถประจำทาง BTS พระโขนง(ทางออก 2),โรงเรียนศรีวิกรม์,เกตเวย์เอกมัย,ท้องฟ้าจำลอง,ซอยสุขุมวิท 40,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 2/4),ซอยสุขุมวิท 34(ซอยสุภางค์),ซอยสุขุมวิท 28(ซอยบรรณสาร),ป้ายรถประจำทาง BTS พร้อมพงษ์(ทางออก4),อุทยานเบญจสิริ,ซอยสุขุมวิท 20,"ซอยสุขุมวิท 18,แยกอโศก","ซอยสุขุมวิท 12,ตรงข้ามโรบินสันสุขุมวิท","ซอยสุขุมวิท 10(ตรงข้ามแอมบาสเดอร์),สวนชูวิทย์","ซอยสุขุมวิท 6,ป้ายรถประจำทาง BTS นานา","เพลินจิตเซ็นเตอร์,ซอยนานา",ป้ายรถประจำทาง BTS เพลินจิต(ทางออก4),"ซอยต้นสน,ตรงข้ามสถานฑูตอังกฤษ",เซ็นทรัลเวิลด์,พันธุ์ทิพย์ประตูน้ำ,รร.กรุงเทพการบัญชี,กิ่งเพชร,อุรุพงษ์,"โรงพยาบาลมิชชั่น,มหานาค",ตรงข้ามสำนักงานสถิติแห่งชาติ,ตรงข้ามวัดแคนางเลิ้ง,บริษัทเดินอากาศไทย(บดท.),"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),หมู่บ้านเปี่ยมรัก,ท่าปล่อยรถ สายใต้ใหม่ (ตลิ่งชัน),
ท่าปล่อยรถ สายใต้ใหม่ (ตลิ่งชัน),ตรงข้ามวัดมะกอก(แยกทุ่งมังกร),ไปรษณีย์ ตลิ่งชัน,ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,"กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย,ซอยฉิมพลี 2",บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,บรมราชชนนี 12,"ศูนย์ฟอร์ดบรมราชชนนี,ตรงข้ามโรงพยาบาลเจ้าพระยา",กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),ตรงข้ามบริษัทเดินอากาศไทย(บดท.),วัดแคนางเลิ้ง,สำนักงานสถิติแห่งชาติ,"โรงพยาบาลมิชชั่น,ตลาดมหานาค","อุรุพงษ์,โคลีเซียม (ถนนเพชรบุรีขาออก)",มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,บิ๊กซีราชดำริ,"หลังสวน,ป้ายรถประจำทาง BTS ชิดลม",เซ็นทรัลชิดลม,ป้ายรถประจำทาง BTS เพลินจิต(ซอยนายเลิศ),ซอยนานา,"อาคารแปซิฟิคเฟลล์,สุขุมวิทซอย7",ซอยสุขุมวิท 15,"ซอยสุขุมวิท 19,โรบินสัน",ซอยสุขุมวิท 23,"ซอยสุขุมวิท 27,ตรงข้ามสายน้ำผึ้ง",ซอยสุขุมวิท 31,ตรงข้ามสวนเบญจศิริ,ซอยสุขุมวิท 41,ซอยสุขุมวิท 47,ซอยสุขุมวิท 49,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 1),ซอยสุขุมวิท 57,เมเจอร์เอกมัย,วัดธาตุทอง,"ตรงข้ามโรงเรียนศรีวิกรม์,ซอยสุขุมวิท 65/1",ป้ายรถประจำทาง BTSพระโขนง(ทางออก3),ตลาดพระโขนง,"ดับเพลิง,อ่อนนุช","ป้ายรถประจำทาง BTSอ่อนนุช,ซอยสุขุมวิท 81 (ศิริพจน์)",ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(ขาออกป้ายที่2),"ป้ายรถประจำทาง BTS บางนา,กรมอุตุวิทยา",หมู่บ้านนภาลัย,ป้ายรถประจำทาง BTS แบริ่ง(ซอยลาซาล),ซอยแบริ่ง,ซอยสันติคาม(สุขุมวิท109),ตลาดธรรมสาโรจน์,ตรงข้ามอิมพิเรียลสำโรง(ตลาดสำโรง),บิ๊กซีสำโรง(บิ๊กซีจัมโบ้)(อู่สำโรงเก่า),ซอยสุขุมวิท 115 (ซอยอภิชาติ),เนชั่นแนล,วัดไตร,โค้งเกริก,อุดมเดช(กศน.),โรงนม,นารถสุนทร(โรงเรียนพร้านีลวัชระ),"วัดบางนางเกรง,โรงพยาบาลยุวประสาท",ไปรษณีย์ปากน้ำ,ซอยบุญศิริ,"ตรงข้ามโรงเรียนสารพัดช่างสมุทรปราการ,สองแถว36",สนง.สรรพากรสมุทรปราการ 1,วัดพิชัยสงคราม,ศาลหลักเมืองปากน้ำ,วงเวียนท้ายบ้าน,ซอยสายลวด 3,ธนาคารกรุงเทพ(ถนนสายลวด),หน้าฟาร์มจรเข้,อู่ฟาร์มจระเข้สมุทรปราการ
